date,machine_number,machine_name,games_normalized,diff_coins_normalized,bb_count,rb_count,hall,payout,ym
20250101,739,スマスロ北斗の拳,1485,9502,83,2,ARROW池上店,3.1328843995510662,202501
20250101,848,チバリヨ2,2017,7301,38,10,ARROW池上店,2.2065774252189723,202501
20250102,914,沖ドキ!BLACK,497,3090,16,5,ARROW池上店,3.0724346076458753,202501
20250104,853,ダンベル何キロ持てる？,4985,16674,0,10,ARROW池上店,2.1149448345035107,202501
20250104,850,チバリヨ2,1722,10444,47,12,ARROW池上店,3.021680216802168,202501
20250106,714,スマスロ北斗の拳,1827,7757,75,4,ARROW池上店,2.4152526911147603,202501
20250106,849,チバリヨ2,1500,15544,65,14,ARROW池上店,4.4542222222222225,202501
20250107,910,スーパービンゴネオ,1673,8911,33,0,ARROW池上店,2.775453277545328,202501
20250107,637,革命機ヴァルヴレイヴ,871,4933,30,0,ARROW池上店,2.8878683505549176,202501
20250108,732,スマスロ北斗の拳,1520,6922,66,1,ARROW池上店,2.5179824561403508,202501
20250109,738,スマスロ北斗の拳,1145,3765,42,3,ARROW池上店,2.096069868995633,202501
20250109,793,ToLOVEるダークネス,774,3348,13,0,ARROW池上店,2.441860465116279,202501
20250109,906,スーパービンゴネオ,1603,15436,35,0,ARROW池上店,4.209814930338948,202501
20250109,910,スーパービンゴネオ,1182,5236,17,0,ARROW池上店,2.476593344613649,202501
20250110,739,スマスロ北斗の拳,1316,5670,55,3,ARROW池上店,2.4361702127659575,202501
20250110,793,ToLOVEるダークネス,2092,9048,30,0,ARROW池上店,2.4416826003824093,202501
20250110,850,チバリヨ2,1722,12006,53,16,ARROW池上店,3.3240418118466897,202501
20250111,906,スーパービンゴネオ,4108,14881,60,0,ARROW池上店,2.2074813372281725,202501
20250112,908,スーパービンゴネオ,1735,17829,56,0,ARROW池上店,4.42536023054755,202501
20250113,706,スマスロ北斗の拳,3342,17869,163,2,ARROW池上店,2.782266108118891,202501
20250114,910,スーパービンゴネオ,2440,12415,39,0,ARROW池上店,2.69603825136612,202501
20250115,605,スマスロ真・北斗無双,2487,8905,50,0,ARROW池上店,2.1935397399812357,202501
20250116,626,からくりサーカス,2951,14146,0,14,ARROW池上店,2.5978764260702585,202501
20250116,631,からくりサーカス,1207,5648,0,5,ARROW池上店,2.55979011322839,202501
20250116,791,ToLOVEるダークネス,641,3149,15,0,ARROW池上店,2.637545501820073,202501
20250117,853,ダンベル何キロ持てる？,966,3010,0,3,ARROW池上店,2.0386473429951693,202501
20250117,906,スーパービンゴネオ,2621,14482,44,0,ARROW池上店,2.8417906651405316,202501
20250117,849,チバリヨ2,1448,4998,31,5,ARROW池上店,2.1505524861878453,202501
20250120,664,犬夜叉2,2887,9287,0,1,ARROW池上店,2.0722780279413464,202501
20250121,705,スマスロ北斗の拳,987,8211,67,2,ARROW池上店,3.773049645390071,202501
20250121,907,スーパービンゴネオ,1711,10361,34,0,ARROW池上店,3.0185076953048897,202501
20250121,846,チバリヨ2,3271,12000,61,28,ARROW池上店,2.222867624579639,202501
20250122,637,革命機ヴァルヴレイヴ,4518,16753,138,3,ARROW池上店,2.2360188874133096,202501
20250123,646,かぐや様は告らせたい,582,4521,17,0,ARROW池上店,3.589347079037801,202501
