hall,category,axis,metric,n_days,overall,best_cut,before,after,delta,max_stat,p_value,n_before,n_after,direction
K7,ジャグ,aisle,payout,375,-0.0021,2026-05-14,0.142,-0.6894,0.8314,0.8314,0.0655,310,65,弱化
K7,ジャグ,aisle,rbz,375,-0.1064,2026-05-14,-0.0858,-0.2051,0.1193,0.1193,0.068,310,65,弱化
K7,AT一般,aisle,payout,375,-1.2063,2025-09-05,-2.561,-0.9482,-1.6128,1.6128,0.6685,60,315,強化
K7,技術介入,aisle,payout,375,-0.1187,2025-12-22,-1.0786,0.6521,-1.7307,1.7307,0.5475,167,208,強化
K7,ハナハナ,aisle,payout,375,-0.2928,2026-02-02,0.558,-1.364,1.922,1.922,0.684,209,166,弱化
K7,ハナハナ,aisle,rbz,370,-0.0737,2026-03-17,-0.0283,-0.1648,0.1365,0.1365,0.8405,247,123,弱化
みとや,ジャグ,aisle,payout,560,2.4379,2026-04-27,2.6791,0.9694,1.7097,1.7097,0.0135,481,79,弱化
みとや,ジャグ,aisle,rbz,560,0.2848,2026-04-27,0.3321,-0.0034,0.3355,0.3355,0.0135,481,79,弱化
みとや,AT一般,aisle,payout,560,0.3004,2026-04-01,0.7662,-1.7179,2.4841,2.4841,0.946,455,105,弱化
みとや,技術介入,aisle,payout,492,0.3531,2026-02-10,1.0519,-1.1664,2.2183,2.2183,0.4,337,155,弱化
K1,ジャグ,section_end,payout,550,0.092,2026-04-23,0.1698,-0.3221,0.4919,0.4919,0.2925,463,87,弱化
K1,ジャグ,section_end,rbz,550,-0.0362,2026-01-06,-0.0521,-0.007,-0.045,0.045,0.5675,356,194,強化
K1,AT一般,section_end,payout,550,-0.6183,2026-05-11,-0.8552,1.033,-1.8882,1.8882,0.2405,481,69,強化
K1,技術介入,section_end,payout,320,1.4046,2025-11-05,-1.4431,2.1305,-3.5736,3.5736,0.053,65,255,強化
K1,ハナハナ,section_end,payout,550,0.0871,2026-01-19,-0.2462,0.7665,-1.0127,1.0127,0.6355,369,181,強化
K1,ハナハナ,section_end,rbz,547,-0.0327,2025-03-02,-0.1675,-0.0161,-0.1515,0.1515,0.6905,60,487,強化
楽園,ジャグ,section_end,payout,561,0.2775,2025-10-12,0.0205,0.5373,-0.5168,0.5168,0.785,282,279,強化
楽園,ジャグ,section_end,rbz,561,-0.0163,2026-05-14,-0.0061,-0.0939,0.0878,0.0878,0.29,496,65,弱化
楽園,AT一般,section_end,payout,561,0.3393,2026-01-24,0.5169,-0.0524,0.5693,0.5693,0.759,386,175,弱化
楽園,技術介入,section_end,payout,561,0.8438,2025-07-05,0.0644,1.2211,-1.1567,1.1567,0.931,183,378,強化
楽園,ハナハナ,section_end,payout,561,0.6942,2025-03-02,-0.4739,0.8341,-1.308,1.308,0.412,60,501,強化
楽園,ハナハナ,section_end,rbz,559,-0.0577,2025-03-24,0.0518,-0.0762,0.128,0.128,0.251,81,478,弱化
