カテゴリ,閾値,残存率%,機械割_全体,機械割_フィルタ後,持ち上がりpp,差枚持ち上がり,RBzシフト
AT一般,400,93.9,98.43,98.96,0.54,8,-0.0
AT一般,1500,73.6,98.43,100.6,2.18,86,0.042
AT一般,2000,65.7,98.43,101.27,2.84,137,0.062
AT一般,2500,58.4,98.43,101.81,3.38,189,0.08
AT一般,3000,51.5,98.43,102.08,3.65,228,0.094
AT一般,4000,37.4,98.43,101.76,3.33,224,0.102
AT一般,5000,23.0,98.43,100.97,2.54,165,0.066
ジャグ,400,99.2,97.52,97.7,0.18,3,0.014
ジャグ,1500,87.6,97.52,99.25,1.73,67,0.157
ジャグ,2000,81.6,97.52,99.84,2.32,112,0.213
ジャグ,2500,75.7,97.52,100.36,2.84,164,0.262
ジャグ,3000,69.8,97.52,100.84,3.32,222,0.307
ジャグ,4000,58.1,97.52,101.72,4.2,360,0.395
ジャグ,5000,46.1,97.52,102.67,5.15,546,0.494
ハナハナ,400,93.4,95.16,96.66,1.5,19,0.09
ハナハナ,1500,72.1,95.16,99.35,4.19,147,0.262
ハナハナ,2000,64.5,95.16,100.14,4.99,221,0.312
ハナハナ,2500,58.1,95.16,100.83,5.67,301,0.355
ハナハナ,3000,52.3,95.16,101.48,6.32,391,0.396
ハナハナ,4000,42.4,95.16,102.69,7.54,594,0.467
ハナハナ,5000,33.8,95.16,103.84,8.68,830,0.53
技術介入,400,93.8,96.28,97.55,1.27,16,0.047
技術介入,1500,73.9,96.28,99.94,3.65,125,0.153
技術介入,2000,65.8,96.28,100.71,4.43,193,0.188
技術介入,2500,58.4,96.28,101.32,5.04,264,0.216
技術介入,3000,51.5,96.28,101.9,5.62,345,0.244
技術介入,4000,39.5,96.28,102.96,6.67,528,0.295
技術介入,5000,28.7,96.28,104.04,7.75,757,0.348
沖スロ,400,91.1,107.29,102.78,-4.52,-38,-0.02
沖スロ,1500,62.3,107.29,96.6,-10.7,-321,-0.08
沖スロ,2000,51.0,107.29,95.06,-12.23,-474,-0.093
沖スロ,2500,39.7,107.29,93.82,-13.48,-650,-0.101
沖スロ,3000,30.3,107.29,92.89,-14.41,-827,-0.109
沖スロ,4000,15.7,107.29,90.54,-16.76,-1316,-0.128
沖スロ,5000,6.8,107.29,87.31,-19.98,-2050,-0.157
