window_end,mean,n_obs,metric,window_days
2025-09-05,11.772771317829447,60,edge,60
2025-09-12,12.30862403100775,60,edge,60
2025-09-19,14.467296511627906,60,edge,60
2025-09-26,14.339631782945737,60,edge,60
2025-10-03,13.72238372093023,60,edge,60
2025-10-10,12.778343023255816,60,edge,60
2025-10-17,14.39372290106425,59,edge,60
2025-10-24,10.30794245171462,59,edge,60
2025-10-31,11.173137564052025,59,edge,60
2025-11-07,9.213638155301533,59,edge,60
2025-11-14,6.54784193929838,59,edge,60
2025-11-21,9.446442648797792,59,edge,60
2025-11-28,9.453094205754834,59,edge,60
2025-12-05,9.321294836420973,59,edge,60
2025-12-12,11.868701550387605,60,edge,60
2025-12-19,12.093265503875974,60,edge,60
2025-12-26,13.501937984496129,60,edge,60
2026-01-02,13.453003875968994,60,edge,60
2026-01-09,12.577761627906979,60,edge,60
2026-01-16,11.775678294573646,60,edge,60
2026-01-23,10.863856589147286,60,edge,60
2026-01-30,9.615794573643415,60,edge,60
2026-02-06,7.465843023255814,60,edge,60
2026-02-13,6.031976744186047,60,edge,60
2026-02-20,4.760901162790702,60,edge,60
2026-02-27,8.394379844961245,60,edge,60
2026-03-06,6.467781007751941,60,edge,60
2026-03-13,8.083575581395348,60,edge,60
2026-03-20,7.824127906976748,60,edge,60
2026-03-27,7.715358527131786,60,edge,60
2026-04-03,5.143653100775198,60,edge,60
2026-04-10,5.9505813953488405,60,edge,60
2026-04-17,6.4978197674418645,60,edge,60
2026-04-24,6.779554263565893,60,edge,60
2026-05-01,8.110707364341087,60,edge,60
2026-05-08,4.688226744186051,60,edge,60
2026-05-15,6.124031007751943,60,edge,60
2026-05-22,8.75920542635659,60,edge,60
2026-05-29,9.352955426356589,60,edge,60
2026-06-05,11.521482065431611,59,edge,60
2026-06-12,12.747832085139928,59,edge,60
2026-06-19,13.027265437048918,58,edge,60
2026-06-26,15.87234362469928,58,edge,60
2026-07-03,17.03312951082598,58,edge,60
2026-07-10,20.612289192595547,57,edge,60
2026-07-17,17.690806049309177,57,edge,60
2025-10-05,13.098352713178285,90,edge,90
2025-10-12,11.995962532299735,90,edge,90
2025-10-19,13.221844787039451,89,edge,90
2025-10-26,12.389273582440554,89,edge,90
2025-11-02,10.045237784165142,89,edge,90
2025-11-09,10.615201201985894,89,edge,90
2025-11-16,10.812973608570683,89,edge,90
2025-11-23,10.740135876665796,89,edge,90
2025-11-30,11.934609354585834,89,edge,90
2025-12-07,11.938855500391954,89,edge,90
2025-12-14,10.958812385680691,89,edge,90
2025-12-21,12.53004964724327,89,edge,90
2025-12-28,11.213091194146854,89,edge,90
2026-01-04,10.909328455709437,89,edge,90
2026-01-11,9.957202842377265,90,edge,90
2026-01-18,9.635497416020675,90,edge,90
2026-01-25,11.02228682170543,90,edge,90
2026-02-01,10.862241602067188,90,edge,90
2026-02-08,10.41682816537468,90,edge,90
2026-02-15,9.977067183462538,90,edge,90
2026-02-22,8.674257105943155,90,edge,90
2026-03-01,9.336401808785533,90,edge,90
