hall,category,score,n_days,daily_sd,overall_edge,w60_ratio,w60_p,w90_ratio,w90_p,range_min,range_max,detect_limit
K7,AT一般,hist_mean_diff,370,2258,554,1.99,0.006666666666666667,2.3,0.006666666666666667,-390.4,1867.8,100
K7,AT一般,hist_hit104_rate,370,1950,463,1.88,0.0,2.22,0.0,-167.2,1481.5,100
K7,技術介入,hist_mean_diff,370,841,55,1.05,0.41,1.07,0.38,-194.5,208.1,200
K7,技術介入,hist_hit104_rate,370,822,17,1.03,0.46,0.82,0.7,-148.4,156.7,200
K7,ハナハナ,hist_mean_diff,370,794,-6,1.15,0.3,1.39,0.11666666666666667,-205.6,113.1,200
K7,ハナハナ,hist_hit104_rate,370,746,-48,1.24,0.19,1.35,0.15,-352.4,69.5,100
K7,沖スロ,hist_mean_diff,365,1377,37,0.95,0.5766666666666667,1.12,0.4,-341.6,287.1,400
K7,沖スロ,hist_hit104_rate,365,1454,-11,0.75,0.8966666666666666,0.79,0.7966666666666666,-309.3,251.7,400
楽園,AT一般,hist_mean_diff,558,1397,64,1.03,0.44333333333333336,1.13,0.33666666666666667,-240.8,411.3,200
楽園,AT一般,hist_hit104_rate,558,990,17,0.85,0.7566666666666667,0.86,0.6966666666666667,-136.5,332.8,400
楽園,技術介入,hist_mean_diff,558,702,38,1.09,0.31333333333333335,1.15,0.27666666666666667,-106.1,288.0,200
楽園,技術介入,hist_hit104_rate,558,624,-10,0.87,0.8033333333333333,0.89,0.6866666666666666,-141.6,134.4,200
楽園,ハナハナ,hist_mean_diff,552,504,-1,1.26,0.11666666666666667,1.43,0.07,-157.5,163.0,100
楽園,ハナハナ,hist_hit104_rate,552,527,-17,1.06,0.41333333333333333,1.08,0.34,-118.3,132.1,100
楽園,沖スロ,hist_mean_diff,540,864,-7,1.12,0.2633333333333333,1.2,0.25333333333333335,-260.5,215.0,100
楽園,沖スロ,hist_hit104_rate,540,926,-40,1.11,0.2966666666666667,1.14,0.26,-422.4,183.7,200
雑色,AT一般,hist_mean_diff,557,1232,56,1.14,0.29,1.22,0.22666666666666666,-184.9,480.8,200
雑色,AT一般,hist_hit104_rate,557,1290,68,1.1,0.29,1.21,0.21,-314.6,436.7,400
雑色,技術介入,hist_mean_diff,547,548,-1,1.17,0.2,1.36,0.09333333333333334,-112.0,184.7,100
雑色,技術介入,hist_hit104_rate,547,560,8,1.09,0.3466666666666667,1.14,0.2966666666666667,-118.9,137.1,200
