hall,category,score,n_days,daily_sd,overall_edge,w60_ratio,w60_p,w90_ratio,w90_p,range_min,range_max,detect_limit
ARROW池上,AT一般,hist_mean_diff,542,1879,-240,1.06,0.39,1.15,0.29,-839.2,157.7,800
ARROW池上,AT一般,hist_hit104_rate,542,1867,-136,1.14,0.2733333333333333,1.24,0.22,-627.1,447.6,800
ARROW池上,技術介入,hist_mean_diff,537,640,-34,0.85,0.7833333333333333,0.78,0.85,-176.6,104.5,400
ARROW池上,技術介入,hist_hit104_rate,537,641,3,1.11,0.2866666666666667,1.16,0.2733333333333333,-165.4,134.9,400
ARROW池上,ハナハナ,hist_mean_diff,532,402,-46,1.2,0.14,1.37,0.10333333333333333,-175.3,43.0,100
ARROW池上,ハナハナ,hist_hit104_rate,532,413,-35,1.0,0.49666666666666665,1.04,0.4533333333333333,-134.9,95.2,200
ARROW池上,沖スロ,hist_mean_diff,537,1214,-34,1.21,0.16666666666666666,1.34,0.09666666666666666,-359.3,484.6,200
ARROW池上,沖スロ,hist_hit104_rate,537,1204,-10,0.98,0.53,0.92,0.6533333333333333,-192.1,334.0,400
ヒロキ東口,AT一般,hist_mean_diff,555,1215,-59,1.47,0.02,1.65,0.01,-614.9,282.3,100
ヒロキ東口,AT一般,hist_hit104_rate,555,1117,73,1.2,0.18333333333333332,1.38,0.09666666666666666,-295.9,387.1,200
ヒロキ東口,技術介入,hist_mean_diff,555,529,15,0.97,0.56,0.99,0.5266666666666666,-96.4,158.1,200
ヒロキ東口,技術介入,hist_hit104_rate,555,500,-29,1.22,0.16,1.21,0.22,-171.9,124.7,100
レイトギャップ,AT一般,hist_mean_diff,476,1765,-82,1.02,0.46,1.15,0.27666666666666667,-403.7,538.0,400
レイトギャップ,AT一般,hist_hit104_rate,476,1428,15,1.46,0.03666666666666667,1.69,0.016666666666666666,-461.1,420.4,100
レイトギャップ,技術介入,hist_mean_diff,476,668,69,1.1,0.3433333333333333,1.11,0.3566666666666667,-66.6,263.1,100
レイトギャップ,技術介入,hist_hit104_rate,476,695,58,1.41,0.05,1.55,0.05,-105.5,332.0,100
レイトギャップ,ハナハナ,hist_mean_diff,187,112,-4,0.53,0.8666666666666667,0.65,0.7633333333333333,-13.1,19.8,100
レイトギャップ,ハナハナ,hist_hit104_rate,187,113,-7,0.61,0.83,0.75,0.72,-21.2,19.8,100
レイトギャップ,沖スロ,hist_mean_diff,475,1425,97,1.03,0.4533333333333333,0.88,0.6766666666666666,-369.7,516.0,800
レイトギャップ,沖スロ,hist_hit104_rate,475,1227,36,1.2,0.17333333333333334,1.22,0.22333333333333333,-217.4,525.2,400
金時京急,AT一般,hist_mean_diff,559,1315,15,0.98,0.53,0.93,0.6,-308.9,219.9,400
金時京急,AT一般,hist_hit104_rate,559,1157,52,0.97,0.5833333333333334,0.93,0.6533333333333333,-225.8,436.1,400
金時京急,技術介入,hist_mean_diff,559,519,7,1.02,0.45,1.04,0.43666666666666665,-145.9,141.9,100
金時京急,技術介入,hist_hit104_rate,559,512,-4,1.17,0.20666666666666667,1.16,0.2966666666666667,-128.9,180.3,100
金時京急,沖スロ,hist_mean_diff,559,504,-28,1.28,0.09,1.42,0.07,-146.1,126.6,100
金時京急,沖スロ,hist_hit104_rate,559,525,-17,1.03,0.44,0.94,0.59,-162.1,126.5,100
K1,AT一般,hist_mean_diff,545,1757,-10,0.96,0.5733333333333334,1.14,0.3233333333333333,-501.3,354.9,400
K1,AT一般,hist_hit104_rate,545,1406,5,1.55,0.0,1.6,0.02,-540.2,410.3,100
K1,技術介入,hist_mean_diff,540,519,38,1.42,0.043333333333333335,1.65,0.02666666666666667,-143.8,342.0,100
K1,技術介入,hist_hit104_rate,540,508,31,1.24,0.13666666666666666,1.31,0.15666666666666668,-164.4,208.6,200
K1,ハナハナ,hist_mean_diff,545,583,-6,1.37,0.07333333333333333,1.55,0.03666666666666667,-203.3,241.6,100
K1,ハナハナ,hist_hit104_rate,545,543,-4,0.82,0.83,0.86,0.7133333333333334,-143.6,121.8,200
K1,沖スロ,hist_mean_diff,545,1042,-5,1.24,0.12,1.38,0.08333333333333333,-292.9,299.6,100
K1,沖スロ,hist_hit104_rate,545,1045,8,1.23,0.13666666666666666,1.38,0.08666666666666667,-341.5,289.2,100
