category,size_group,n_rows,n_machines,端n,端比率%,edge_resid_pp,ci_lo,ci_hi,games_gap,有意
ジャグ,(全体),44779,82,5404,12.1,0.349,0.06,0.662,517.0,*
ジャグ,small(<=8),6520,12,2135,32.7,0.104,-0.461,0.621,537.0,
ジャグ,medium(9-14),0,0,0,,,,,,
ジャグ,large(15+),38259,70,3269,8.5,0.525,0.168,0.933,500.0,*
AT一般,(全体),157083,436,24540,15.6,0.161,-0.148,0.468,287.0,
AT一般,small(<=8),19972,52,9635,48.2,0.395,-0.388,1.141,294.0,
AT一般,medium(9-14),36823,103,6036,16.4,0.141,-0.626,0.962,303.0,
AT一般,large(15+),100288,281,8869,8.8,0.048,-0.583,0.691,332.0,
技術介入,(全体),46739,204,6805,14.6,1.127,0.753,1.519,398.0,*
技術介入,small(<=8),4106,18,1701,41.4,0.506,-0.784,1.677,89.0,
技術介入,medium(9-14),10867,51,1966,18.1,1.232,0.362,2.082,337.0,*
技術介入,large(15+),31766,135,3138,9.9,1.351,0.821,1.971,598.0,*
ハナハナ,(全体),10448,25,2170,20.8,0.869,0.14,1.554,326.0,*
ハナハナ,small(<=8),4386,8,1098,25.0,1.402,0.284,2.505,456.0,*
ハナハナ,medium(9-14),6062,17,1072,17.7,0.381,-0.626,1.283,215.0,
ハナハナ,large(15+),0,0,0,,,,,,
