date,machine_number,machine_name,games,diff,payout,day_baseline,edge,pool_size,universe_size
20251001,3171,ゴーゴージャグラー3,7536,5500,1.2432767162066525,211.44578313253012,5288.55421686747,166,166
20251001,3182,ゴーゴージャグラー3,8296,-700,0.9718739954998393,211.44578313253012,-911.4457831325301,166,166
20251001,3185,ゴーゴージャグラー3,2509,0,1.0,211.44578313253012,-211.44578313253012,166,166
20251002,3171,ゴーゴージャグラー3,1031,-400,0.870675719366311,175.81699346405227,-575.8169934640523,153,153
20251002,3182,ゴーゴージャグラー3,2773,-1400,0.8317105421324679,175.81699346405227,-1575.8169934640523,153,153
20251002,3185,ゴーゴージャグラー3,7250,200,1.0091954022988505,175.81699346405227,24.183006535947726,153,153
20251003,3172,ゴーゴージャグラー3,5799,2000,1.1149623498304306,248.46625766871165,1751.5337423312883,163,163
20251003,3182,ゴーゴージャグラー3,7133,4500,1.2102902004766578,248.46625766871165,4251.5337423312885,163,163
20251003,3185,ゴーゴージャグラー3,3807,300,1.0262674021539269,248.46625766871165,51.53374233128835,163,163
20251004,3182,ゴーゴージャグラー3,3848,-600,0.9480249480249481,131.97674418604652,-731.9767441860465,172,172
20251004,3185,ゴーゴージャグラー3,8197,1800,1.0731975112846164,131.97674418604652,1668.0232558139535,172,172
20251004,3319,ジャグラーガールズ,4119,-1200,0.902889050740471,131.97674418604652,-1331.9767441860465,172,172
20251005,3182,ゴーゴージャグラー3,2651,-1300,0.8365396705645668,124.4186046511628,-1424.4186046511627,172,172
20251005,3185,ゴーゴージャグラー3,9089,2600,1.0953533575384165,124.4186046511628,2475.5813953488373,172,172
20251005,3319,ジャグラーガールズ,5180,-1600,0.8970398970398971,124.4186046511628,-1724.4186046511627,172,172
20251006,3172,ゴーゴージャグラー3,4171,-400,0.9680332454247582,147.76119402985074,-547.7611940298507,134,134
20251006,3182,ゴーゴージャグラー3,3966,-200,0.9831904521768364,147.76119402985074,-347.76119402985074,134,134
20251006,3319,ジャグラーガールズ,1503,-400,0.911288534043025,147.76119402985074,-547.7611940298507,134,134
20251007,3172,ゴーゴージャグラー3,7916,-400,0.9831564763348493,118.6046511627907,-518.6046511627907,172,172
20251007,3182,ゴーゴージャグラー3,4936,500,1.0337655321447865,118.6046511627907,381.3953488372093,172,172
20251007,3185,ゴーゴージャグラー3,1950,-1300,0.7777777777777778,118.6046511627907,-1418.6046511627908,172,172
20251008,3182,ゴーゴージャグラー3,2054,-900,0.8539435248296008,261.4457831325301,-1161.44578313253,166,166
20251008,3184,ゴーゴージャグラー3,1025,-400,0.8699186991869918,261.4457831325301,-661.4457831325301,166,166
20251008,3185,ゴーゴージャグラー3,2878,200,1.0231642344220524,261.4457831325301,-61.445783132530096,166,166
20251009,3182,ゴーゴージャグラー3,2106,-1300,0.7942386831275721,301.3333333333333,-1601.3333333333333,150,150
20251009,3184,ゴーゴージャグラー3,4885,1100,1.0750597065847833,301.3333333333333,798.6666666666667,150,150
20251009,3185,ゴーゴージャグラー3,2277,-900,0.8682476943346509,301.3333333333333,-1201.3333333333333,150,150
20251010,3172,ゴーゴージャグラー3,7585,2400,1.1054713249835202,185.88957055214723,2214.1104294478528,163,163
20251010,3182,ゴーゴージャグラー3,2983,200,1.0223488657950608,185.88957055214723,14.110429447852766,163,163
20251010,3185,ゴーゴージャグラー3,4041,300,1.0247463499133878,185.88957055214723,114.11042944785277,163,163
20251011,3172,ゴーゴージャグラー3,5305,600,1.0377002827521207,-197.67441860465115,797.6744186046511,172,172
20251011,3182,ゴーゴージャグラー3,4734,-900,0.9366286438529785,-197.67441860465115,-702.3255813953489,172,172
20251011,3185,ゴーゴージャグラー3,1445,200,1.0461361014994233,-197.67441860465115,397.6744186046511,172,172
20251013,3172,ゴーゴージャグラー3,8792,3000,1.113739763421292,347.09302325581393,2652.906976744186,172,172
20251013,3182,ゴーゴージャグラー3,2304,-1000,0.8553240740740741,347.09302325581393,-1347.093023255814,172,172
20251013,3185,ゴーゴージャグラー3,7910,700,1.0294985250737463,347.09302325581393,352.90697674418607,172,172
20251014,3172,ゴーゴージャグラー3,1019,100,1.0327118089630356,259.5890410958904,-159.58904109589042,146,146
20251014,3182,ゴーゴージャグラー3,5753,900,1.0521467060664,259.5890410958904,640.4109589041095,146,146
20251014,3185,ゴーゴージャグラー3,2546,300,1.0392772977219167,259.5890410958904,40.41095890410958,146,146
20251015,3172,ゴーゴージャグラー3,3079,200,1.0216520515318825,95.45454545454545,104.54545454545455,154,154
20251015,3182,ゴーゴージャグラー3,4398,-800,0.9393663786569653,95.45454545454545,-895.4545454545455,154,154
20251015,3185,ゴーゴージャグラー3,4233,-600,0.952752185211434,95.45454545454545,-695.4545454545455,154,154
20251016,3330,アイムジャグラーEX-TP,7077,2600,1.1224624370024963,133.33333333333334,2466.6666666666665,150,150
20251016,3182,ゴーゴージャグラー3,5575,500,1.0298953662182362,133.33333333333334,366.66666666666663,150,150
20251016,3323,ジャグラーガールズ,2821,-300,0.9645515774548032,133.33333333333334,-433.33333333333337,150,150
20251017,3172,ゴーゴージャグラー3,4636,-300,0.9784296807592753,11.764705882352942,-311.7647058823529,170,170
20251017,3182,ゴーゴージャグラー3,7051,1100,1.0520020800832033,11.764705882352942,1088.235294117647,170,170
20251017,3185,ゴーゴージャグラー3,4090,-400,0.967400162999185,11.764705882352942,-411.7647058823529,170,170
20251018,3182,ゴーゴージャグラー3,7573,3300,1.1452528720454245,99.4047619047619,3200.595238095238,168,168
20251018,3185,ゴーゴージャグラー3,2138,-800,0.8752728406610539,99.4047619047619,-899.4047619047619,168,168
