date,year,month,day,source,is_event_day,is_grand_opening,kamata7_diff,kamata7_weekday_strategy,kamata7_full_half,kamata1_diff,kamata1_weekday_strategy,kamata1_full_half,kamata7_content,kamata1_content
20250707,2025,7,7,poco,1,1,1857400.0,全機種全台,,156900.0,東日本合同→北斗,マイジャグ、鏡、ハーレム、スタアライト,全機種全台,東日本合同→北斗、全→マイジャグ、鏡、ハーレム、スタアライト
20250708,2025,7,8,poco,0,1,541700.0,グランド2日目→角2,3〜7台設置機種,112400.0,メガグランド2日目→角2,ヴヴヴ、モンキーロング島,グランド2日目→角2、発表→3〜7台設置機種,メガグランド2日目→角2、発表→ヴヴヴ、モンキーロング島
20250709,2025,7,9,poco,0,1,735900.0,グランド3日目→末尾3,3台設置、ゴージャグ3、キンハナ30等多数,201900.0,メガグランド3日目→末尾3,ヴヴヴ、カバネリ、ToLOVEる、戦国乙女,グランド3日目→末尾3、発表→3にまつわる機種(3台設置、ゴージャグ3、キンハナ30等多数),メガグランド3日目→末尾3、発表→ヴヴヴ、カバネリ、ToLOVEる、戦国乙女
20250710,2025,7,10,poco,0,1,621000.0,グランド4日目→角4,戦国乙女4、番長4,70200.0,メガグランド4日目→角4,ギルクラ2,グランド4日目→角4、発表→4にまつわる機種(戦国乙女4、番長4),メガグランド4日目→角4、発表→ギルクラ2
20250711,2025,7,11,poco,1,1,435200.0,,吉宗、発表→モンハンライズ,133900.0,,吉宗、発表→SBJ、戦国乙女、ハーレム、モンキーロング島,貫通→吉宗、発表→モンハンライズ,貫通→吉宗、発表→SBJ、戦国乙女、ハーレム、モンキーロング島
20250712,2025,7,12,poco,0,0,640800.0,グランド6日目→末尾6単品・3台並び,マギレコ,41100.0,メガグランド6日目→末尾6単品・3台並び,防振り、SAO、番長ZERO,グランド6日目→末尾6単品・3台並び、発表→マギレコ,メガグランド6日目→末尾6単品・3台並び、発表→防振り、SAO、番長ZERO
20250713,2025,7,13,poco,0,0,319300.0,日曜日→機種イチ以上,東京喰種,160300.0,日曜日→機種イチ以上,ToLOVEる、戦国乙女、麻雀物語、ルパン、鏡、ミラクル,日曜日→機種イチ以上、発表→東京喰種,日曜日→機種イチ以上、発表→ToLOVEる、戦国乙女、麻雀物語、ルパン、鏡、ミラクル
20250714,2025,7,14,poco,0,0,466500.0,月曜日→列全仕掛け：エヴァ約束(2179-2186),8台設置、ハッピーVIII、マジハロ8,66300.0,月曜日→列全仕掛け：モンキー(2167-2176)、吉宗・ヴヴヴ(2110-2120),,月曜日→列全仕掛け：エヴァ約束(2179-2186)、発表→8にまつわる機種(8台設置、ハッピーVIII、マジハロ8),月曜日→列全仕掛け：モンキー(2167-2176)、吉宗・ヴヴヴ(2110-2120)
20250715,2025,7,15,poco,0,0,390900.0,火曜日→角◯→角4,麻雀物語,53300.0,火曜日→角◯→角4,麻雀物語,火曜日→角◯→角4、貫通→麻雀物語、メガ仕掛け→4台設置機種,火曜日→角◯→角4、貫通→麻雀物語
20250716,2025,7,16,poco,0,0,206300.0,水曜日→末尾→ニブイチ末尾1と7、メガ仕掛け→17台設置(GE、吉宗),,18600.0,水曜日→末尾→ニブイチ末尾1と7,,水曜日→末尾→ニブイチ末尾1と7、メガ仕掛け→17台設置(GE、吉宗),水曜日→末尾→ニブイチ末尾1と7
