日付,曜日,店舗,分類,対象差枚,1台あたり,勝率,機種情報,コメント,矛盾フラグ
2025.08.18,月曜日,蒲田7,火曜日　角系,123300,1186,61/104,,,
2025.08.19,火曜日,蒲田7,月曜日　🎯列全,131800,,,,,
2025.08.20,水曜日,蒲田7,火曜日　🎯角〇,166600,,,,,
2025.08.21,木曜日,蒲田7,水曜日　🎯末尾,115300,,,,,
2025.08.24,日曜日,蒲田7,土曜日　🎯3台並び末尾起点,182000,,,,,
2025.08.25,月曜日,蒲田7,,135800,,,,,
2025.08.25,月曜日,蒲田7,火曜日　🎯角系,123300,1186,61/104,,,
2025.08.26,火曜日,蒲田7,月曜日　🎯列全,134900,,,,,
2025.08.27,水曜日,蒲田7,,138000,,,,,
2025.08.29,金曜日,蒲田7,8/28 木曜日 🎯ランダム→機種一以上,124300,,,,,
2025.09.15,月曜日,蒲田7,火曜日　🎯角系,123300,1186,61/104,,,
2025.09.22,月曜日,蒲田7,火曜日　🎯角系,123300,1186,61/104,,,
2025.09.22,月曜日,蒲田1,,46200,888,25/52,,,
2025.09.27,土曜日,蒲田7,日曜日　🎯機種1以上　3台以上対象,134600,3059,38/44,,,
2025.09.27,土曜日,蒲田7,,135800,2829,37/48,,,
2025.10.04,土曜日,蒲田7,日曜日　🎯機種1以上　3台以上対象,134600,3059,38/44,,,
2025.10.04,土曜日,蒲田7,,135800,2829,37/48,,,
2025.10.18,土曜日,蒲田7,日曜日　🎯機種1以上　3台以上対象,134600,3059,38/44,,,
2025.10.18,土曜日,蒲田7,,135800,2829,37/48,,,
2025.10.25,土曜日,蒲田7,日曜日　🎯機種1以上　3台以上対象,134600,3059,38/44,,,
2025.10.25,土曜日,蒲田7,,135800,2829,37/48,,,
2025.11.01,土曜日,蒲田7,日曜日　🎯機種1以上　3台以上対象,134600,3059,38/44,,,
2025.11.01,土曜日,蒲田7,,135800,2829,37/48,,,
2025.11.11,火曜日,蒲田7,,102400,,,,,
2026.01.06,火曜日,蒲田7,,118600,,,,,
