machine_name,manufacturer,release_date,machine_type,rtp_setting1,rtp_setting2,rtp_setting3,rtp_setting4,rtp_setting5,rtp_setting6,bb_setting1,bb_setting2,bb_setting3,bb_setting4,bb_setting5,bb_setting6,rb_setting1,rb_setting2,rb_setting3,rb_setting4,rb_setting5,rb_setting6,notes,source_url,source_status,source_confidence,source_query,source_candidate_count,source_reason,canonical_machine_name,manufacturer_canonical,cabinet_type,game_type,bt_flag,at_initial_setting1,at_initial_setting2,at_initial_setting3,at_initial_setting4,at_initial_setting5,at_initial_setting6,bonus_initial_setting1,bonus_initial_setting2,bonus_initial_setting3,bonus_initial_setting4,bonus_initial_setting5,bonus_initial_setting6,bonus_combined_setting1,bonus_combined_setting2,bonus_combined_setting3,bonus_combined_setting4,bonus_combined_setting5,bonus_combined_setting6,combined_initial_setting1,combined_initial_setting2,combined_initial_setting3,combined_initial_setting4,combined_initial_setting5,combined_initial_setting6,rtp_complete_setting1,rtp_complete_setting2,rtp_complete_setting3,rtp_complete_setting4,rtp_complete_setting5,rtp_complete_setting6,source_title,source_checked_at
/いざ番長/SB8,sabohani（サボハニ）,2025-06-02,スマスロ / AT,97.6,98.9,101.3,106.0,112.1,114.9,,,,,,,,,,,,,機種情報:ATタイプ/スマスロ/天井(最大999G+α)、AT純増約2.8枚or約5.0枚/G、ベース約32G、機械割は設定1=97.6%/設定2=98.9%/設定3=101.3%/設定4=106.0%/設定5=112.1%/設定6=114.9%、初当り合算確率は設定1=1/386.9/設定2=1/368.5/設定3=1/375.8/設定4=1/332.4/設定5=1/351.6/設定6=1/312.1、偶奇特徴(偶数設定=初当り高め安定、奇数設定=絶頂突入率優遇)、通常時モード「通常/チャンスA/チャンスB/天国」,https://1geki.jp/slot/l_bancho_iza/,selected,0.9,/いざ番長/SB8,1,manual_alias,いざ！番長,サボハニ,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,1/386.9,1/368.5,1/375.8,1/332.4,1/351.6,1/312.1,,,,,,,,
/ギルティクラウン2/XF,ACROSS（アクロス）,2025-06-02,スマスロ / A+AT,97.9,98.9,101.4,105.4,110.0,113.6,,,,,,,,,,,,,スマスロ ギルティクラウン2と同一 / AT初当り:1/386〜1/280 天井:899G+α,https://1geki.jp/slot/l_guiltycrown2/,selected,0.9,/ギルティクラウン2/XF,1,manual_alias,スマスロ ギルティクラウン2,アクロス,スマスロ,A+AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009 RE:CYBORG,newgin（ニューギン）,2023-09-04,スマスロ / AT,97.6,98.8,100.4,104.8,108.3,114.9,,,,,,,,,,,,,AT初当り:1/350.2〜1/256.3 天井:1280G+α,https://1geki.jp/slot/l_009recyborg/,selected,1.0,009 RE:CYBORG,1,"title_contains,slug_contains",009 RE:CYBORG,ニューギン,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000ちゃん,オーイズミ,2020-01-06,A+AT,97.4,98.4,100.8,104.1,106.0,109.0,1/185.1,1/184.1,1/183.1,1/185.1,1/184.1,1/183.1,1/532.8,1/468.1,1/420.1,1/436.9,1/372.4,1/336.1,RBはLIVE BONUS確率 / 天井:777G,https://1geki.jp/slot/s_1000chan_gokuraku/,selected,0.9,1000ちゃん,3,title_contains,1000ちゃん,オーイズミ,メダル,A+AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000ちゃんA,OIZUMI Labo(オーイズミラボ),2025-06-02,スマスロ / ノーマル / BT,98.0,99.8,,,104.0,108.0,1/190.0,1/182.0,,,1/164.3,1/152.8,,,,,,,ボーナス合算確率1/168.0(設定1)〜1/138.3(設定6)、機械割設定1=98.0%・設定2=99.8%・設定5=104.0%・設定6=108.0%(設定5から機械割100%超)、BIG合算1/190.0(設定1)〜1/152.8(設定6)、1000BONUS確率(1/1598.4)・BT初当り確率(1/1456.4)は全設定共通(設定差なし)、ボーナス合算は設定1=1/168.0、一撃掲載表にRB個別確率なし,https://1geki.jp/slot/lb_1000chan_a/,selected,1.0,1000ちゃんA,1,manual_exact_variant,1000ちゃんA,オーイズミラボ,スマスロ,ノーマル,1,,,,,,,,,,,,,1/168.0,,,,,,,,,,,,,,,,,,,
A‐SLOT+ この素晴らしい世界に祝福を！,サミー,2024-09-02,スマスロ / A+AT,98.5,99.3,101.2,102.9,105.1,107.6,1/266.4,1/265.3,1/256.0,1/252.1,1/246.4,1/238.3,1/399.6,1/378.8,1/366.1,1/346.8,1/326.0,1/312.1,完全攻略時出玉率:100.2%～110.4% 天井:非搭載,https://1geki.jp/slot/l_knsb_aslot/,selected,0.85,A‐SLOT+ この素晴らしい世界に祝福を！,1,title_contains,A‐SLOT+ この素晴らしい世界に祝福を！,サミー,スマスロ,A+AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A‐SLOT+ 異世界かるてっと,GINZA（銀座）,2026-04-06,スマスロ / ノーマル / BT,97.9,99.9,,,104.4,109.0,,,,,,,,,,,,,正式名称:A-SLOT+ 異世界かるてっと BT、ノーマル(A)タイプ/ボーナストリガー、設定1/2/5/6の4段階、完全攻略時出玉率は設定1=99.0%/設定2=101.1%/設定5=105.7%/設定6=110.6%、ボーナス初当りは設定1=1/197.6/設定2=1/193.9/設定5=1/175.4/設定6=1/161.1、ボーナス合算は設定1=1/99.9/設定2=1/98.1/設定5=1/89.1/設定6=1/82.1、型式名:LB 異世界かるてっと KR、検定番号:5S1513、一撃掲載表にBB/RB個別確率なし,https://1geki.jp/slot/l_isekai_quartet/,selected,0.9,A‐SLOT+ 異世界かるてっと,1,title_contains,A‐SLOT+ 異世界かるてっと,銀座,スマスロ,ノーマル,1,,,,,,,1/197.6,1/193.9,,,1/175.4,1/161.1,1/99.9,1/98.1,,,1/89.1,1/82.1,,,,,,,99.0,101.1,,,105.7,110.6,,
D4DJ Pachi‐Slot Mix,KYORAKU（京楽）,2024-08-05,スマスロ / AT,97.69,98.57,100.04,104.0,108.24,114.99,,,,,,,,,,,,,AT初当り:1/270.5〜1/191.3 天井:最大777G+α,https://1geki.jp/slot/l_d4dj/,selected,0.85,D4DJ Pachi‐Slot Mix,1,title_contains,D4DJ Pachi‐Slot Mix,京楽,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALFY,OIZUMI AMUZIO(オーイズミアミュージオ),2026-05-25,AT,98.2,99.9,,,103.5,106.2,1/295.2,1/292.6,,,1/284.9,1/277.7,1/399.6,1/360.1,,,1/312.1,1/277.7,LBスロットGALFY、準完全告知タイプのノーマル(BT)機、機械割(完全攻略時)は設定1=98.2%(100.3%)、設定2=99.9%(102.2%)、設定5=103.5%(105.9%)、設定6=106.2%(108.7%)、BB:RB確率(ボーナス合算)は設定1=1/295.2:1/399.6(合算1/169.8)、設定2=1/292.6:1/360.1(合算1/161.4)、設定5=1/284.9:1/312.1(合算1/148.9)、設定6=1/277.7:1/277.7(合算1/138.8、設定6はBIG・REG同確率1:1)、設定3・4は未掲載、BT中ハズレ確率に設定1-6で大きな差(設定読みの主軸)、ボーナス合算は設定1=1/169.8/設定2=1/161.4/設定5=1/148.9/設定6=1/138.8,https://1geki.jp/slot/lb_galfy/,selected,1.0,GALFY,1,"title_contains,slug_contains",GALFY,オーイズミアミュージオ,メダル,AT,0,,,,,,,,,,,,,1/295.2,1/292.6,,,1/284.9,1/277.7,,,,,,,,,,,,,,
GI優駿倶楽部黄金,Konami Amusement（コナミアミューズメント）,2024-02-05,スマスロ / AT,97.8,98.9,100.5,104.5,108.1,112.0,,,,,,,,,,,,,AT初当り:1/285.3〜1/239.5 天井:1111G+α,https://1geki.jp/slot/l_g1yshn_gold/,selected,0.85,GI優駿倶楽部黄金,1,title_contains,GI優駿倶楽部黄金,コナミアミューズメント,スマスロ,AT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
