dd,category,value,win_rate,hit104_rate,avg_diff,n_records,n_machines,n_dates
1,machine_name, サラリーマン金太郎,0.0,0.0,-1667.5,2,1,2
1,machine_name,1000ちゃんA,1.0,0.0,276.0,1,1,1
1,machine_name,A‐SLOT+ この素晴らしい世界に祝福を！,0.6666666666666666,0.0,-492.3333333333333,3,1,3
1,machine_name,A‐SLOT+ 異世界かるてっと,0.5,0.3333333333333333,-5.333333333333333,6,2,3
1,machine_name,BIRDIE WING ‐Golf Girls' Story‐,0.0,0.0,-927.5,4,4,1
1,machine_name,GALFY,0.0,0.0,-751.5,2,1,2
1,machine_name,Re:ゼロから始める異世界生活 season2,0.4166666666666667,0.4166666666666667,-216.0,12,8,3
1,machine_name,SHAKE BONUS TRIGGER,0.15384615384615385,0.07692307692307693,-1194.7692307692307,13,7,9
1,machine_name,ToLOVEるダークネス,0.13333333333333333,0.1,-1490.9666666666667,30,18,8
1,machine_name,ToLOVEるダークネス TRANCE ver.8.7,0.2777777777777778,0.2777777777777778,-475.05555555555554,18,9,7
1,machine_name,ULTRAMAN,0.0,0.0,-512.0,1,1,1
1,machine_name,ありふれた職業で世界最強,0.36363636363636365,0.36363636363636365,-479.45454545454544,11,7,4
1,machine_name,いざ！番長,0.30434782608695654,0.21739130434782608,261.6304347826087,46,17,13
1,machine_name,うしおととら 白面決戦,0.0,0.0,-1047.0,1,1,1
1,machine_name,うみねこのなく頃に2,0.3,0.2,-581.4,10,3,5
1,machine_name,かぐや様は告らせたい,0.32142857142857145,0.29464285714285715,18.330357142857142,112,18,19
1,machine_name,からくりサーカス,0.2682926829268293,0.2601626016260163,-355.219512195122,123,37,19
1,machine_name,とある科学の超電磁砲2,0.2222222222222222,0.2222222222222222,-198.33333333333334,9,7,3
1,machine_name,にゃんこ大戦争 超神速,0.2857142857142857,0.2857142857142857,-709.0,7,4,3
1,machine_name,ようこそ実力至上主義の教室へ,0.0,0.0,-1187.5,4,2,2
1,machine_name,わたしの幸せな結婚,0.1111111111111111,0.1111111111111111,-526.7777777777778,9,5,5
1,machine_name,アイドルマスター ミリオンライブ！ ネクストプロローグ,0.0,0.0,-1337.3,10,10,2
1,machine_name,アイムジャグラーEX-TP,0.377431906614786,0.22568093385214008,-67.5408560311284,257,27,16
1,machine_name,アズールレーン THE ANIMATION,0.1724137931034483,0.10344827586206896,-751.9655172413793,29,11,11
1,machine_name,アレックス ブライト,0.3870967741935484,0.22580645161290322,-369.9032258064516,31,8,12
1,machine_name,ウルトラミラクルジャグラー,0.3894736842105263,0.22105263157894736,-40.23157894736842,95,5,19
1,machine_name,ガールズ&パンツァー 最終章,0.5,0.5,508.0833333333333,12,9,5
1,machine_name,ギルティクラウン2,0.25,0.125,-562.625,8,8,2
1,machine_name,クランキークレスト,0.4375,0.4375,58.6875,16,4,16
1,machine_name,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,0.375,0.3125,52.90625,32,7,10
1,machine_name,ゴジラ,0.0,0.0,-3051.5,2,1,2
1,machine_name,ゴジラ対エヴァンゲリオン,0.1875,0.1875,-667.75,16,3,6
1,machine_name,ゴッドイーター リザレクション,0.3706896551724138,0.3275862068965517,95.48275862068965,116,47,19
1,machine_name,ゴブリンスレイヤーII,0.3333333333333333,0.3333333333333333,-603.0,6,6,2
1,machine_name,ゴーゴージャグラー3,0.4258373205741627,0.2631578947368421,41.55980861244019,209,11,19
1,machine_name,シャーマンキング,0.19047619047619047,0.19047619047619047,-1186.2380952380952,21,12,8
1,machine_name,シン・エヴァンゲリオン,0.25,0.25,-490.0,8,8,2
1,machine_name,ジャグラーガールズ,0.2982456140350877,0.16666666666666666,-105.44736842105263,114,6,19
1,machine_name,スマスロ サンダーV,0.5625,0.4375,195.9375,16,8,4
1,machine_name,スマスロ ドルアーガの塔,0.4,0.4,62.0,5,4,2
1,machine_name,スマスロ ハナビ,0.55,0.4,278.25,20,4,5
1,machine_name,スマスロ北斗の拳,0.3678571428571429,0.32142857142857145,107.78214285714286,280,29,17
1,machine_name,スマスロ炎炎ノ消防隊,0.32,0.24,116.84,25,12,12
1,machine_name,スマスロ炎炎ノ消防隊2,0.4,0.36,-75.92,25,5,5
1,machine_name,スマスロ秘宝伝,0.35294117647058826,0.17647058823529413,-99.23529411764706,17,15,4
1,machine_name,スマート沖スロ ニューキングハナハナV,0.3125,0.1875,-98.375,16,3,6
1,machine_name,スーパーブラックジャック,0.34177215189873417,0.3037974683544304,-42.392405063291136,79,26,17
1,machine_name,スーパーリオエース2,0.25,0.25,-221.625,8,4,2
1,machine_name,ソードアート・オンライン,0.25,0.25,-1000.75,4,4,2
1,machine_name,ソードアート・オンラインII,0.25,0.25,-2075.0,4,4,1
1,machine_name,ゾンビランドサガ,0.25,0.25,-299.25,4,2,4
1,machine_name,タクトオーパス デスティニー,0.0,0.0,-1226.5,2,1,2
1,machine_name,ダンベル何キロ持てる？,0.4090909090909091,0.3181818181818182,67.77272727272727,22,15,5
1,machine_name,ダーリン・イン・ザ・フランキス,0.38461538461538464,0.38461538461538464,-527.3846153846154,13,13,3
1,machine_name,チバリヨ2プラス,0.4166666666666667,0.3333333333333333,-599.75,12,4,3
1,machine_name,ディスクアップ ULTRAREMIX,0.4583333333333333,0.3541666666666667,-198.72916666666666,48,15,18
1,machine_name,ディスクアップ2,0.3333333333333333,0.3333333333333333,-815.0,3,1,3
1,machine_name,デビル メイ クライ5 スタイリッシュトライブ,0.21428571428571427,0.21428571428571427,-508.57142857142856,14,10,6
1,machine_name,ドッチ,0.16666666666666666,0.16666666666666666,-88.66666666666667,6,2,3
1,machine_name,ナイツ,0.2,0.2,-552.4,5,2,5
1,machine_name,ニューパルサーBT,0.2,0.0,-329.6,5,5,2
1,machine_name,ネオアイムジャグラーEX,0.35625,0.20625,-124.8875,160,17,11
1,machine_name,ネオプラネット,0.5,0.5,369.0,6,6,3
1,machine_name,ハイパーラッシュ,0.42857142857142855,0.35714285714285715,-117.57142857142857,14,2,7
1,machine_name,バイオハザード RE:3,0.2857142857142857,0.2857142857142857,925.7857142857143,14,9,2
1,machine_name,バイオハザード5,0.225,0.2,-620.525,40,25,10
1,machine_name,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,0.5,0.5,-1414.25,4,2,4
1,machine_name,バベル,0.0,0.0,-1293.3333333333333,3,3,1
1,machine_name,バンドリ！,0.42857142857142855,0.42857142857142855,1064.0,7,7,3
1,machine_name,バーサスリヴァイズ,0.5714285714285714,0.14285714285714285,163.0,7,1,7
1,machine_name,バーニングエクスプレス,0.3333333333333333,0.3333333333333333,-527.2222222222222,9,3,3
1,machine_name,ビッグドリーム THE GOLDEN PUSHER,0.3,0.3,934.8,10,10,2
1,machine_name,ファンキージャグラー2,0.4148936170212766,0.2978723404255319,144.62765957446808,94,17,19
1,machine_name,プリズムナナ,0.0,0.0,-1174.0,1,1,1
1,machine_name,マイジャグラーV,0.41640866873065013,0.25077399380804954,11.295665634674922,646,34,19
1,machine_name,マギアレコード 魔法少女まどか☆マギカ外伝,0.29545454545454547,0.22727272727272727,-42.79545454545455,88,16,15
1,machine_name,マジカルハロウィン ボーナストリガー,0.16666666666666666,0.16666666666666666,-593.1666666666666,6,6,3
1,machine_name,マジカルハロウィン8,0.0,0.0,-1347.0,2,1,2
1,machine_name,マタドールIII,0.2,0.0,-334.6,5,3,2
1,machine_name,ミスタージャグラー,0.3894736842105263,0.22105263157894736,14.25263157894737,95,10,19
1,machine_name,ミリオンゴッド‐神々の軌跡‐,0.29411764705882354,0.29411764705882354,-389.7450980392157,51,17,3
1,machine_name,モンキーターンV,0.3287671232876712,0.2831050228310502,44.7351598173516,219,17,19
1,machine_name,モンスターハンターライズ,0.3103448275862069,0.2672413793103448,-140.9051724137931,116,42,19
1,machine_name,ヨルムンガンド,0.0,0.0,-786.3333333333334,3,1,3
1,machine_name,ラブ嬢3～Wご指名はいかがですか?～,0.25,0.25,1924.25,4,4,4
1,machine_name,ルパン三世 大航海者の秘宝,0.22727272727272727,0.18181818181818182,-1151.7727272727273,22,10,8
1,machine_name,ヱヴァンゲリヲン ～約束の扉～,0.4166666666666667,0.25,-104.5,24,8,8
1,machine_name,一方通行 とある魔術の禁書目録,0.14285714285714285,0.14285714285714285,-1697.857142857143,7,4,3
1,machine_name,七つの魔剣が支配する,0.25,0.1875,146.8125,16,15,8
1,machine_name,不二子BT,0.3,0.2,-256.4,10,4,7
1,machine_name,主役は銭形4,0.25,0.25,47.75,12,3,4
1,machine_name,主役は銭形5,0.3,0.25,-52.95,20,13,5
1,machine_name,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,0.38095238095238093,0.3333333333333333,33.476190476190474,21,9,8
1,machine_name,仮面ライダー電王,1.0,1.0,768.0,1,1,1
1,machine_name,化物語,0.2926829268292683,0.24390243902439024,-494.8536585365854,41,7,7
1,machine_name,北斗の拳 転生の章2,0.422680412371134,0.36082474226804123,307.1855670103093,97,17,6
1,machine_name,南国育ち,0.5,0.5,586.25,4,4,1
1,machine_name,吉宗,0.34615384615384615,0.3076923076923077,-90.13461538461539,52,34,12
1,machine_name,咲‐Saki‐ 頂上決戦,0.375,0.375,743.75,8,4,3
1,machine_name,回胴黙示録カイジ 狂宴,0.07142857142857142,0.0,-681.0,14,9,5
1,machine_name,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,0.38461538461538464,0.3076923076923077,17.884615384615383,26,12,16
1,machine_name,戦国乙女4 戦乱に閃く炯眼の軍師,0.29545454545454547,0.25,66.70454545454545,88,31,18
1,machine_name,戦国乙女5 業火を穿つ宿焔の双刃,0.4,0.3,205.8,10,10,1
1,machine_name,押忍！番長4,0.2857142857142857,0.2857142857142857,311.64285714285717,14,6,7
1,machine_name,攻殻機動隊,0.36,0.32,-317.0,25,14,5
1,machine_name,新ハナビ,0.5,0.42857142857142855,174.21428571428572,14,3,14
1,machine_name,新鬼武者2,0.6666666666666666,0.5,429.8333333333333,6,2,3
1,machine_name,新鬼武者3,0.3333333333333333,0.3333333333333333,-58.645833333333336,48,26,9
1,machine_name,東京リベンジャーズ,0.3548387096774194,0.3225806451612903,293.64516129032256,62,26,8
1,machine_name,東京喰種,0.3383084577114428,0.30845771144278605,-171.98009950248758,201,27,17
1,machine_name,桃太郎電鉄 ～パチスロも定番!～,0.6666666666666666,0.6666666666666666,1023.3333333333334,3,1,3
1,machine_name,機動戦士ガンダムSEED,0.4166666666666667,0.4166666666666667,104.25,12,12,2
1,machine_name,機動戦士ガンダムユニコーン 覚醒DRIVE,0.043478260869565216,0.043478260869565216,-577.304347826087,23,13,3
1,machine_name,沖ドキ!BLACK,0.46835443037974683,0.43037974683544306,7.569620253164557,79,13,12
1,machine_name,沖ドキ!DUO アンコール,0.125,0.125,-897.325,40,9,5
1,machine_name,沖ドキ!GOLD‐30,0.2857142857142857,0.2857142857142857,-16.761904761904763,21,3,7
1,machine_name,炎炎ノ消防隊,0.0,0.0,-1848.5,2,1,2
1,machine_name,無職転生 ～異世界行ったら本気だす～,0.25,0.25,35.75,12,6,4
1,machine_name,犬夜叉2,0.75,0.75,2142.5,4,4,2
1,machine_name,甲鉄城のカバネリ,0.36507936507936506,0.31746031746031744,47.095238095238095,63,12,16
1,machine_name,甲鉄城のカバネリ 海門(うなと)決戦,0.38,0.28,179.86,50,14,4
1,machine_name,痛いのは嫌なので防御力に極振りしたいと思います。,0.36666666666666664,0.2,68.46666666666667,30,13,17
1,machine_name,真・一騎当千,0.6,0.4,2486.8,5,2,5
1,machine_name,真打 吉宗,0.5555555555555556,0.5555555555555556,1731.4444444444443,9,6,3
1,machine_name,範馬刃牙,0.2857142857142857,0.14285714285714285,11.714285714285714,7,3,5
1,machine_name,絶対衝激IV,0.25,0.0,-580.0,4,2,2
1,machine_name,絶対衝激～PLATONIC HEART～,0.0,0.0,-538.25,4,4,2
