dd,category,value,win_rate,hit104_rate,avg_diff,n_records,n_machines,n_dates
1,machine_name, サラリーマン金太郎,0.21052631578947367,0.10526315789473684,-19.68421052631579,19,10,4
1,machine_name,009 RE:CYBORG,0.25,0.25,-166.25,4,2,2
1,machine_name,1000ちゃんA,0.25,0.0,-118.75,4,3,2
1,machine_name,A‐SLOT+ この素晴らしい世界に祝福を！,0.3793103448275862,0.3448275862068966,-7.862068965517241,29,15,12
1,machine_name,A‐SLOT+ 異世界かるてっと,0.5,0.5,-39.333333333333336,6,4,3
1,machine_name,BIRDIE WING ‐Golf Girls' Story‐,0.0,0.0,-464.0,4,4,1
1,machine_name,D4DJ Pachi‐Slot Mix,0.75,0.25,60.0,4,1,4
1,machine_name,GALFY,0.16666666666666666,0.0,-380.8333333333333,6,3,2
1,machine_name,GI優駿倶楽部黄金,0.36363636363636365,0.36363636363636365,-34.36363636363637,11,6,7
1,machine_name,HEY！エリートサラリーマン鏡,0.39705882352941174,0.3235294117647059,-26.264705882352942,68,14,19
1,machine_name,OVER-SLOT「AINZ OOAL GOWN絶対支配者光臨」,0.0,0.0,0.0,1,1,1
1,machine_name,OVERLORD絶対支配者光臨II,0.05,0.05,-38.05,20,3,8
1,machine_name,Re:ゼロから始める異世界生活,0.0,0.0,0.0,1,1,1
1,machine_name,Re:ゼロから始める異世界生活 season2,0.17391304347826086,0.17391304347826086,-171.52173913043478,23,16,4
1,machine_name,SHAKE BONUS TRIGGER,0.5,0.3888888888888889,24.22222222222222,18,5,9
1,machine_name,SLOTドルアーガの塔,0.4,0.3333333333333333,-202.86666666666667,15,7,10
1,machine_name,Sister Quest,0.21428571428571427,0.21428571428571427,-448.7857142857143,14,10,9
1,machine_name,ToLOVEるダークネス,0.3382352941176471,0.29411764705882354,-134.11764705882354,68,19,14
1,machine_name,ToLOVEるダークネス TRANCE ver.8.7,0.36363636363636365,0.3333333333333333,375.5151515151515,33,13,13
1,machine_name,ULTRAMAN,0.5,0.5,-452.0,2,2,1
1,machine_name,あの日見た花の名前を僕達はまだ知らない。,0.5,0.5,333.5,2,1,2
1,machine_name,ありふれた職業で世界最強,0.2647058823529412,0.2647058823529412,-418.38235294117646,34,16,16
1,machine_name,いざ！番長,0.43478260869565216,0.34782608695652173,591.4347826086956,46,8,12
1,machine_name,うしおととら 白面決戦,0.25,0.25,-714.0,4,4,1
1,machine_name,うみねこのなく頃に2,0.7,0.55,583.8,20,8,5
