dd,hall_avg_diff_on_dd,hall_overall_avg_diff,hallwide_dd_baseline_lift,hall_avg_winrate_on_dd,hall_overall_avg_winrate,n_days
1,34995.21052631579,5106.7382671480145,29888.47225916777,35.578947368421055,33.391696750902526,19
2,8183.736842105263,5106.7382671480145,3076.998574957249,32.68421052631579,33.391696750902526,19
3,-952.6842105263158,5106.7382671480145,-6059.42247767433,32.526315789473685,33.391696750902526,19
4,-8633.842105263158,5106.7382671480145,-13740.580372411172,31.894736842105264,33.391696750902526,19
5,142.73684210526315,5106.7382671480145,-4964.001425042751,32.63157894736842,33.391696750902526,19
6,-160703.8947368421,5106.7382671480145,-165810.6330039901,32.05263157894737,33.391696750902526,19
7,18746.894736842107,5106.7382671480145,13640.156469694091,34.63157894736842,33.391696750902526,19
8,-6301.444444444444,5106.7382671480145,-11408.182711592459,31.666666666666668,33.391696750902526,18
9,-19260.052631578947,5106.7382671480145,-24366.790898726962,30.736842105263158,33.391696750902526,19
10,79973.11111111111,5106.7382671480145,74866.3728439631,36.72222222222222,33.391696750902526,18
11,75321.33333333333,5106.7382671480145,70214.59506618531,38.611111111111114,33.391696750902526,18
12,17845.944444444445,5106.7382671480145,12739.20617729643,32.5,33.391696750902526,18
13,26142.166666666668,5106.7382671480145,21035.428399518652,32.72222222222222,33.391696750902526,18
14,-4877.833333333333,5106.7382671480145,-9984.571600481348,30.944444444444443,33.391696750902526,18
15,12822.555555555555,5106.7382671480145,7715.81728840754,32.77777777777778,33.391696750902526,18
16,24135.055555555555,5106.7382671480145,19028.31728840754,33.166666666666664,33.391696750902526,18
17,22399.944444444445,5106.7382671480145,17293.20617729643,33.611111111111114,33.391696750902526,18
18,-3842.8888888888887,5106.7382671480145,-8949.627156036902,31.38888888888889,33.391696750902526,18
19,-18212.277777777777,5106.7382671480145,-23319.016044925793,29.833333333333332,33.391696750902526,18
20,-9298.5,5106.7382671480145,-14405.238267148015,32.77777777777778,33.391696750902526,18
21,-197474.83333333334,5106.7382671480145,-202581.57160048134,30.055555555555557,33.391696750902526,18
22,104114.55555555556,5106.7382671480145,99007.81728840755,40.166666666666664,33.391696750902526,18
23,36734.72222222222,5106.7382671480145,31627.983955074204,34.833333333333336,33.391696750902526,18
24,1571.0555555555557,5106.7382671480145,-3535.682711592459,33.05555555555556,33.391696750902526,18
25,17202.277777777777,5106.7382671480145,12095.539510629762,34.05555555555556,33.391696750902526,18
26,11158.277777777777,5106.7382671480145,6051.539510629763,33.27777777777778,33.391696750902526,18
27,29790.333333333332,5106.7382671480145,24683.595066185317,33.5,33.391696750902526,18
28,-10935.055555555555,5106.7382671480145,-16041.79382270357,31.88888888888889,33.391696750902526,18
29,4319.5,5106.7382671480145,-787.2382671480145,33.375,33.391696750902526,16
30,93914.5,5106.7382671480145,88807.76173285198,39.6875,33.391696750902526,16
31,-6928.8,5106.7382671480145,-12035.538267148015,32.2,33.391696750902526,10
