segment,machine_instance_id,dd,avg_diff_on_dd,n_dd,rate_104_on_dd,avg_winrate_on_dd,avg_diff_non_dd,rate_104_non_dd,avg_winrate_non_dd,low_confidence,new_machine_flag,exclusion_flag,exclusion_reason,machine_number,machine_name,section,rank_from_aisle,instance_start,instance_end
1000-1005,1000|ゴッドイーター リザレクション|20250101-20250420,1,2726.5,4,0.75,111.69589615955728,208.97142857142856,0.33980582524271846,96.76570685875488,True,True,False,,1000,ゴッドイーター リザレクション,1000-1005,,20250101,20250420
1000-1005,1000|ミリオンゴッド‐神々の軌跡‐|20260420-20260710,1,-1174.3333333333333,3,0.0,91.65561835772972,-86.35897435897436,0.2857142857142857,98.35484054668039,True,True,False,,1000,ミリオンゴッド‐神々の軌跡‐,1000-1005,,20260420,20260710
1000-1005,1000|モンキーターンV|20251006-20260419,1,-491.6666666666667,6,0.0,91.28277565051745,25.38421052631579,0.24210526315789474,94.32552675707919,True,True,False,,1000,モンキーターンV,1000-1005,,20251006,20260419
1000-1005,1000|吉宗|20250421-20251005,1,-2460.0,6,0.0,80.5081152575718,-447.89506172839504,0.2670807453416149,95.51166399756033,True,False,False,,1000,吉宗,1000-1005,,20250421,20251005
1000-1005,1001|ゴッドイーター リザレクション|20250101-20250420,1,-2892.75,4,0.0,79.5478625785708,809.9333333333333,0.41346153846153844,101.50536287771693,True,True,False,,1001,ゴッドイーター リザレクション,1000-1005,,20250101,20250420
1000-1005,1001|ミリオンゴッド‐神々の軌跡‐|20260420-20260710,1,-777.3333333333334,3,0.3333333333333333,92.36583701332778,-379.34615384615387,0.2077922077922078,94.0337317179745,True,True,False,,1001,ミリオンゴッド‐神々の軌跡‐,1000-1005,,20260420,20260710
1000-1005,1001|モンキーターンV|20251006-20260419,1,71.83333333333333,6,0.3333333333333333,97.21195366832559,69.0421052631579,0.2736842105263158,95.28999293050782,True,False,False,,1001,モンキーターンV,1000-1005,,20251006,20260419
1000-1005,1001|吉宗|20250421-20251005,1,-364.8333333333333,6,0.16666666666666666,87.89411673830925,-84.8641975308642,0.34782608695652173,101.15201845582969,True,False,False,,1001,吉宗,1000-1005,,20250421,20251005
1000-1005,1002|ゴッドイーター リザレクション|20250101-20250420,1,-1356.75,4,0.0,79.67430789151453,-41.333333333333336,0.2571428571428571,94.399584052298,True,False,False,,1002,ゴッドイーター リザレクション,1000-1005,,20250101,20250420
1000-1005,1002|ミリオンゴッド‐神々の軌跡‐|20260420-20260710,1,-2888.3333333333335,3,0.0,78.19647747632222,-417.1794871794872,0.2597402597402597,94.54186444590626,True,True,False,,1002,ミリオンゴッド‐神々の軌跡‐,1000-1005,,20260420,20260710
1000-1005,1002|モンキーターンV|20251006-20260419,1,-682.0,6,0.16666666666666666,93.33600136686668,10.93157894736842,0.23684210526315788,92.340495101469,True,False,False,,1002,モンキーターンV,1000-1005,,20251006,20260419
1000-1005,1002|吉宗|20250421-20251005,1,24.166666666666668,6,0.16666666666666666,89.4148696205819,-265.0432098765432,0.2857142857142857,97.63916419096027,True,False,False,,1002,吉宗,1000-1005,,20250421,20251005
1000-1005,1003|ゴッドイーター リザレクション|20250101-20250420,1,798.0,4,0.75,98.05391404077733,261.5809523809524,0.3523809523809524,99.29589892523987,True,False,False,,1003,ゴッドイーター リザレクション,1000-1005,,20250101,20250420
1000-1005,1003|ミリオンゴッド‐神々の軌跡‐|20260420-20260710,1,1000.3333333333334,3,0.3333333333333333,98.34311964786887,-354.3076923076923,0.23376623376623376,94.89508707219076,True,True,False,,1003,ミリオンゴッド‐神々の軌跡‐,1000-1005,,20260420,20260710
1000-1005,1003|モンキーターンV|20251006-20260419,1,-214.0,6,0.16666666666666666,98.50537781443995,240.47368421052633,0.3,95.46004297574386,True,False,False,,1003,モンキーターンV,1000-1005,,20251006,20260419
1000-1005,1003|吉宗|20250421-20251005,1,389.3333333333333,6,0.5,97.25501006675397,29.771604938271604,0.32298136645962733,98.91239802195028,True,False,False,,1003,吉宗,1000-1005,,20250421,20251005
