hall_label,dd,n_days,hall_avg_diff_on_dd,hall_median_diff_on_dd,hall_min_diff_on_dd,hall_max_diff_on_dd,hall_avg_win_rate_on_dd,hall_avg_hit104_rate_on_dd,hall_overall_avg_diff,hall_dd_diff_lift,hall_overall_avg_win_rate,hall_overall_hit104_rate
蒲田7,1,12,154450.0,184650.0,-251500,386300,43.0,8.3,130181.4,24268.6,40.399,3.0
蒲田7,2,12,127650.0,107800.0,-14800,327000,39.25,0.0,130181.4,-2531.4,40.399,3.0
蒲田7,3,12,106933.3,134300.0,-129500,344700,39.75,0.0,130181.4,-23248.1,40.399,3.0
蒲田7,4,12,85441.7,70700.0,-200600,264800,39.167,0.0,130181.4,-44739.8,40.399,3.0
蒲田7,5,12,146125.0,118900.0,-44200,400000,39.417,8.3,130181.4,15943.6,40.399,3.0
蒲田7,6,12,95966.7,43900.0,-168600,399100,38.083,0.0,130181.4,-34214.8,40.399,3.0
蒲田7,7,13,328438.5,185200.0,-76700,1857400,47.769,15.4,130181.4,198257.0,40.399,3.0
蒲田7,8,12,182383.3,129750.0,80200,541700,41.5,8.3,130181.4,52201.9,40.399,3.0
蒲田7,9,13,133961.5,82800.0,-22200,735900,38.846,7.7,130181.4,3780.1,40.399,3.0
蒲田7,10,13,126415.4,113100.0,-112100,621000,39.923,7.7,130181.4,-3766.0,40.399,3.0
蒲田7,11,13,129569.2,114200.0,-133900,435200,41.769,0.0,130181.4,-612.2,40.399,3.0
蒲田7,12,10,169730.0,143850.0,-24100,640800,40.3,10.0,130181.4,39548.6,40.399,3.0
蒲田7,13,12,96325.0,56050.0,-110200,330400,39.667,0.0,130181.4,-33856.4,40.399,3.0
蒲田7,14,12,137058.3,107150.0,-9600,466500,40.667,8.3,130181.4,6876.9,40.399,3.0
蒲田7,15,12,98266.7,82350.0,-43900,390900,39.5,0.0,130181.4,-31914.8,40.399,3.0
蒲田7,16,12,152875.0,156250.0,-12800,309400,40.083,0.0,130181.4,22693.6,40.399,3.0
蒲田7,17,12,162675.0,157200.0,-41800,404100,43.75,0.0,130181.4,32493.6,40.399,3.0
蒲田7,18,12,76191.7,75000.0,-28000,256500,37.75,0.0,130181.4,-53989.8,40.399,3.0
蒲田7,19,12,75808.3,79000.0,-23900,162300,37.583,0.0,130181.4,-54373.1,40.399,3.0
蒲田7,20,12,83808.3,55500.0,-61300,427400,39.083,0.0,130181.4,-46373.1,40.399,3.0
蒲田7,21,12,133933.3,169200.0,-137600,466400,40.667,0.0,130181.4,3751.9,40.399,3.0
蒲田7,22,12,120575.0,99000.0,-179500,468400,40.833,0.0,130181.4,-9606.4,40.399,3.0
蒲田7,23,12,67325.0,96150.0,-130300,244200,39.417,0.0,130181.4,-62856.4,40.399,3.0
蒲田7,24,12,125916.7,130050.0,-14800,247300,39.333,0.0,130181.4,-4264.8,40.399,3.0
蒲田7,25,12,100100.0,60850.0,-10900,342200,38.917,0.0,130181.4,-30081.4,40.399,3.0
蒲田7,26,12,108775.0,82950.0,11500,329600,38.333,0.0,130181.4,-21406.4,40.399,3.0
蒲田7,27,12,164908.3,181900.0,-4600,354800,43.333,0.0,130181.4,34726.9,40.399,3.0
蒲田7,28,12,105658.3,119700.0,-121800,369300,39.417,0.0,130181.4,-24523.1,40.399,3.0
蒲田7,29,11,47318.2,37100.0,-74900,295600,38.545,0.0,130181.4,-82863.2,40.399,3.0
蒲田7,30,11,257545.5,192000.0,123900,417900,45.545,9.1,130181.4,127364.0,40.399,3.0
蒲田7,31,6,124466.7,140550.0,-237000,445400,41.333,16.7,130181.4,-5714.8,40.399,3.0
