hall_label,segment,dd,n_rows,n_days,avg_diff,median_diff,std_diff,min_diff,max_diff,machine_number_min,machine_number_max
蒲田7,h_jug,1,2064,12,509.1,100.0,1540.9,-2900,7100,3117,3362
蒲田7,h_jug,2,2064,12,251.3,-100.0,1299.4,-2600,6900,3117,3362
蒲田7,h_jug,3,2064,12,147.5,-200.0,1233.6,-3400,6800,3117,3362
蒲田7,h_jug,4,2064,12,124.4,-200.0,1221.6,-3800,7100,3117,3362
蒲田7,h_jug,5,2064,12,133.7,-200.0,1246.0,-3000,7500,3117,3362
蒲田7,h_jug,6,2057,12,68.1,-200.0,1161.7,-3200,5800,3117,3362
蒲田7,h_jug,7,2229,13,364.1,100.0,1442.8,-3300,6900,3117,3362
蒲田7,h_jug,8,2064,12,240.7,-100.0,1278.4,-2800,8400,3117,3362
蒲田7,h_jug,9,2229,13,238.9,-100.0,1252.1,-2900,5900,3117,3362
蒲田7,h_jug,10,2229,13,166.4,-200.0,1234.8,-3000,6200,3117,3362
蒲田7,h_jug,11,2229,13,186.0,-100.0,1284.6,-3100,5700,3117,3362
蒲田7,h_jug,12,1720,10,126.5,-200.0,1193.7,-2900,5400,3117,3362
蒲田7,h_jug,13,2064,12,156.4,-100.0,1253.6,-3300,6700,3117,3362
蒲田7,h_jug,14,2064,12,273.5,-100.0,1370.0,-2700,7300,3117,3362
蒲田7,h_jug,15,2064,12,180.5,-100.0,1276.0,-3900,7000,3117,3362
蒲田7,h_jug,16,2064,12,208.7,-100.0,1247.3,-3300,5300,3117,3362
蒲田7,h_jug,17,2064,12,278.8,0.0,1368.6,-3100,6300,3117,3362
蒲田7,h_jug,18,2064,12,118.8,-200.0,1184.9,-3100,7100,3117,3362
蒲田7,h_jug,19,2064,12,141.3,-100.0,1170.1,-3100,5200,3117,3362
蒲田7,h_jug,20,2064,12,175.9,-200.0,1291.6,-3000,6200,3117,3362
蒲田7,h_jug,21,2064,12,253.2,-100.0,1356.2,-3700,7700,3117,3362
蒲田7,h_jug,22,2064,12,204.1,-100.0,1294.0,-3200,6300,3117,3362
蒲田7,h_jug,23,2064,12,143.2,-200.0,1224.2,-3300,6900,3117,3362
蒲田7,h_jug,24,2064,12,142.2,-100.0,1191.3,-2900,5800,3117,3362
蒲田7,h_jug,25,2064,12,101.0,-200.0,1195.4,-3900,5300,3117,3362
蒲田7,h_jug,26,2064,12,142.8,-100.0,1162.8,-3400,5900,3117,3362
蒲田7,h_jug,27,2064,12,260.6,0.0,1409.6,-4000,6600,3117,3362
蒲田7,h_jug,28,2064,12,195.0,-100.0,1287.1,-3000,6200,3117,3362
蒲田7,h_jug,29,1892,11,124.3,-200.0,1181.0,-3300,5200,3117,3362
蒲田7,h_jug,30,1892,11,454.3,100.0,1568.1,-3300,8100,3117,3362
蒲田7,h_jug,31,1032,6,411.2,0.0,1542.4,-3100,6600,3117,3362
蒲田7,h_nonjug,1,5964,12,115.6,-500.0,3168.4,-8500,18900,2011,3401
蒲田7,h_nonjug,2,5964,12,155.4,-400.0,3018.7,-8800,18900,2011,3401
蒲田7,h_nonjug,3,5964,12,144.4,-450.0,3048.2,-8700,18800,2011,3401
蒲田7,h_nonjug,4,5964,12,102.3,-500.0,3025.6,-8200,18600,2011,3401
蒲田7,h_nonjug,5,5964,12,235.9,-400.0,3050.8,-8300,18700,2011,3401
蒲田7,h_nonjug,6,5971,12,165.2,-400.0,3039.6,-8100,18500,2011,3401
蒲田7,h_nonjug,7,6468,13,479.2,-200.0,3654.3,-9300,19000,2011,3401
蒲田7,h_nonjug,8,5964,12,245.2,-400.0,3091.0,-8700,19000,2011,3401
蒲田7,h_nonjug,9,6468,13,159.4,-400.0,2959.1,-8200,19000,2011,3401
蒲田7,h_nonjug,10,6468,13,171.6,-400.0,3116.4,-8800,18600,2011,3401
蒲田7,h_nonjug,11,6468,13,173.5,-500.0,3435.7,-9600,19000,2011,3401
蒲田7,h_nonjug,12,4970,10,269.1,-400.0,3115.2,-8500,18900,2011,3401
蒲田7,h_nonjug,13,5964,12,96.9,-500.0,3114.9,-8800,19000,2011,3401
蒲田7,h_nonjug,14,5964,12,163.5,-400.0,3059.9,-7000,18500,2011,3401
蒲田7,h_nonjug,15,5964,12,124.0,-400.0,3036.0,-8200,18800,2011,3401
蒲田7,h_nonjug,16,5964,12,211.4,-400.0,3021.1,-9300,18900,2011,3401
蒲田7,h_nonjug,17,5964,12,212.6,-400.0,3346.6,-9600,18800,2011,3401
蒲田7,h_nonjug,18,5964,12,74.4,-500.0,2820.6,-8200,18500,2011,3401
蒲田7,h_nonjug,19,5964,12,89.7,-500.0,2899.7,-7700,18500,2011,3401
蒲田7,h_nonjug,20,5964,12,84.1,-500.0,2961.7,-8400,18800,2011,3401
蒲田7,h_nonjug,21,5964,12,178.6,-500.0,3152.6,-8300,18700,2011,3401
蒲田7,h_nonjug,22,5964,12,143.0,-500.0,3195.7,-9000,19000,2011,3401
蒲田7,h_nonjug,23,5964,12,61.1,-400.0,2858.2,-8700,19000,2011,3401
蒲田7,h_nonjug,24,5964,12,220.1,-400.0,3057.1,-8400,18800,2011,3401
蒲田7,h_nonjug,25,5964,12,152.6,-400.0,2990.0,-8400,18900,2011,3401
蒲田7,h_nonjug,26,5964,12,142.9,-400.0,2924.9,-9400,18800,2011,3401
蒲田7,h_nonjug,27,5964,12,225.4,-500.0,3597.3,-11700,18800,2011,3401
蒲田7,h_nonjug,28,5964,12,114.9,-400.0,2917.6,-8000,18900,2011,3401
蒲田7,h_nonjug,29,5467,11,51.9,-500.0,2914.2,-8600,16900,2011,3401
蒲田7,h_nonjug,30,5467,11,330.4,-400.0,3358.6,-8800,18800,2011,3401
蒲田7,h_nonjug,31,2982,6,104.4,-600.0,3183.7,-8000,18900,2011,3401
蒲田7,v_nonjug,1,552,12,205.1,-200.0,2918.0,-8500,16800,2001,3217
蒲田7,v_nonjug,2,552,12,156.5,-300.0,2834.2,-7400,18400,2001,3217
蒲田7,v_nonjug,3,552,12,212.5,-300.0,2911.6,-6400,18400,2001,3217
蒲田7,v_nonjug,4,552,12,287.5,-100.0,2774.8,-6700,13700,2001,3217
蒲田7,v_nonjug,5,552,12,128.3,-200.0,2748.5,-6300,17700,2001,3217
蒲田7,v_nonjug,6,552,12,45.3,-300.0,2560.2,-6100,13700,2001,3217
蒲田7,v_nonjug,7,598,13,599.7,0.0,3390.8,-6900,15800,2001,3217
蒲田7,v_nonjug,8,552,12,415.6,-100.0,2830.5,-5700,16400,2001,3217
蒲田7,v_nonjug,9,598,13,297.0,-200.0,2985.1,-6500,17800,2001,3217
蒲田7,v_nonjug,10,598,13,271.9,-300.0,2818.6,-5900,18300,2001,3217
蒲田7,v_nonjug,11,598,13,246.8,0.0,2814.8,-6800,11700,2001,3217
蒲田7,v_nonjug,12,460,10,309.1,-250.0,2681.2,-6100,15700,2001,3217
蒲田7,v_nonjug,13,552,12,462.1,-100.0,2706.9,-5000,15700,2001,3217
蒲田7,v_nonjug,14,552,12,189.9,-300.0,2799.0,-6100,15300,2001,3217
蒲田7,v_nonjug,15,552,12,121.2,-200.0,2564.9,-6900,12400,2001,3217
蒲田7,v_nonjug,16,552,12,259.2,-100.0,2758.3,-7800,18900,2001,3217
