epoch,section,section_min,section_max,n_machines,category
20250101,1000-1005,1000,1005,6,frame
20250101,1006-1016,1006,1016,11,frame
20250101,1017-1026,1017,1026,10,clean
20250101,1027-1036,1027,1036,10,clean
20250101,1037-1046,1037,1046,10,clean
20250101,1047-1056,1047,1056,10,clean
20250101,1057-1059,1057,1059,3,clean
20250101,1100-1105,1100,1105,6,interior_split
20250101,1106-1110,1106,1110,5,interior_split
20250101,1111-1115,1111,1115,5,interior_split
20250101,1116-1121,1116,1121,6,interior_split
20250101,1122-1129,1122,1129,8,interior_split
20250101,1130-1134,1130,1134,5,interior_split
20250101,1135-1138,1135,1138,4,frame
20250101,1139-1144,1139,1144,6,frame
20250101,1145-1151,1145,1151,7,frame
20250101,1152-1155,1152,1155,4,frame
20250101,1156-1169,1156,1169,14,clean
20250101,1170-1183,1170,1183,14,clean
20250101,1184-1196,1184,1196,13,clean
20250101,1197-1208,1197,1208,12,clean
20250101,1209-1216,1209,1216,8,frame
20250101,2000-2003,2000,2003,4,frame
20250101,2004-2007,2004,2007,4,frame
20250101,2008-2020,2008,2020,13,frame
20250101,2021-2032,2021,2032,12,clean
20250101,2033-2044,2033,2044,12,clean
20250101,2045-2057,2045,2057,13,clean
20250101,2058-2070,2058,2070,13,clean
20250101,2071-2075,2071,2075,5,clean
20250101,2076-2077,2076,2077,2,special
20250101,2080-2082,2080,2082,3,special
20250101,2083-2090,2083,2090,8,special
20250101,2100-2105,2100,2105,6,frame
20250101,2106-2110,2106,2110,5,frame
20250101,2111-2113,2111,2113,3,frame
20250101,2114-2125,2114,2125,12,clean
20250101,2126-2128,2126,2128,3,special
20250101,2129-2140,2129,2140,12,clean
20250101,2141-2151,2141,2151,11,clean
20250101,2152-2162,2152,2162,11,clean
20250101,2163-2170,2163,2170,8,frame
20250101,2171-2172,2171,2172,2,frame
20250101,2173-2184,2173,2184,12,frame
20250101,2185-2196,2185,2196,12,clean
20250101,2197-2209,2197,2209,13,clean
20250101,2210-2222,2210,2222,13,clean
20250101,2223-2231,2223,2231,9,clean
20250101,2232-2240,2232,2240,9,clean
20250101,3107-3112,3107,3112,6,frame
20250101,3113-3116,3113,3116,4,frame
20250101,3117-3120,3117,3120,4,frame
20250101,3121-3131,3121,3131,11,clean
20250101,3132-3141,3132,3141,10,clean
20250101,3142-3152,3142,3152,11,clean
20250101,3153-3163,3153,3163,11,clean
20250101,3164-3173,3164,3173,10,frame
20250101,3174-3179,3174,3179,6,frame
20250101,3180-3185,3180,3185,6,frame
20250101,3186-3199,3186,3199,14,clean
20250101,3200-3212,3200,3212,13,clean
20250101,3213-3225,3213,3225,13,clean
20250101,3226-3237,3226,3237,12,clean
20250101,3238-3249,3238,3249,12,clean
20250101,3250-3253,3250,3253,4,clean
20250101,3254-3257,3254,3257,4,clean
20250101,3258-3266,3258,3266,9,clean
20260706,1000-1005,1000,1005,6,frame
20260706,1006-1016,1006,1016,11,frame
20260706,1017-1026,1017,1026,10,clean
20260706,1027-1036,1027,1036,10,clean
20260706,1037-1046,1037,1046,10,clean
20260706,1047-1056,1047,1056,10,clean
20260706,1057-1059,1057,1059,3,clean
20260706,1100-1105,1100,1105,6,interior_split
20260706,1106-1110,1106,1110,5,interior_split
20260706,1111-1115,1111,1115,5,interior_split
20260706,1116-1121,1116,1121,6,interior_split
20260706,1122-1129,1122,1129,8,interior_split
20260706,1130-1134,1130,1134,5,interior_split
20260706,1135-1138,1135,1138,4,frame
20260706,1139-1144,1139,1144,6,frame
20260706,1145-1151,1145,1151,7,frame
20260706,1152-1155,1152,1155,4,frame
20260706,1156-1169,1156,1169,14,clean
20260706,1170-1183,1170,1183,14,clean
20260706,1184-1196,1184,1196,13,clean
20260706,1197-1208,1197,1208,12,clean
20260706,1209-1216,1209,1216,8,frame
20260706,2000-2003,2000,2003,4,frame
20260706,2004-2007,2004,2007,4,frame
20260706,2008-2020,2008,2020,13,frame
20260706,2021-2032,2021,2032,12,clean
20260706,2033-2044,2033,2044,12,clean
20260706,2045-2057,2045,2057,13,clean
20260706,2058-2070,2058,2070,13,clean
20260706,2071-2075,2071,2075,5,clean
20260706,2076-2077,2076,2077,2,special
20260706,2080-2082,2080,2082,3,special
20260706,2083-2090,2083,2090,8,special
20260706,2100-2105,2100,2105,6,frame
20260706,2106-2110,2106,2110,5,frame
20260706,2111-2113,2111,2113,3,frame
20260706,2114-2125,2114,2125,12,clean
20260706,2126-2128,2126,2128,3,special
20260706,2129-2140,2129,2140,12,clean
20260706,2141-2152,2141,2152,12,clean
20260706,2153-2164,2153,2164,12,clean
20260706,2165-2172,2165,2172,8,frame
20260706,2173-2174,2173,2174,2,frame
20260706,2175-2186,2175,2186,12,frame
20260706,2187-2198,2187,2198,12,clean
20260706,2199-2211,2199,2211,13,clean
20260706,2212-2224,2212,2224,13,clean
20260706,2225-2233,2225,2233,9,clean
20260706,2234-2242,2234,2242,9,clean
20260706,2243-2246,2243,2246,4,clean
20260706,2247-2250,2247,2250,4,clean
20260706,2251-2258,2251,2258,8,clean
20260706,3107-3112,3107,3112,6,frame
20260706,3113-3116,3113,3116,4,frame
20260706,3117-3120,3117,3120,4,frame
20260706,3121-3132,3121,3132,12,clean
20260706,3133-3143,3133,3143,11,clean
20260706,3144-3154,3144,3154,11,clean
20260706,3155-3165,3155,3165,11,clean
20260706,3166-3175,3166,3175,10,frame
20260706,3176-3181,3176,3181,6,frame
20260706,3182-3187,3182,3187,6,frame
20260706,3188-3201,3188,3201,14,clean
20260706,3202-3214,3202,3214,13,clean
20260706,3215-3227,3215,3227,13,clean
20260706,3228-3239,3228,3239,12,clean
20260706,3240-3251,3240,3251,12,clean
20260706,3252-3255,3252,3255,4,clean
20260706,3256-3259,3256,3259,4,clean
20260706,3260-3268,3260,3268,9,clean
