dow,dd_mod10,zorome_diff,non_zorome_diff,zorome_effect,zorome_plus,non_zorome_plus,zorome_n,non_zorome_n
月,0,29,123,-93,39.1,39.8,271,2515
月,1,136,175,-39,41.1,42.3,418,3840
月,2,-14,92,-107,35.1,39.3,350,3196
月,3,57,120,-63,43.1,39.1,346,3149
月,4,156,234,-78,44.0,42.4,275,2554
月,5,373,213,160,39.7,40.7,416,3810
月,6,151,151,0,38.6,37.4,332,3087
月,7,48,224,-175,43.3,42.7,210,1928
月,8,291,229,62,45.9,40.9,407,3740
月,9,-228,43,-271,33.4,36.7,338,3129
火,0,254,219,34,43.1,39.4,343,3174
火,1,787,124,662,48.4,39.1,277,2545
火,2,-138,233,-371,34.9,41.3,415,3817
火,3,107,88,19,37.5,38.8,347,3176
火,4,353,117,235,38.0,37.2,337,3129
火,5,829,424,405,52.2,45.6,274,2547
火,6,421,180,240,44.3,39.0,409,3755
火,7,232,177,54,41.7,41.7,350,3216
火,8,189,305,-116,38.0,42.2,274,2532
火,9,235,160,75,38.2,39.7,414,3809
水,0,95,159,-64,39.1,41.6,414,3805
水,1,268,282,-13,41.5,41.6,419,3841
水,2,58,152,-93,39.6,39.0,207,1904
水,3,238,196,41,42.7,40.7,412,3819
水,4,240,159,81,38.9,39.0,347,3151
水,5,632,25,606,48.3,34.9,346,3158
水,6,293,168,125,40.1,39.6,272,2551
水,7,310,285,24,45.0,43.7,418,3855
水,8,90,79,10,38.0,36.7,347,3146
水,9,358,324,34,47.3,44.0,277,2551
木,0,470,451,18,41.5,46.0,277,2535
木,1,186,270,-83,41.7,43.0,487,4468
木,2,183,158,25,39.0,37.0,346,3129
木,3,525,-7,533,48.5,33.9,206,1818
木,4,11,214,-202,37.5,41.1,411,3763
木,5,80,150,-69,37.1,38.4,340,3116
木,6,166,62,103,38.0,35.9,337,3093
木,7,505,373,132,47.1,47.0,276,2561
木,8,27,135,-108,36.7,37.5,338,3092
木,9,119,104,14,38.4,36.2,331,3084
金,0,134,100,33,39.8,38.1,347,3180
金,1,463,348,115,43.1,44.0,348,3182
金,2,284,225,59,45.4,41.6,350,3212
金,3,23,97,-74,35.2,38.2,347,3147
金,4,-31,40,-71,40.5,36.6,205,1893
金,5,102,131,-28,37.7,38.6,409,3793
金,6,-117,175,-293,35.6,40.3,348,3162
金,7,170,62,108,42.9,40.4,350,3211
金,8,326,253,72,42.7,40.7,274,2536
金,9,109,50,59,38.3,37.6,342,3144
土,0,417,283,134,48.3,44.4,350,3211
土,1,83,-10,94,39.5,39.5,420,3859
土,2,235,390,-155,48.4,46.3,277,2562
土,3,386,115,270,46.9,41.8,420,3857
土,4,418,231,187,46.3,42.8,350,3216
土,5,-134,107,-241,37.1,41.8,210,1931
土,6,617,309,307,45.0,44.6,418,3844
土,7,214,162,51,46.9,44.6,350,3217
土,8,521,188,333,47.4,42.3,350,3211
土,9,-43,286,-330,40.9,44.1,276,2560
日,0,576,240,335,45.3,45.1,276,2561
日,1,263,186,76,42.4,44.2,420,3851
日,2,467,229,238,42.9,41.4,280,2572
日,3,536,197,338,48.0,42.8,277,2561
日,4,327,113,214,44.6,41.0,419,3852
日,5,-193,143,-337,35.5,40.1,349,3216
日,6,54,168,-114,36.2,40.0,210,1929
日,7,420,312,108,47.8,46.4,418,3845
日,8,460,103,357,46.6,40.6,350,3214
日,9,-83,78,-162,36.1,39.2,280,2570
