floor,day_of_week,dd_mod10,n_cells,top3,avoid2
2F,水,0,10,"d8(+674),d2(+626),d9(+482)","d7(-84),d0(+2)"
2F,水,1,10,"d6(+581),d3(+554),d1(+515)","d8(+66),d5(+204)"
2F,水,2,10,"d2(+851),d8(+383),d7(+339)","d4(-93),d1(+95)"
2F,水,3,10,"d4(+541),d5(+511),d9(+421)","d2(-183),d1(+1)"
2F,水,4,10,"d1(+441),d9(+310),d0(+262)","d2(-82),d3(+5)"
2F,水,5,10,"d5(+668),d0(+501),d2(+434)","d3(-288),d8(-238)"
2F,水,6,10,"d1(+890),d7(+583),d8(+343)","d4(-399),d3(-296)"
2F,水,7,10,"d4(+808),d9(+482),d7(+425)","d1(+113),d6(+192)"
2F,水,8,10,"d9(+444),d8(+410),d1(+364)","d5(-139),d2(-133)"
2F,水,9,10,"d4(+884),d1(+622),d3(+576)","d5(-107),d7(-73)"
2F,土,0,10,"d3(+767),d2(+762),d9(+543)","d0(-31),d8(+175)"
2F,土,1,10,"d7(+368),d0(+324),d6(+301)","d8(-320),d5(-248)"
2F,土,2,10,"d6(+1430),d0(+859),d4(+843)","d1(+250),d5(+310)"
2F,土,3,10,"d3(+420),d4(+415),d6(+338)","d9(-95),d5(-93)"
2F,土,4,10,"d6(+896),d4(+618),d8(+460)","d1(-136),d3(-66)"
2F,土,5,10,"d7(+537),d8(+358),d1(+344)","d3(-131),d2(-130)"
2F,土,6,10,"d6(+801),d4(+774),d5(+763)","d3(-77),d2(+122)"
2F,土,7,10,"d6(+600),d8(+574),d0(+327)","d3(+27),d2(+92)"
2F,土,8,10,"d9(+657),d7(+604),d0(+529)","d3(-177),d6(-51)"
2F,土,9,10,"d9(+1257),d8(+501),d3(+474)","d7(-112),d6(+87)"
3F,水,0,10,"d8(+279),d9(+273),d2(+255)","d0(-379),d7(-144)"
3F,水,1,10,"d8(+683),d0(+252),d9(+221)","d2(-25),d7(+12)"
3F,水,2,10,"d1(+422),d6(+345),d9(+256)","d7(-292),d8(-213)"
3F,水,3,10,"d5(+478),d4(+299),d0(+290)","d2(-156),d3(-113)"
3F,水,4,10,"d5(+407),d3(+392),d0(+362)","d9(-67),d7(+16)"
3F,水,5,10,"d4(+260),d7(+209),d9(+84)","d2(-179),d3(-78)"
3F,水,6,10,"d1(+924),d7(+444),d4(+436)","d3(-269),d6(-106)"
3F,水,7,10,"d7(+453),d0(+325),d6(+248)","d9(+79),d5(+85)"
3F,水,8,10,"d7(+298),d8(+266),d0(+223)","d4(-249),d1(-247)"
3F,水,9,10,"d4(+836),d3(+715),d1(+460)","d0(-160),d6(+4)"
3F,土,0,10,"d2(+662),d3(+393),d1(+277)","d8(+13),d6(+59)"
3F,土,1,10,"d8(+100),d2(+81),d0(+62)","d3(-347),d4(-152)"
3F,土,2,10,"d6(+692),d5(+472),d7(+343)","d1(-217),d2(-90)"
3F,土,3,10,"d5(+506),d2(+293),d7(+177)","d9(-141),d6(-59)"
3F,土,4,10,"d6(+537),d5(+432),d2(+335)","d7(-49),d1(-31)"
3F,土,5,10,"d1(+356),d2(+321),d5(+233)","d8(-327),d7(-201)"
3F,土,6,10,"d5(+480),d3(+373),d4(+364)","d1(-173),d9(+13)"
3F,土,7,10,"d8(+454),d2(+399),d9(+124)","d6(-97),d3(-77)"
3F,土,8,10,"d7(+532),d5(+326),d4(+315)","d9(-150),d1(+33)"
3F,土,9,10,"d8(+549),d3(+378),d4(+283)","d7(-376),d9(+76)"
