dd_mod10,day_of_week,segment,machine_digit,n,avg_diff,plus_rate,hit104_rate,rank
0,月,A,3,73,352.0,43.8,34.2,1.0
0,月,A,4,73,275.0,43.8,26.0,2.0
0,月,A,5,74,247.0,40.5,25.7,3.0
0,月,A,7,77,216.0,40.3,29.9,4.0
0,月,A,9,77,205.0,45.5,31.2,5.0
0,月,A,2,76,180.0,40.8,23.7,6.0
0,月,A,8,75,140.0,36.0,29.3,7.0
0,月,A,1,76,126.0,47.4,22.4,8.0
0,月,A,0,77,66.0,39.0,26.0,9.0
0,月,A,6,76,-22.0,30.3,13.2,10.0
0,月,N,7,200,570.0,44.0,38.0,1.0
0,月,N,2,207,160.0,38.2,31.9,2.0
0,月,N,5,200,110.0,39.5,35.5,3.0
0,月,N,6,199,99.0,37.2,32.2,4.0
0,月,N,9,203,61.0,38.9,33.5,5.0
0,月,N,8,202,60.0,40.6,35.1,6.0
0,月,N,3,206,51.0,41.3,34.5,7.0
0,月,N,4,204,-2.0,37.7,33.3,8.0
0,月,N,1,212,-57.0,39.6,34.9,9.0
0,月,N,0,199,-131.0,36.7,32.7,10.0
0,火,A,2,98,245.0,42.9,23.5,1.0
0,火,A,9,98,214.0,41.8,31.6,2.0
0,火,A,1,98,156.0,40.8,21.4,3.0
0,火,A,7,98,144.0,37.8,24.5,4.0
0,火,A,5,95,56.0,38.9,27.4,5.0
0,火,A,8,97,45.0,42.3,27.8,6.0
0,火,A,6,95,41.0,33.7,20.0,7.0
0,火,A,3,92,38.0,38.0,18.5,8.0
0,火,A,4,92,24.0,34.8,20.7,9.0
0,火,A,0,97,-170.0,24.7,15.5,10.0
0,火,N,9,256,638.0,48.8,41.8,1.0
0,火,N,7,253,391.0,41.9,36.8,2.0
0,火,N,3,255,378.0,38.8,35.3,3.0
0,火,N,4,254,363.0,39.8,34.6,4.0
0,火,N,6,255,349.0,38.8,33.7,5.0
0,火,N,8,255,275.0,38.4,31.0,6.0
0,火,N,2,257,149.0,37.7,33.1,7.0
0,火,N,1,267,137.0,39.7,34.5,8.0
0,火,N,5,251,55.0,41.0,33.9,9.0
0,火,N,0,254,37.0,40.6,36.6,10.0
0,水,A,4,108,411.0,52.8,32.4,1.0
0,水,A,7,112,400.0,50.0,37.5,2.0
0,水,A,3,107,364.0,53.3,32.7,3.0
0,水,A,5,114,301.0,51.8,25.4,4.0
0,水,A,1,114,300.0,46.5,32.5,5.0
0,水,A,2,112,264.0,48.2,26.8,6.0
0,水,A,8,114,207.0,46.5,26.3,7.0
0,水,A,9,114,170.0,47.4,28.9,8.0
0,水,A,6,111,159.0,45.9,25.2,9.0
0,水,A,0,113,-50.0,35.4,22.1,10.0
0,水,N,8,304,572.0,42.4,34.9,1.0
0,水,N,2,314,495.0,44.3,38.5,2.0
0,水,N,9,305,453.0,42.6,35.7,3.0
0,水,N,6,305,190.0,40.3,35.7,4.0
0,水,N,4,313,138.0,39.9,34.5,5.0
0,水,N,5,303,20.0,38.6,34.0,6.0
0,水,N,1,326,-57.0,36.8,31.0,7.0
0,水,N,3,310,-66.0,39.0,32.9,8.0
0,水,N,0,315,-245.0,34.9,28.6,9.0
0,水,N,7,305,-304.0,31.8,27.9,10.0
0,木,A,9,73,756.0,53.4,38.4,1.0
0,木,A,1,75,673.0,54.7,38.7,2.0
0,木,A,8,76,514.0,47.4,34.2,3.0
0,木,A,0,76,507.0,50.0,35.5,4.0
0,木,A,7,76,451.0,50.0,34.2,5.0
0,木,A,4,72,412.0,51.4,34.7,6.0
0,木,A,6,76,408.0,44.7,39.5,7.0
0,木,A,5,75,261.0,42.7,25.3,8.0
0,木,A,3,71,132.0,40.8,22.5,9.0
0,木,A,2,75,-84.0,32.0,21.3,10.0
0,木,N,6,206,789.0,47.1,43.2,1.0
0,木,N,3,205,681.0,45.9,40.0,2.0
0,木,N,2,204,626.0,45.6,39.2,3.0
0,木,N,5,206,610.0,50.0,41.7,4.0
0,木,N,7,205,422.0,45.4,40.0,5.0
0,木,N,1,218,385.0,44.0,37.6,6.0
0,木,N,4,204,364.0,42.2,36.8,7.0
0,木,N,8,206,322.0,46.6,39.3,8.0
0,木,N,9,203,304.0,42.9,38.4,9.0
0,木,N,0,210,216.0,41.4,37.6,10.0
0,金,A,1,98,289.0,50.0,32.7,1.0
0,金,A,2,96,196.0,45.8,32.3,2.0
0,金,A,7,97,161.0,40.2,26.8,3.0
