day_of_week,dd_mod10,segment,top3,avoid2
水,0,A,"d4(+411),d7(+400),d3(+364)","d0(-50),d6(+159)"
水,0,N,"d8(+572),d2(+495),d9(+453)","d7(-304),d0(-245)"
水,1,A,"d2(+575),d9(+399),d4(+386)","d1(+179),d7(+208)"
水,1,N,"d8(+409),d6(+386),d0(+384)","d2(+14),d5(+65)"
水,2,A,"d1(+507),d5(+221),d8(+132)","d4(-78),d0(-39)"
水,2,N,"d2(+573),d6(+384),d9(+316)","d5(-106),d3(-12)"
水,3,A,"d5(+435),d0(+401),d6(+317)","d2(-132),d3(-1)"
水,3,N,"d5(+516),d4(+500),d0(+270)","d2(-182),d3(-46)"
水,4,A,"d1(+497),d3(+452),d0(+370)","d2(-214),d7(-88)"
水,4,N,"d1(+297),d0(+292),d5(+256)","d7(+49),d2(+57)"
水,5,A,"d0(+216),d3(+164),d4(+155)","d9(-143),d1(-43)"
水,5,N,"d5(+509),d0(+309),d9(+244)","d3(-302),d8(-156)"
水,6,A,"d7(+662),d1(+630),d2(+153)","d5(-134),d3(-101)"
水,6,N,"d1(+1005),d7(+457),d8(+376)","d3(-345),d6(-143)"
水,7,A,"d0(+450),d4(+340),d3(+336)","d8(+9),d2(+143)"
水,7,N,"d7(+521),d4(+493),d8(+441)","d1(+110),d6(+211)"
水,8,A,"d8(+453),d7(+191),d6(+156)","d1(+20),d4(+25)"
水,8,N,"d9(+354),d8(+294),d0(+182)","d4(-233),d2(-137)"
水,9,A,"d3(+650),d8(+547),d2(+463)","d9(+151),d5(+205)"
水,9,N,"d4(+1010),d3(+645),d1(+627)","d5(-136),d7(-20)"
土,0,A,"d9(+597),d7(+564),d4(+495)","d6(+215),d5(+269)"
土,0,N,"d2(+827),d3(+650),d5(+319)","d0(-100),d8(-33)"
土,1,A,"d9(+171),d5(+141),d8(+122)","d3(-168),d1(-62)"
土,1,N,"d0(+241),d7(+151),d6(+74)","d4(-204),d5(-199)"
土,2,A,"d7(+675),d6(+628),d5(+621)","d1(-22),d3(+38)"
土,2,N,"d6(+1214),d0(+563),d4(+482)","d1(+21),d3(+196)"
土,3,A,"d4(+407),d2(+334),d5(+330)","d7(+102),d8(+134)"
土,3,N,"d2(+303),d3(+269),d7(+242)","d9(-240),d8(-88)"
土,4,A,"d6(+668),d2(+403),d5(+364)","d4(+39),d9(+85)"
土,4,N,"d6(+730),d4(+512),d8(+420)","d1(-224),d3(-97)"
土,5,A,"d2(+939),d3(+830),d6(+153)","d0(-267),d7(-114)"
土,5,N,"d1(+487),d7(+262),d9(+192)","d3(-225),d2(-198)"
土,6,A,"d3(+601),d2(+465),d5(+433)","d7(+72),d8(+137)"
土,6,N,"d5(+686),d4(+671),d6(+635)","d1(-4),d3(-3)"
土,7,A,"d2(+680),d6(+322),d9(+276)","d4(+78),d0(+93)"
土,7,N,"d8(+606),d6(+219),d4(+196)","d3(-92),d1(-61)"
土,8,A,"d5(+629),d7(+518),d9(+373)","d8(+208),d4(+242)"
土,8,N,"d7(+586),d0(+382),d4(+279)","d3(-139),d6(-114)"
土,9,A,"d3(+533),d1(+389),d6(+342)","d0(+39),d5(+183)"
土,9,N,"d9(+786),d8(+644),d3(+389)","d7(-432),d1(-9)"
