day_of_week,seg,kakuban_min,n,avg_diff,std_diff,plus_rate,hit104_rate
月,A,1,559,103.0,1335.7,44.9,27.5
月,A,2,498,327.0,1297.9,50.6,30.9
月,A,3,510,372.0,1328.4,53.3,33.5
月,A,4,479,457.0,1324.6,54.7,35.5
月,A,5,501,402.0,1380.9,50.9,33.7
月,A,6,499,397.0,1384.2,51.7,33.9
月,A,7,485,320.0,1307.5,49.1,32.6
月,A,8,483,379.0,1372.4,53.2,34.8
月,A,9,470,407.0,1399.6,53.4,32.6
月,A,10,482,437.0,1369.6,53.5,35.5
月,A,11,448,362.0,1360.1,51.6,33.0
月,A,12,443,296.0,1324.7,49.9,30.0
月,A,13,388,305.0,1379.7,48.2,30.4
月,A,14,313,300.0,1314.6,51.8,30.7
月,A,15,234,185.0,1254.3,51.7,29.1
月,A,16,162,85.0,1205.6,42.6,24.7
月,A,17,34,18.0,1108.8,38.2,23.5
月,A,18,30,167.0,1185.9,56.7,23.3
月,A,19,30,217.0,935.2,46.7,30.0
月,A,20,31,484.0,1223.1,58.1,35.5
月,A,21,34,518.0,1124.8,61.8,41.2
月,A,22,42,305.0,1269.9,45.2,26.2
月,N,1,1641,144.0,3183.0,43.4,37.0
月,N,2,1527,248.0,3127.6,44.3,37.7
月,N,3,1460,118.0,3032.6,42.1,34.6
月,N,4,1426,206.0,3407.7,43.0,35.3
月,N,5,1461,239.0,3162.8,43.7,37.2
月,N,6,1442,453.0,3402.1,45.9,39.3
月,N,7,1457,268.0,3217.2,44.4,36.7
月,N,8,1397,323.0,3343.9,44.5,37.9
月,N,9,1415,221.0,3216.3,43.5,36.3
月,N,10,1202,228.0,3346.7,42.1,36.3
月,N,11,1116,385.0,3422.9,45.2,38.3
月,N,12,1155,170.0,3389.4,40.7,35.2
月,N,13,885,396.0,3631.4,43.7,37.5
月,N,14,799,138.0,3583.4,40.1,35.0
月,N,15,662,296.0,3412.4,42.9,37.2
月,N,16,465,75.0,3175.6,41.5,35.5
月,N,17,303,-129.0,3130.2,37.6,29.7
月,N,18,78,406.0,2523.7,48.7,39.7
月,N,19,38,-384.0,1908.2,34.2,23.7
月,N,20,36,233.0,2284.7,47.2,38.9
月,N,21,37,505.0,2699.6,48.6,43.2
月,N,22,42,340.0,2172.2,42.9,35.7
火,A,1,588,219.0,1297.2,47.3,29.6
火,A,2,503,219.0,1290.7,46.1,27.6
火,A,3,526,370.0,1386.1,51.9,34.0
火,A,4,498,383.0,1381.2,52.6,34.7
火,A,5,509,477.0,1466.8,51.9,33.8
火,A,6,552,486.0,1461.8,54.3,36.4
火,A,7,486,477.0,1453.0,53.5,36.6
火,A,8,514,531.0,1422.2,54.9,36.8
火,A,9,492,443.0,1394.8,53.7,35.6
火,A,10,484,392.0,1381.5,50.8,33.5
火,A,11,447,434.0,1374.7,54.6,34.2
火,A,12,477,378.0,1376.9,52.4,30.8
火,A,13,401,283.0,1316.2,50.4,31.4
火,A,14,319,323.0,1443.6,49.8,31.3
火,A,15,243,114.0,1276.2,42.8,26.3
火,A,16,172,30.0,1348.7,38.4,26.2
火,A,17,35,249.0,984.1,60.0,31.4
火,A,18,33,561.0,1388.6,57.6,36.4
火,A,19,34,650.0,1517.0,52.9,47.1
火,A,20,38,532.0,1429.4,55.3,36.8
火,A,21,38,-21.0,969.6,42.1,28.9
火,A,22,41,-185.0,1278.6,39.0,22.0
火,N,1,1662,107.0,3062.9,43.3,36.0
火,N,2,1545,274.0,3267.0,43.9,35.9
火,N,3,1492,367.0,3223.5,45.6,38.7
火,N,4,1510,354.0,3431.8,44.6,38.2
火,N,5,1523,282.0,3209.9,42.9,35.9
火,N,6,1518,533.0,3413.8,47.1,39.5
火,N,7,1500,501.0,3359.6,45.3,39.4
火,N,8,1438,348.0,3329.2,43.7,37.5
火,N,9,1441,440.0,3645.2,45.0,38.3
火,N,10,1213,419.0,3432.0,44.8,38.6
火,N,11,1120,277.0,3393.1,41.0,34.9
火,N,12,1174,174.0,3403.0,41.7,35.9
火,N,13,886,272.0,3462.8,42.2,35.8
火,N,14,786,294.0,3508.3,41.9,35.4
火,N,15,669,311.0,3628.6,42.5,36.5
火,N,16,499,256.0,3330.5,46.7,40.5
火,N,17,312,151.0,3059.6,43.6,36.9
火,N,18,84,362.0,2466.4,47.6,40.5
火,N,19,40,630.0,2332.5,47.5,37.5
火,N,20,36,558.0,2423.6,55.6,47.2
火,N,21,43,540.0,2441.1,48.8,34.9
火,N,22,43,30.0,2348.3,44.2,30.2
水,A,1,605,242.0,1305.9,49.1,29.1
水,A,2,513,360.0,1315.7,52.0,32.9
水,A,3,522,428.0,1371.5,51.9,33.7
水,A,4,501,399.0,1359.9,54.1,34.9
水,A,5,509,374.0,1311.5,54.4,32.2
水,A,6,510,455.0,1409.5,54.9,34.7
水,A,7,508,393.0,1417.1,49.6,33.3
水,A,8,515,337.0,1285.7,53.0,32.0
水,A,9,515,373.0,1395.3,52.4,33.2
水,A,10,492,452.0,1383.6,54.3,35.2
水,A,11,479,388.0,1380.3,53.7,31.9
水,A,12,468,256.0,1388.0,48.3,30.8
水,A,13,410,372.0,1365.9,50.2,32.7
水,A,14,337,345.0,1380.4,51.0,30.0
水,A,15,240,280.0,1379.3,50.0,32.1
