section,kakuban_min,n,avg_diff,std_diff,plus_rate,hit104_rate
2001-2010,1,41,120.0,2989.9,39.0,34.1
2001-2010,2,42,590.0,3358.4,47.6,42.9
2001-2010,3,36,350.0,2926.2,36.1,36.1
2001-2010,4,35,1051.0,3583.6,51.4,34.3
2001-2010,5,36,703.0,3019.2,47.2,41.7
2001-2010,6,40,492.0,2745.8,52.5,45.0
2001-2010,7,42,-231.0,3355.8,31.0,23.8
2001-2010,8,38,621.0,3889.8,34.2,34.2
2001-2010,9,38,1226.0,4292.8,50.0,44.7
2001-2010,10,36,-342.0,2149.9,36.1,25.0
2011-2022,1,37,354.0,3456.4,40.5,35.1
2011-2022,2,37,254.0,3004.6,40.5,32.4
2011-2022,3,30,1037.0,3082.7,50.0,40.0
2011-2022,4,40,78.0,2599.3,42.5,37.5
2011-2022,5,39,821.0,3362.1,53.8,35.9
2011-2022,6,35,366.0,2320.1,37.1,31.4
2011-2022,7,37,722.0,3102.7,51.4,45.9
2011-2022,8,36,850.0,3130.0,44.4,41.7
2011-2022,9,32,1341.0,3424.8,53.1,50.0
2011-2022,10,39,672.0,3727.5,41.0,30.8
2011-2022,11,39,1526.0,3750.9,46.2,46.2
2011-2022,12,42,-564.0,2171.1,28.6,23.8
2023-2031,1,39,67.0,2648.5,38.5,35.9
2023-2031,2,39,1141.0,3366.6,53.8,51.3
2023-2031,3,35,614.0,2887.5,57.1,45.7
2023-2031,5,36,1258.0,3279.4,55.6,50.0
2023-2031,6,34,753.0,3191.1,52.9,44.1
2023-2031,7,35,457.0,3415.4,37.1,34.3
2023-2031,8,34,924.0,2788.3,50.0,47.1
2023-2031,9,35,963.0,3135.2,54.3,51.4
2032-2040,1,37,-8.0,2899.7,35.1,35.1
2032-2040,2,34,597.0,3022.1,47.1,38.2
2032-2040,3,34,579.0,3563.6,38.2,38.2
2032-2040,4,41,298.0,2829.7,46.3,41.5
2032-2040,5,36,1467.0,3372.7,66.7,55.6
