weekday,seg,rank_source,kakuban_min,n,avg_diff,std_diff,plus_rate,hit104_rate
火,A,rank_from_max,1,578,41.0,1366.1,39.1,24.4
火,A,rank_from_max,2,520,259.0,1258.4,50.4,31.2
火,A,rank_from_max,3,483,476.0,1386.2,55.9,34.6
火,A,rank_from_max,4,493,394.0,1396.8,51.1,34.7
火,A,rank_from_max,5,504,459.0,1394.9,53.2,34.3
火,A,rank_from_max,6,507,430.0,1397.2,53.3,34.9
火,A,rank_from_max,7,487,455.0,1382.0,54.6,33.5
火,A,rank_from_max,8,516,508.0,1451.3,54.1,36.6
火,A,rank_from_max,9,492,508.0,1462.3,53.9,36.4
火,A,rank_from_max,10,513,406.0,1360.0,53.4,33.3
火,A,rank_from_max,11,475,462.0,1438.7,51.8,35.6
火,A,rank_from_max,12,480,293.0,1357.0,48.5,33.3
火,A,rank_from_max,13,408,253.0,1310.1,48.0,28.4
火,A,rank_from_max,14,333,244.0,1319.5,50.8,32.1
火,A,rank_from_max,15,253,280.0,1419.7,46.6,30.4
火,A,rank_from_max,16,170,213.0,1381.9,45.9,27.6
火,A,rank_from_max,17,40,-132.0,1173.7,37.5,25.0
火,A,rank_from_max,18,37,351.0,1333.5,56.8,27.0
火,A,rank_from_max,19,38,821.0,1469.2,68.4,47.4
火,A,rank_from_max,20,37,941.0,1293.5,73.0,48.6
火,A,rank_from_max,21,29,566.0,1437.3,58.6,34.5
火,A,rank_from_max,22,37,432.0,1297.4,51.4,40.5
火,N,rank_from_max,1,1660,88.0,3147.9,41.4,34.8
火,N,rank_from_max,2,1537,364.0,3230.1,45.7,37.7
火,N,rank_from_max,3,1490,412.0,3294.4,45.4,38.0
火,N,rank_from_max,4,1546,408.0,3433.7,43.8,36.9
火,N,rank_from_max,5,1494,386.0,3432.8,43.9,37.6
火,N,rank_from_max,6,1511,576.0,3414.4,47.1,40.1
火,N,rank_from_max,7,1497,432.0,3443.8,44.8,37.7
火,N,rank_from_max,8,1441,335.0,3340.8,43.4,36.4
火,N,rank_from_max,9,1409,420.0,3447.5,45.8,39.7
火,N,rank_from_max,10,1214,296.0,3384.6,44.4,38.1
火,N,rank_from_max,11,1122,332.0,3489.7,43.1,37.6
火,N,rank_from_max,12,1190,248.0,3369.4,41.3,35.8
火,N,rank_from_max,13,887,139.0,3197.9,42.2,35.9
火,N,rank_from_max,14,797,232.0,3427.1,44.4,37.9
火,N,rank_from_max,15,687,262.0,3552.1,41.8,36.4
火,N,rank_from_max,16,470,262.0,3337.8,44.3,35.7
火,N,rank_from_max,17,336,64.0,2927.2,42.3,36.6
火,N,rank_from_max,18,87,255.0,2159.8,50.6,35.6
火,N,rank_from_max,19,38,-187.0,2069.0,36.8,31.6
火,N,rank_from_max,20,40,135.0,3330.4,42.5,37.5
火,N,rank_from_max,21,44,-425.0,2361.7,40.9,29.5
火,N,rank_from_max,22,37,219.0,2482.5,48.6,43.2
火,A,rank_from_min,1,588,219.0,1297.2,47.3,29.6
火,A,rank_from_min,2,503,219.0,1290.7,46.1,27.6
火,A,rank_from_min,3,526,370.0,1386.1,51.9,34.0
火,A,rank_from_min,4,498,383.0,1381.2,52.6,34.7
火,A,rank_from_min,5,509,477.0,1466.8,51.9,33.8
火,A,rank_from_min,6,552,486.0,1461.8,54.3,36.4
火,A,rank_from_min,7,486,477.0,1453.0,53.5,36.6
火,A,rank_from_min,8,514,531.0,1422.2,54.9,36.8
火,A,rank_from_min,9,492,443.0,1394.8,53.7,35.6
火,A,rank_from_min,10,484,392.0,1381.5,50.8,33.5
火,A,rank_from_min,11,447,434.0,1374.7,54.6,34.2
火,A,rank_from_min,12,477,378.0,1376.9,52.4,30.8
火,A,rank_from_min,13,401,283.0,1316.2,50.4,31.4
火,A,rank_from_min,14,319,323.0,1443.6,49.8,31.3
火,A,rank_from_min,15,243,114.0,1276.2,42.8,26.3
火,A,rank_from_min,16,172,30.0,1348.7,38.4,26.2
火,A,rank_from_min,17,35,249.0,984.1,60.0,31.4
火,A,rank_from_min,18,33,561.0,1388.6,57.6,36.4
火,A,rank_from_min,19,34,650.0,1517.0,52.9,47.1
火,A,rank_from_min,20,38,532.0,1429.4,55.3,36.8
火,A,rank_from_min,21,38,-21.0,969.6,42.1,28.9
火,A,rank_from_min,22,41,-185.0,1278.6,39.0,22.0
火,N,rank_from_min,1,1662,107.0,3062.9,43.3,36.0
火,N,rank_from_min,2,1545,274.0,3267.0,43.9,35.9
火,N,rank_from_min,3,1492,367.0,3223.5,45.6,38.7
火,N,rank_from_min,4,1510,354.0,3431.8,44.6,38.2
火,N,rank_from_min,5,1523,282.0,3209.9,42.9,35.9
火,N,rank_from_min,6,1518,533.0,3413.8,47.1,39.5
火,N,rank_from_min,7,1500,501.0,3359.6,45.3,39.4
火,N,rank_from_min,8,1438,348.0,3329.2,43.7,37.5
火,N,rank_from_min,9,1441,440.0,3645.2,45.0,38.3
火,N,rank_from_min,10,1213,419.0,3432.0,44.8,38.6
火,N,rank_from_min,11,1120,277.0,3393.1,41.0,34.9
火,N,rank_from_min,12,1174,174.0,3403.0,41.7,35.9
火,N,rank_from_min,13,886,272.0,3462.8,42.2,35.8
火,N,rank_from_min,14,786,294.0,3508.3,41.9,35.4
火,N,rank_from_min,15,669,311.0,3628.6,42.5,36.5
火,N,rank_from_min,16,499,256.0,3330.5,46.7,40.5
火,N,rank_from_min,17,312,151.0,3059.6,43.6,36.9
火,N,rank_from_min,18,84,362.0,2466.4,47.6,40.5
火,N,rank_from_min,19,40,630.0,2332.5,47.5,37.5
火,N,rank_from_min,20,36,558.0,2423.6,55.6,47.2
火,N,rank_from_min,21,43,540.0,2441.1,48.8,34.9
火,N,rank_from_min,22,43,30.0,2348.3,44.2,30.2
