segment6,rank_basis,kakuban_group,weekday,n,all_weekday_mean_residual,weekday_mean_residual,weekday_specific_effect,t_stat,p_value,q_value,significant
2F_L_A,rank_from_max,K1,Thu,189,36.469425107036635,-159.84001007810534,-196.309435185142,-1.975765928096668,0.0496443364335564,0.3475103550348948,False
2F_L_A,rank_from_max,K1,Mon,194,36.469425107036635,261.1352479135984,224.66582280656178,1.8947648742400935,0.05961864477537771,0.417330513427644,False
2F_L_A,rank_from_max,K1,Fri,208,36.469425107036635,30.627861721611698,-5.841563385424964,-0.05548860419581455,0.9558027284367843,1.0,False
2F_L_A,rank_from_max,K1,Sat,232,36.469425107036635,145.63474958949098,109.16532448245431,0.9984485429464607,0.3191066390449951,1.0,False
2F_L_A,rank_from_max,K1,Sun,224,36.469425107036635,-75.87372448979593,-112.3431495968326,-1.0797328337781027,0.2814275736952086,1.0,False
2F_L_A,rank_from_max,K1,Tue,200,36.469425107036635,-93.675,-130.14442510703668,-1.141496905276397,0.25503492961720214,1.0,False
2F_L_A,rank_from_max,K1,Wed,210,36.469425107036635,134.56349206349205,98.09406695645538,0.9366337664415308,0.3500280053961569,1.0,False
2F_L_A,rank_from_max,K10-14,Thu,148,95.26539278131636,-137.92792792792795,-233.1933207092442,-2.0040317338693416,0.046903782614790085,0.32832647830353057,False
2F_L_A,rank_from_max,K10-14,Mon,147,95.26539278131636,320.68027210884355,225.41487932752713,1.550874098191905,0.12309685000290836,0.8616779500203585,False
2F_L_A,rank_from_max,K10-14,Fri,156,95.26539278131636,236.55982905982904,141.29443627851273,1.0780090997775797,0.28270450918546736,1.0,False
2F_L_A,rank_from_max,K10-14,Sat,181,95.26539278131636,25.340699815837983,-69.92469296547843,-0.5790936766809547,0.563249946416238,1.0,False
2F_L_A,rank_from_max,K10-14,Sun,169,95.26539278131636,-69.53648915187375,-164.8018819331901,-1.2401537159865277,0.21664785094097133,1.0,False
2F_L_A,rank_from_max,K10-14,Tue,149,95.26539278131636,80.30201342281879,-14.963379358497583,-0.10172721191284423,0.9191108936340883,1.0,False
2F_L_A,rank_from_max,K10-14,Wed,149,95.26539278131636,243.4004474272931,148.1350546459767,1.0919730682014557,0.2766193373929175,1.0,False
2F_L_A,rank_from_max,K2,Mon,169,133.29359016333805,423.4967596506057,290.2031694872677,2.326424815980764,0.021189822350537967,0.14832875645376578,False
2F_L_A,rank_from_max,K2,Fri,186,133.29359016333805,8.0805171530978,-125.2130730102403,-1.0925713722019492,0.2760027580476774,1.0,False
2F_L_A,rank_from_max,K2,Sat,220,133.29359016333805,35.67532467532465,-97.61826548801339,-0.9558428219982222,0.34020556905240923,1.0,False
2F_L_A,rank_from_max,K2,Sun,203,133.29359016333805,203.08644147314098,69.7928513098029,0.5482557191353072,0.5841217102551015,1.0,False
2F_L_A,rank_from_max,K2,Thu,160,133.29359016333805,-0.15848214285715584,-133.45207230619525,-1.227449463497685,0.22146788850774726,1.0,False
2F_L_A,rank_from_max,K2,Tue,192,133.29359016333805,160.56051587301585,27.26692570967781,0.25119079912974906,0.8019366341255162,1.0,False
2F_L_A,rank_from_max,K2,Wed,179,133.29359016333805,120.27932960893855,-13.01426055439955,-0.1264502882636831,0.8995182178482457,1.0,False
2F_L_A,rank_from_max,K3-4,Mon,419,166.9342980555054,-53.42482100238664,-220.35911905789197,-2.9807702206682714,0.003043197362635948,0.021302381538451636,True
2F_L_A,rank_from_max,K3-4,Fri,449,166.9342980555054,361.1284335560505,194.1941355005451,2.475199713543224,0.013685088817936973,0.0957956217255588,False
2F_L_A,rank_from_max,K3-4,Thu,403,166.9342980555054,346.487061325771,179.55276327026561,2.3513836196607545,0.019185699409267395,0.13429989586487176,False
2F_L_A,rank_from_max,K3-4,Sat,523,166.9342980555054,97.49294364017118,-69.44135441533422,-1.0785315534435163,0.28129472993302673,1.0,False
2F_L_A,rank_from_max,K3-4,Sun,495,166.9342980555054,148.83453583453584,-18.099762220969563,-0.22990516805042638,0.8182606257173637,1.0,False
2F_L_A,rank_from_max,K3-4,Tue,441,166.9342980555054,78.32226541410216,-88.61203264140325,-1.1160535739177648,0.26500832599757096,1.0,False
2F_L_A,rank_from_max,K3-4,Wed,434,166.9342980555054,206.4104674127715,39.47616935726618,0.5267205446678765,0.5986573830281947,1.0,False
2F_L_A,rank_from_max,K5-9,Fri,605,132.60489333737743,107.78709169618263,-24.817801641194844,-0.385599211611369,0.6999292836216781,1.0,False
2F_L_A,rank_from_max,K5-9,Mon,557,132.60489333737743,96.75899803368385,-35.84589530369359,-0.5257361561063344,0.59928115085018,1.0,False
2F_L_A,rank_from_max,K5-9,Sat,698,132.60489333737743,111.27421885659709,-21.330674480780345,-0.35849369961671673,0.7200824354011811,1.0,False
2F_L_A,rank_from_max,K5-9,Sun,659,132.60489333737743,81.45873979333767,-51.14615354403975,-0.7577917292654381,0.44884697317964706,1.0,False
2F_L_A,rank_from_max,K5-9,Thu,520,132.60489333737743,169.40315934065933,36.79826600328189,0.5784289706141283,0.5632254473340229,1.0,False
2F_L_A,rank_from_max,K5-9,Tue,612,132.60489333737743,166.0864067849362,33.48151344755877,0.5096913416135618,0.6104517631141525,1.0,False
2F_L_A,rank_from_max,K5-9,Wed,588,132.60489333737743,207.34855847100744,74.74366513363002,1.1806070996494635,0.2382370041324663,1.0,False
2F_L_N,rank_from_max,K1,Fri,906,-135.26883068262813,-126.51950163198708,8.749329050641085,0.09113982085104248,0.927401660072847,1.0,False
2F_L_N,rank_from_max,K1,Mon,927,-135.26883068262813,-22.511496292906912,112.75733438972115,1.190052623733117,0.23433072150877582,1.0,False
2F_L_N,rank_from_max,K1,Sat,1093,-135.26883068262813,-235.3265266208595,-100.05769593823143,-1.0510452686989364,0.2934703319315405,1.0,False
2F_L_N,rank_from_max,K1,Sun,1030,-135.26883068262813,-201.0435052050557,-65.77467452242763,-0.6917644540832019,0.4892413123421754,1.0,False
2F_L_N,rank_from_max,K1,Thu,844,-135.26883068262813,-24.70104263437829,110.56778804824981,1.1472478063144813,0.2516047099289301,1.0,False
2F_L_N,rank_from_max,K1,Tue,927,-135.26883068262813,-137.81781864306134,-2.548987960433262,-0.02753077568916835,0.9780423255871621,1.0,False
2F_L_N,rank_from_max,K1,Wed,936,-135.26883068262813,-163.36526866763478,-28.096437985006702,-0.28163019483719126,0.7782894025210063,1.0,False
2F_L_N,rank_from_max,K10-14,Sun,3623,45.37710626079931,-74.0538436981505,-119.43094995894985,-2.3339030526497493,0.019655217400883825,0.13758652180618677,False
2F_L_N,rank_from_max,K10-14,Fri,2993,45.37710626079931,132.83445538103467,87.45734912023534,1.5760076074714808,0.11512977015053719,0.8059083910537603,False
2F_L_N,rank_from_max,K10-14,Mon,3077,45.37710626079931,39.11121736694297,-6.265888893856362,-0.11809061705882208,0.9060035683466181,1.0,False
2F_L_N,rank_from_max,K10-14,Sat,3841,45.37710626079931,-21.492291228687996,-66.86939748948733,-1.2780539168184628,0.20130766553798024,1.0,False
2F_L_N,rank_from_max,K10-14,Thu,2759,45.37710626079931,110.727063633834,65.34995737303466,1.1257602382021814,0.2603649692095045,1.0,False
2F_L_N,rank_from_max,K10-14,Tue,3048,45.37710626079931,69.33845466586321,23.96134840506388,0.43075221515059536,0.6666790158405359,1.0,False
2F_L_N,rank_from_max,K10-14,Wed,3100,45.37710626079931,107.87041572437681,62.49330946357749,1.1065949598421958,0.2685549777968582,1.0,False
2F_L_N,rank_from_max,K15+,Sat,1442,-18.455041797463263,-184.0504869202756,-165.5954451228123,-1.963726919234635,0.049753788567252835,0.34827651997076986,False
2F_L_N,rank_from_max,K15+,Tue,1199,-18.455041797463263,141.1033258553251,159.55836765278838,1.7589748834263217,0.07883703912321134,0.5518592738624793,False
2F_L_N,rank_from_max,K15+,Fri,1138,-18.455041797463263,-12.169622801988645,6.285418995474625,0.06829787836524996,0.9455605214595655,1.0,False
2F_L_N,rank_from_max,K15+,Mon,1156,-18.455041797463263,-5.12456516107542,13.330476636387829,0.15565170453205762,0.8763347654230087,1.0,False
2F_L_N,rank_from_max,K15+,Sun,1347,-18.455041797463263,-71.49570346462131,-53.04066166715804,-0.6375373662044396,0.5238833085080765,1.0,False
2F_L_N,rank_from_max,K15+,Thu,1062,-18.455041797463263,48.37394382509037,66.82898562255365,0.7494202016793731,0.453770101742295,1.0,False
2F_L_N,rank_from_max,K15+,Wed,1189,-18.455041797463263,2.8979437175895044,21.35298551505275,0.22871091550577477,0.8191329732323406,1.0,False
2F_L_N,rank_from_max,K2,Wed,851,99.41388324732632,422.99668240525017,323.5827991579239,2.8427836555710355,0.004579300569940212,0.03205510398958148,True
2F_L_N,rank_from_max,K2,Sat,1067,99.41388324732632,-108.71533860287373,-208.12922185020005,-2.1186228601523873,0.03435317531248785,0.24047222718741493,False
2F_L_N,rank_from_max,K2,Sun,996,99.41388324732632,-88.47874572405048,-187.89262897137678,-1.9911823784531903,0.04673393993409712,0.32713757953867983,False
2F_L_N,rank_from_max,K2,Fri,839,99.41388324732632,284.5354803434275,185.12159709610117,1.755382947128328,0.07955918434486893,0.5569142904140825,False
