segment,digit_a,digit_b,pair_label,n_days,pearson_r
2F_L_N,0,1,0-1,342,0.1531933758908703
2F_L_N,0,2,0-2,342,0.13282813775867314
2F_L_N,0,3,0-3,342,0.18240204908793742
2F_L_N,0,4,0-4,342,0.0940657076765238
2F_L_N,0,5,0-5,342,0.11649224490661463
2F_L_N,0,6,0-6,342,0.05421570465330778
2F_L_N,0,7,0-7,342,0.057710672075026774
2F_L_N,0,8,0-8,342,0.08617354034106206
2F_L_N,0,9,0-9,342,0.06249327243980889
2F_L_N,1,2,1-2,342,0.12712691511322294
2F_L_N,1,3,1-3,342,0.14812546892551093
2F_L_N,1,4,1-4,342,0.07294411443870279
2F_L_N,1,5,1-5,342,0.08718693091661464
2F_L_N,1,6,1-6,342,0.031131272538047355
2F_L_N,1,7,1-7,342,0.1377916925550393
2F_L_N,1,8,1-8,342,0.04389187604204477
2F_L_N,1,9,1-9,342,0.0896848983989732
2F_L_N,2,3,2-3,342,0.18633163036590786
2F_L_N,2,4,2-4,342,0.17396018860715745
2F_L_N,2,5,2-5,342,0.07088079996161005
2F_L_N,2,6,2-6,342,0.09823865268193939
2F_L_N,2,7,2-7,342,0.0881414498978847
2F_L_N,2,8,2-8,342,0.04199004168044908
2F_L_N,2,9,2-9,342,0.0644457731789762
2F_L_N,3,4,3-4,342,0.17598973115364464
2F_L_N,3,5,3-5,342,0.20771686101706646
2F_L_N,3,6,3-6,342,0.08112750168362035
2F_L_N,3,7,3-7,342,0.10135178303774786
2F_L_N,3,8,3-8,342,0.0633148079109636
2F_L_N,3,9,3-9,342,0.12872887849058312
2F_L_N,4,5,4-5,342,0.08427251014946385
2F_L_N,4,6,4-6,342,0.14981646301326315
2F_L_N,4,7,4-7,342,0.04108462834630533
2F_L_N,4,8,4-8,342,0.15023663932671677
2F_L_N,4,9,4-9,342,0.1272104834079732
2F_L_N,5,6,5-6,342,0.1844449199394027
2F_L_N,5,7,5-7,342,0.11178916620524212
2F_L_N,5,8,5-8,342,0.17106662150797564
2F_L_N,5,9,5-9,342,0.11748131505690948
2F_L_N,6,7,6-7,342,0.1231731721755273
2F_L_N,6,8,6-8,342,0.10973341436855727
2F_L_N,6,9,6-9,342,0.16149832958823884
2F_L_N,7,8,7-8,342,0.07329654740532696
