dow,dd_mod10,event_type,top3,avoid,zorome_effect
月,0,非イベント,"d7(+471),d2(+165),d5(+146)","d1(-8),d0(-75)",-93
月,1,1のつく日,"d2(+435),d5(+385),d4(+245)","d6(+38),d7(-87)",-39
月,2,非イベント,"d4(+222),d7(+187),d2(+142)","d0(+3),d9(-1)",-107
月,3,非イベント,"d9(+383),d1(+366),d8(+178)","d4(-16),d7(-161)",-63
月,4,非イベント,"d1(+493),d2(+428),d6(+379)","d5(+74),d8(-159)",-78
月,5,非イベント,"d6(+423),d8(+318),d2(+301)","d9(+142),d4(+65)",160
月,6,非イベント,"d8(+380),d4(+337),d5(+290)","d1(-42),d6(-59)",0
月,7,7のつく日,"d0(+523),d4(+489),d9(+275)","d2(-8),d1(-55)",-175
月,8,非イベント,"d7(+364),d3(+336),d5(+295)","d0(+160),d1(+65)",62
月,9,非イベント,"d4(+135),d8(+109),d1(+102)","d7(-66),d3(-222)",-271
火,0,非イベント,"d9(+520),d7(+322),d3(+287)","d5(+55),d0(-20)",34
火,1,1のつく日,"d8(+574),d3(+510),d2(+272)","d4(+42),d1(-59)",662
火,2,非イベント,"d5(+405),d6(+349),d3(+272)","d1(+96),d0(+71)",-371
火,3,非イベント,"d9(+371),d3(+293),d6(+144)","d4(-32),d2(-80)",19
火,4,非イベント,"d5(+324),d7(+229),d8(+205)","d4(+44),d1(-186)",235
火,5,非イベント,"d2(+787),d8(+621),d4(+495)","d5(+306),d0(+278)",405
火,6,非イベント,"d3(+341),d5(+317),d6(+274)","d4(+123),d9(+25)",240
火,7,7のつく日,"d7(+434),d6(+354),d2(+323)","d0(+36),d5(-220)",54
火,8,非イベント,"d6(+642),d8(+429),d5(+337)","d7(+148),d9(+89)",-116
火,9,非イベント,"d0(+349),d7(+277),d5(+265)","d3(+26),d1(+0)",75
水,0,非イベント,"d8(+472),d2(+434),d9(+376)","d7(-114),d0(-193)",-64
水,1,1のつく日,"d8(+378),d6(+357),d0(+356)","d2(+168),d5(+112)",-13
水,2,非イベント,"d2(+451),d6(+315),d1(+266)","d3(+9),d5(-18)",-93
水,3,非イベント,"d5(+494),d4(+416),d0(+304)","d3(-34),d2(-168)",41
水,4,非イベント,"d1(+346),d0(+313),d5(+271)","d7(+11),d2(-15)",81
水,5,非イベント,"d5(+362),d0(+283),d4(+197)","d8(-88),d3(-180)",606
水,6,非イベント,"d1(+907),d7(+512),d8(+303)","d6(-95),d3(-282)",125
水,7,7のつく日,"d4(+453),d7(+438),d8(+324)","d6(+220),d1(+128)",24
水,8,非イベント,"d8(+337),d9(+276),d6(+164)","d2(-64),d4(-164)",10
水,9,非イベント,"d4(+859),d3(+646),d1(+538)","d7(+59),d5(-42)",34
木,0,非イベント,"d6(+686),d3(+540),d5(+516)","d8(+374),d0(+293)",18
木,1,1のつく日,"d7(+417),d6(+388),d0(+337)","d4(+157),d3(+82)",-83
木,2,非イベント,"d2(+453),d4(+296),d0(+266)","d7(+30),d5(-62)",25
木,3,非イベント,"d9(+391),d0(+330),d1(+56)","d4(-69),d7(-106)",533
木,4,非イベント,"d7(+434),d9(+383),d3(+364)","d1(+46),d0(+34)",-202
木,5,非イベント,"d4(+289),d7(+258),d0(+221)","d5(+11),d6(-17)",-69
木,6,非イベント,"d0(+340),d2(+294),d7(+181)","d9(-51),d3(-128)",103
木,7,7のつく日,"d8(+768),d2(+623),d5(+470)","d6(+213),d4(+124)",132
木,8,非イベント,"d4(+347),d0(+294),d1(+253)","d9(-7),d3(-99)",-108
木,9,非イベント,"d9(+287),d7(+253),d4(+211)","d2(+8),d3(-79)",14
金,0,非イベント,"d6(+322),d8(+152),d3(+132)","d1(+36),d4(-11)",33
金,1,1のつく日,"d9(+587),d6(+471),d2(+465)","d1(+224),d5(+54)",115
金,2,非イベント,"d6(+389),d7(+349),d1(+314)","d4(+141),d3(+119)",59
金,3,非イベント,"d4(+289),d2(+201),d5(+145)","d7(-36),d3(-36)",-74
金,4,非イベント,"d5(+355),d6(+290),d1(+164)","d3(-175),d4(-177)",-71
金,5,非イベント,"d6(+364),d9(+294),d4(+231)","d2(+4),d0(-32)",-28
金,6,非イベント,"d2(+371),d8(+337),d5(+328)","d3(-106),d6(-206)",-293
金,7,7のつく日,"d1(+317),d9(+305),d0(+254)","d5(-229),d2(-316)",108
金,8,非イベント,"d4(+598),d5(+494),d0(+416)","d2(+73),d3(+68)",72
金,9,非イベント,"d6(+293),d9(+172),d8(+117)","d1(-30),d3(-110)",59
土,0,非イベント,"d2(+711),d3(+576),d9(+382)","d8(+92),d0(+46)",134
土,1,1のつく日,"d0(+189),d7(+114),d9(+85)","d4(-123),d3(-177)",94
土,2,非イベント,"d6(+1,056),d0(+470),d7(+422)","d3(+155),d1(+9)",-155
土,3,非イベント,"d2(+310),d3(+276),d5(+212)","d8(-28),d9(-118)",270
土,4,非イベント,"d6(+713),d4(+386),d8(+385)","d3(+22),d1(-81)",187
土,5,非イベント,"d1(+350),d7(+160),d9(+109)","d8(+10),d4(-97)",-241
土,6,非イベント,"d5(+618),d4(+564),d6(+506)","d0(+111),d1(+77)",307
土,7,7のつく日,"d8(+513),d2(+249),d6(+246)","d1(+26),d3(-25)",51
土,8,非イベント,"d7(+567),d0(+359),d4(+269)","d6(+0),d3(-14)",333
土,9,非イベント,"d9(+655),d8(+525),d3(+425)","d1(+94),d7(-246)",-330
日,0,非イベント,"d9(+714),d2(+415),d6(+347)","d4(+61),d7(+22)",335
日,1,1のつく日,"d6(+393),d4(+366),d3(+275)","d2(+85),d5(-35)",76
日,2,非イベント,"d5(+537),d6(+478),d7(+389)","d9(+25),d1(-81)",238
日,3,非イベント,"d1(+445),d6(+356),d5(+337)","d0(+84),d4(+2)",338
日,4,非イベント,"d7(+322),d4(+303),d8(+242)","d2(-64),d3(-77)",214
日,5,非イベント,"d0(+293),d8(+235),d5(+232)","d3(-21),d4(-68)",-337
日,6,非イベント,"d1(+591),d7(+341),d8(+231)","d3(-29),d2(-139)",-114
日,7,7のつく日,"d1(+528),d6(+409),d2(+394)","d7(+226),d8(+185)",108
日,8,非イベント,"d0(+343),d5(+249),d8(+248)","d9(+14),d4(-26)",357
日,9,非イベント,"d8(+276),d1(+232),d3(+218)","d5(-84),d7(-95)",-162
