segment,day_of_week,dd_mod10,top1,top2,top3,avoid1,avoid2
2F_L_N,月,0,d4(+697),d8(+452),d7(+403),d0(-9),d6(+23)
2F_L_N,月,1,d0(+563),d2(+474),d4(+451),d3(-271),d6(-178)
2F_L_N,月,2,d2(+894),d7(+718),d6(+564),d8(-214),d5(+50)
2F_L_N,月,3,d1(+809),d9(+477),d3(+188),d8(-389),d2(-38)
2F_L_N,月,4,d7(+1003),d2(+847),d1(+572),d8(-578),d3(-107)
2F_L_N,月,5,d0(+591),d9(+536),d5(+492),d4(-252),d2(+91)
2F_L_N,月,6,d8(+759),d4(+295),d3(+260),d1(-146),d9(-52)
2F_L_N,月,7,d4(+1062),d3(+739),d9(+678),d7(-88),d5(-78)
2F_L_N,月,8,d9(+597),d6(+351),d5(+348),d8(+110),d2(+118)
2F_L_N,月,9,d7(+262),d9(+231),d6(+200),d4(-360),d3(-26)
2F_L_N,火,0,d6(+699),d9(+520),d7(+498),d2(-56),d3(-25)
2F_L_N,火,1,d0(+481),d3(+389),d9(+307),d1(-79),d8(+165)
2F_L_N,火,2,d9(+671),d5(+542),d7(+264),d0(-463),d3(-55)
2F_L_N,火,3,d9(+917),d0(+273),d3(+265),d5(-363),d7(-126)
2F_L_N,火,4,d8(+720),d7(+671),d6(+417),d4(-217),d1(-30)
2F_L_N,火,5,d5(+1256),d8(+1181),d9(+1044),d0(+218),d1(+444)
2F_L_N,火,6,d3(+730),d0(+561),d7(+541),d6(+56),d4(+69)
2F_L_N,火,7,d6(+685),d8(+684),d7(+635),d3(-401),d5(-394)
2F_L_N,火,8,d0(+794),d6(+645),d1(+485),d9(-52),d7(+200)
2F_L_N,火,9,d5(+395),d9(+394),d8(+375),d1(-289),d2(-138)
2F_L_N,水,0,d2(+1214),d8(+716),d0(+321),d7(-318),d5(-182)
2F_L_N,水,1,d6(+836),d1(+370),d0(+356),d5(-146),d8(-76)
2F_L_N,水,2,d2(+956),d8(+654),d7(+629),d5(-257),d4(-145)
2F_L_N,水,3,d6(+444),d4(+438),d1(+361),d2(-77),d7(+135)
2F_L_N,水,4,d7(+507),d1(+402),d8(+345),d6(-298),d0(-267)
2F_L_N,水,5,d5(+944),d4(+592),d0(+548),d1(-431),d7(-335)
2F_L_N,水,6,d1(+1007),d8(+406),d7(+388),d4(-465),d3(-241)
2F_L_N,水,7,d4(+1116),d9(+413),d8(+410),d5(-121),d0(-98)
2F_L_N,水,8,d1(+634),d6(+478),d7(+380),d5(-298),d4(-156)
2F_L_N,水,9,d3(+881),d6(+846),d9(+704),d1(-135),d5(-11)
2F_L_N,木,0,d8(+1381),d3(+978),d6(+790),d4(+103),d0(+303)
2F_L_N,木,1,d2(+552),d0(+469),d7(+439),d9(-23),d1(+131)
2F_L_N,木,2,d2(+904),d0(+751),d4(+583),d5(-105),d8(-33)
2F_L_N,木,3,d9(+1096),d6(+565),d0(+252),d7(-185),d5(-100)
2F_L_N,木,4,d7(+843),d3(+602),d6(+431),d5(-79),d0(+122)
2F_L_N,木,5,d8(+623),d7(+491),d5(+311),d2(-218),d9(+20)
2F_L_N,木,6,d0(+541),d5(+458),d4(+378),d7(-51),d3(-37)
2F_L_N,木,7,d1(+999),d8(+775),d4(+443),d6(-361),d5(-131)
2F_L_N,木,8,d4(+416),d8(+344),d1(+310),d3(-64),d0(+21)
2F_L_N,木,9,d7(+721),d1(+448),d6(+440),d5(-128),d8(-96)
2F_L_N,金,0,d6(+398),d5(+304),d3(+231),d2(-490),d8(-425)
2F_L_N,金,1,d7(+702),d8(+486),d6(+481),d5(-387),d0(+93)
2F_L_N,金,2,d7(+1192),d0(+814),d9(+769),d2(+98),d8(+112)
2F_L_N,金,3,d9(+824),d1(+671),d6(+535),d7(-90),d3(-74)
2F_L_N,金,4,d5(+469),d1(+424),d7(+318),d4(-708),d2(-323)
