kakuban_rank,focus_weekday,focus_n,focus_avg_diff,rest_n,rest_avg_diff,delta_diff,cohen_d,mw_u,raw_p_value,bonferroni_p,abs_delta,analysis_name,machine_digit,triplet_kind,p_rank
中間,火,14145,388.40579710144925,88104,281.65690547534734,106.74889162610191,0.03133477215883324,633695813.5,0.0011661837044180355,0.0058309185220901776,106.74889162610191,火曜×角番(N),,,1.0
角N-1,火,1513,364.24322538003963,9472,244.11951013513513,120.1237152449045,0.03665604451377204,7355812.5,0.09671071771553569,0.48355358857767844,120.1237152449045,火曜×角番(N),,,2.0
角1,火,1662,106.5583634175692,10266,60.25715955581531,46.30120386175388,0.014494004614833177,8693893.0,0.21111872936521092,1.0,46.30120386175388,火曜×角番(N),,,3.0
角N,火,1622,71.8865598027127,10189,33.05525566787712,38.83130413483558,0.012144961578436598,8312372.0,0.7002870382869015,1.0,38.83130413483558,火曜×角番(N),,,4.0
角2,火,1545,274.1747572815534,9669,293.30851173854586,-19.13375445699245,-0.005846782417341907,7438512.5,0.7944030252286316,1.0,19.13375445699245,火曜×角番(N),,,5.0
,水,744,418.68279569892474,4635,319.52535059331177,99.15744510561296,0.07110046046768034,1806767.5,0.03572130704060703,0.3572130704060703,99.15744510561296,水曜×末尾(A),7,,1.0
,水,727,284.04401650618985,4628,359.80985306828006,-75.76583656209021,-0.05497426238977224,1641383.5,0.29113074204682754,1.0,75.76583656209021,水曜×末尾(A),9,,4.0
,水,794,385.8942065491184,4764,317.65323257766585,68.24097397145255,0.048602438465071146,1950243.0,0.15903133981370587,1.0,68.24097397145255,水曜×末尾(A),1,,3.0
,水,738,312.4661246612466,4686,361.73708920187795,-49.270964540631326,-0.035584012909595016,1726776.5,0.9524501698085002,1.0,49.270964540631326,水曜×末尾(A),2,,9.0
,水,726,386.5013774104683,4490,361.5367483296214,24.96462908084692,0.01750326027319754,1667542.0,0.3168191797385359,1.0,24.96462908084692,水曜×末尾(A),4,,5.0
,水,791,345.38558786346397,4739,321.94555813462756,23.440029728836407,0.016802254484960054,1899832.0,0.5385188560198638,1.0,23.440029728836407,水曜×末尾(A),0,,6.0
,水,738,394.8509485094851,4428,372.7190605239386,22.131887985546484,0.015770639020889286,1656271.0,0.551367295158808,1.0,22.131887985546484,水曜×末尾(A),3,,7.0
,水,762,372.8346456692913,4676,354.4054747647562,18.429170904535113,0.012988948940942812,1795610.5,0.7264606222886543,1.0,18.429170904535113,水曜×末尾(A),6,,8.0
,水,766,352.34986945169715,4771,337.0572207084469,15.292648743250254,0.010701708902358404,1885266.5,0.15792699842244984,1.0,15.292648743250254,水曜×末尾(A),5,,2.0
,水,778,349.87146529562983,4620,355.3246753246753,-5.453210029045465,-0.003964744696269179,1796239.5,0.9813448673652947,1.0,5.453210029045465,水曜×末尾(A),8,,10.0
,水,2088,401.91570881226056,12710,270.18882769472856,131.726881117532,0.039401502977610796,13662873.5,0.02955561611750121,0.2955561611750121,131.726881117532,水曜×末尾(N),9,,1.0
,水,2020,410.54455445544556,12598,229.20304810287348,181.34150635257208,0.05352931378423829,13103158.0,0.03126680062243326,0.3126680062243326,181.34150635257208,水曜×末尾(N),4,,2.0
,水,2210,360.4977375565611,13544,200.76048434731246,159.73725320924865,0.0489483033335167,15326843.0,0.06879459703606462,0.6879459703606462,159.73725320924865,水曜×末尾(N),1,,3.0
,水,2062,383.22017458777884,12664,296.1228679722047,87.09730661557415,0.025929812458313602,13259235.5,0.25759376360131325,1.0,87.09730661557415,水曜×末尾(N),8,,4.0
,水,1998,222.07207207207207,12572,275.7795100222717,-53.70743795019965,-0.015816596831921416,12441385.0,0.4990731596228962,1.0,53.70743795019965,水曜×末尾(N),7,,6.0
,水,2039,124.03138793526239,12821,159.0593557444817,-35.02796780921932,-0.010616334856929617,13021710.5,0.7840794355908156,1.0,35.02796780921932,水曜×末尾(N),3,,8.0
,水,2070,296.32850241545896,12876,262.9621000310656,33.36640238439338,0.009888746843938286,13299906.0,0.8832572764372275,1.0,33.36640238439338,水曜×末尾(N),0,,9.0
,水,2073,229.18475639170285,12976,252.22718865598029,-23.042432264277437,-0.006816997114966982,13431931.0,0.9232567573848467,1.0,23.042432264277437,水曜×末尾(N),2,,10.0
,水,2015,273.9454094292804,12553,252.29825539711624,21.647154032164167,0.006495701767829112,12778809.0,0.4524322318250915,1.0,21.647154032164167,水曜×末尾(N),5,,5.0
,水,1997,272.8092138207311,12301,278.0912120965775,-5.281998275846433,-0.0015431579643685257,12338120.0,0.7453093549485427,1.0,5.281998275846433,水曜×末尾(N),6,,7.0
,土,41,682.282651693336,275,832.6007660660138,-150.31811437267777,-0.4858588175411618,4076.0,0.004232928712182102,0.008465857424364204,150.31811437267777,土曜×3連番AT,,non_consecutive,1.0
,土,7,1300.9283258575977,14,828.0016767209216,472.926649136676,1.3391975537572143,79.0,0.024957000343997247,0.049914000687994495,472.926649136676,土曜×3連番AT,,consecutive_without7,2.0
