hall,debut_phase,count_group,n,n_machines,avg_diff,plus_rate,avg_games,note
みとや,1-14日,XXS,1797,60,-136.8,39.3,4347.4,
みとや,1-14日,XS,1307,21,-280.7,38.2,4916.7,
みとや,1-14日,S,1340,12,-257.5,36.2,4306.6,
みとや,1-14日,M,993,6,-186.8,41.1,5082.4,
みとや,1-14日,L,614,3,-128.9,41.4,6130.6,
みとや,15-60日,XXS,4666,52,-148.1,36.0,2985.3,
みとや,15-60日,XS,2991,17,-142.7,35.6,3443.9,
みとや,15-60日,S,3611,12,-99.8,35.2,2952.1,
みとや,15-60日,M,2257,5,-83.7,37.7,3916.4,
みとや,15-60日,L,1927,3,241.7,39.5,4285.6,
みとや,61-180日,XXS,5036,39,-129.3,36.6,2765.3,
みとや,61-180日,XS,3702,13,-109.8,34.6,2849.0,
みとや,61-180日,S,4778,10,53.9,35.9,2638.8,
みとや,61-180日,M,3310,5,104.9,38.2,3530.8,
みとや,61-180日,L,3411,3,52.7,38.3,3679.5,
みとや,181日+,XXS,2230,13,30.2,39.0,3012.6,
みとや,181日+,XS,828,4,86.2,39.1,2610.5,
みとや,181日+,S,2964,5,-20.0,35.9,2430.7,
みとや,181日+,M,4293,3,151.5,37.9,2995.0,
みとや,181日+,L,1874,1,-66.4,39.8,4356.4,
蒲田7,1-14日,XXS,430,14,-267.9,33.5,5301.9,
蒲田7,1-14日,XS,2373,27,-259.2,37.0,5477.6,
蒲田7,1-14日,S,1621,8,-298.3,37.9,5368.1,
蒲田7,1-14日,M,2117,6,-582.5,36.3,6396.1,
蒲田7,1-14日,L,573,2,-290.4,39.3,5702.5,
蒲田7,15-60日,XXS,1155,13,16.5,39.8,4270.7,
蒲田7,15-60日,XS,6114,26,-108.1,36.1,4084.9,
蒲田7,15-60日,S,3719,7,-226.0,35.5,4170.9,
蒲田7,15-60日,M,5831,5,-143.3,35.3,5137.9,
蒲田7,15-60日,L,2201,2,-249.8,40.0,4982.0,
蒲田7,61-180日,XXS,1281,11,50.3,37.9,3591.1,
蒲田7,61-180日,XS,7114,20,97.3,36.8,3799.1,
蒲田7,61-180日,S,5001,5,131.3,37.5,3720.8,
蒲田7,61-180日,M,9436,5,139.1,36.7,4509.6,
蒲田7,61-180日,L,5704,2,55.5,39.5,4116.9,
蒲田7,181日+,XXS,80,3,-317.5,30.0,2690.6,
蒲田7,181日+,XS,1926,8,147.4,34.8,3423.0,
蒲田7,181日+,S,659,2,178.0,34.7,2929.6,
蒲田7,181日+,M,2108,3,39.1,33.5,4454.7,
蒲田7,181日+,L,3926,1,127.2,41.7,4041.9,
蒲田1,1-14日,XXS,1996,63,-323.0,35.5,4214.8,
蒲田1,1-14日,XS,1657,25,-340.4,36.2,4748.7,
蒲田1,1-14日,S,1512,11,-612.6,35.8,5303.9,
蒲田1,1-14日,M,453,2,-542.6,33.3,5586.2,
蒲田1,1-14日,L,48,1,-183.3,37.5,5453.1,
蒲田1,15-60日,XXS,4673,55,-82.2,36.7,3356.0,
蒲田1,15-60日,XS,3851,20,-79.5,35.3,3676.3,
蒲田1,15-60日,S,3935,10,-320.9,34.8,4303.8,
蒲田1,15-60日,M,1448,2,62.5,37.4,4316.1,
蒲田1,15-60日,L,575,1,104.7,42.6,4460.3,
蒲田1,61-180日,XXS,5942,40,-38.6,36.1,2981.0,
蒲田1,61-180日,XS,5669,19,135.3,37.6,3262.8,
蒲田1,61-180日,S,6145,9,46.1,39.1,3870.1,
蒲田1,61-180日,M,3199,2,177.2,35.9,3519.2,
蒲田1,61-180日,L,2509,1,81.7,41.7,4419.1,
蒲田1,181日+,XXS,3926,16,-119.5,35.2,2620.4,
蒲田1,181日+,XS,4709,8,72.8,35.5,2868.6,
蒲田1,181日+,S,7428,5,26.9,38.8,3381.8,
蒲田1,181日+,M,421,1,-224.0,33.3,3362.7,
蒲田1,181日+,L,2310,1,39.3,40.9,4243.8,
楽園,1-14日,XXS,2242,99,-140.1,36.0,3612.9,
楽園,1-14日,XS,2599,35,-222.1,35.8,4782.4,
楽園,1-14日,S,1164,9,-139.0,37.0,5134.1,
楽園,1-14日,M,913,6,-359.8,35.4,6030.6,
楽園,1-14日,L,1023,4,-367.4,34.7,7072.5,
楽園,1-14日,XL,195,1,133.7,44.6,5187.7,
楽園,15-60日,XXS,5420,86,-53.1,36.3,2751.0,
楽園,15-60日,XS,6453,33,-66.1,34.2,3511.5,
楽園,15-60日,S,2946,9,4.3,36.6,3932.1,
楽園,15-60日,M,1944,5,-53.5,36.5,4318.2,
楽園,15-60日,L,2352,3,-112.3,34.1,5231.6,
楽園,15-60日,XL,1077,1,-14.6,41.6,4164.1,
楽園,61-180日,XXS,7923,71,-36.8,35.5,2389.6,
楽園,61-180日,XS,9734,31,31.9,34.5,2886.1,
楽園,61-180日,S,4858,7,94.1,39.3,3806.6,
楽園,61-180日,M,4987,4,39.2,37.2,4032.5,
楽園,61-180日,L,3171,3,293.3,36.1,4291.2,
楽園,61-180日,XL,3209,1,-4.8,41.2,4030.2,
楽園,181日+,XXS,7209,42,6.3,37.4,2378.6,
楽園,181日+,XS,6869,18,-0.9,34.6,2672.0,
楽園,181日+,S,5328,3,154.1,43.1,3445.5,
楽園,181日+,M,5068,4,138.8,37.2,4076.9,
楽園,181日+,XL,2282,1,35.7,43.4,4263.6,
レイトギャップ,1-14日,XXS,1021,47,-201.7,38.0,5474.3,
レイトギャップ,1-14日,XS,1418,24,-471.3,36.7,6269.0,
レイトギャップ,1-14日,S,792,7,-389.1,37.1,6709.0,
レイトギャップ,1-14日,M,463,3,153.4,43.2,8201.2,
レイトギャップ,1-14日,XL,150,1,9.0,46.0,5492.7,
レイトギャップ,15-60日,XXS,2504,40,-174.5,35.7,4173.5,
レイトギャップ,15-60日,XS,3971,23,-281.9,35.4,4431.2,
レイトギャップ,15-60日,S,1678,5,-106.3,37.3,4839.6,
レイトギャップ,15-60日,M,2011,3,-130.4,36.8,6585.6,
レイトギャップ,15-60日,XL,742,1,13.9,42.3,4373.6,
レイトギャップ,61-180日,XXS,3819,34,-121.7,35.0,3035.8,
レイトギャップ,61-180日,XS,7763,22,-133.9,35.1,3495.6,
レイトギャップ,61-180日,S,3263,4,70.7,37.3,3569.1,
レイトギャップ,61-180日,M,3244,3,47.7,35.5,4681.5,
レイトギャップ,61-180日,XL,4717,1,-26.2,42.2,4503.3,
レイトギャップ,181日+,XXS,1659,17,6.7,36.5,2836.5,
レイトギャップ,181日+,XS,5605,16,-160.5,34.0,3184.3,
レイトギャップ,181日+,S,25,1,266.9,40.0,1778.8,low_n
レイトギャップ,181日+,M,599,1,150.6,38.9,3647.6,
レイトギャップ,181日+,XL,3105,1,-6.5,41.8,4399.2,
ARROW,1-14日,XXS,940,40,-300.4,36.7,5884.0,
ARROW,1-14日,XS,1649,24,-75.7,41.2,6433.0,
ARROW,1-14日,S,2973,21,-154.7,39.3,6744.0,
ARROW,1-14日,M,565,3,-291.5,40.4,7516.1,
ARROW,1-14日,L,1176,4,95.3,43.8,6660.1,
ARROW,15-60日,XXS,2348,35,30.5,38.9,4272.6,
ARROW,15-60日,XS,4428,20,-63.3,36.7,4367.9,
ARROW,15-60日,S,7722,18,-80.7,35.7,4528.5,
