hall,debut_phase,games_tier,n,n_machines,avg_diff,plus_rate,avg_games,note
みとや,1-14日,低稼働,165,7,-89.3,36.4,2426.4,
みとや,1-14日,中稼働,453,20,-125.1,35.3,2594.9,
みとや,1-14日,高稼働,4186,90,-236.2,39.0,4913.9,
みとや,15-60日,低稼働,3028,52,-162.0,32.0,1998.2,
みとや,15-60日,中稼働,4195,69,-122.8,34.5,2765.2,
みとや,15-60日,高稼働,8229,70,-23.8,39.0,4172.7,
みとや,61-180日,低稼働,6295,56,-106.7,33.1,2173.4,
みとや,61-180日,中稼働,7651,50,25.3,36.5,2938.7,
みとや,61-180日,高稼働,6291,26,32.6,40.3,3998.3,
みとや,181日+,低稼働,3411,20,-16.0,35.2,2315.1,
みとや,181日+,中稼働,5781,21,104.8,37.7,2931.3,
みとや,181日+,高稼働,2997,10,18.1,41.6,4091.7,
蒲田7,1-14日,低稼働,346,5,-111.8,33.5,2765.3,
蒲田7,1-14日,中稼働,544,9,-427.0,31.6,3840.8,
蒲田7,1-14日,高稼働,4799,49,-380.0,37.6,6068.1,
蒲田7,15-60日,低稼働,3765,27,-142.8,32.9,2691.3,
蒲田7,15-60日,中稼働,4557,39,-29.1,36.4,3979.9,
蒲田7,15-60日,高稼働,10698,43,-205.4,37.7,5428.6,
蒲田7,61-180日,低稼働,8408,34,131.5,36.7,3151.9,
蒲田7,61-180日,中稼働,12514,30,112.1,37.9,4035.3,
蒲田7,61-180日,高稼働,7614,14,70.1,37.7,5157.7,
蒲田7,181日+,低稼働,2471,14,125.2,35.0,3126.5,
蒲田7,181日+,中稼働,5004,10,93.0,38.9,4152.0,
蒲田7,181日+,高稼働,1224,6,149.3,37.0,4489.6,
蒲田1,1-14日,低稼働,215,12,86.5,36.3,2596.3,
蒲田1,1-14日,中稼働,522,24,-355.0,31.6,3168.2,
蒲田1,1-14日,高稼働,3744,90,-438.5,36.5,5048.1,
蒲田1,15-60日,低稼働,2022,45,-185.6,32.3,2315.5,
蒲田1,15-60日,中稼働,3342,65,-59.1,36.7,3018.3,
蒲田1,15-60日,高稼働,9118,71,-134.9,36.8,4476.9,
蒲田1,61-180日,低稼働,5253,54,50.0,35.1,2463.3,
蒲田1,61-180日,中稼働,7479,57,76.7,37.1,3229.9,
蒲田1,61-180日,高稼働,10732,37,70.6,39.7,4215.5,
蒲田1,181日+,低稼働,6688,29,3.0,35.2,2597.6,
蒲田1,181日+,中稼働,6421,26,-3.2,36.7,3097.2,
蒲田1,181日+,高稼働,5685,17,12.4,40.7,4023.7,
楽園,1-14日,低稼働,454,47,17.1,38.5,1730.5,
楽園,1-14日,中稼働,413,35,-1.3,33.4,2439.8,
楽園,1-14日,高稼働,5502,102,-248.5,35.8,5303.2,
楽園,15-60日,低稼働,2811,79,-47.1,35.8,1843.0,
楽園,15-60日,中稼働,4067,76,14.8,33.5,2529.5,
楽園,15-60日,高稼働,13314,81,-76.1,36.4,4421.7,
楽園,61-180日,低稼働,6901,85,-22.2,33.9,1947.4,
