hall,debut_phase,count_group,n,n_machines,avg_diff,plus_rate,avg_games,note
みとや,1-14日,XXS,1797,60,-136.8,39.3,4347.4,
みとや,1-14日,XS,1307,21,-280.7,38.2,4916.7,
みとや,1-14日,S,1340,12,-257.5,36.2,4306.6,
みとや,1-14日,M,993,6,-186.8,41.1,5082.4,
みとや,1-14日,L,614,3,-128.9,41.4,6130.6,
みとや,15-60日,XXS,4666,52,-148.1,36.0,2985.3,
みとや,15-60日,XS,2991,17,-142.7,35.6,3443.9,
みとや,15-60日,S,3611,12,-99.8,35.2,2952.1,
みとや,15-60日,M,2257,5,-83.7,37.7,3916.4,
みとや,15-60日,L,1927,3,241.7,39.5,4285.6,
みとや,61-180日,XXS,5036,39,-129.3,36.6,2765.3,
みとや,61-180日,XS,3702,13,-109.8,34.6,2849.0,
みとや,61-180日,S,4778,10,53.9,35.9,2638.8,
みとや,61-180日,M,3310,5,104.9,38.2,3530.8,
みとや,61-180日,L,3411,3,52.7,38.3,3679.5,
みとや,181日+,XXS,2230,13,30.2,39.0,3012.6,
みとや,181日+,XS,828,4,86.2,39.1,2610.5,
みとや,181日+,S,2964,5,-20.0,35.9,2430.7,
みとや,181日+,M,4293,3,151.5,37.9,2995.0,
みとや,181日+,L,1874,1,-66.4,39.8,4356.4,
