hall,machine_name,median_count,n_days,count_group
みとや, ULTRAMAN,1.0,5,XXS
みとや, サラリーマン金太郎,1.0,42,XXS
みとや,1000ちゃん,1.0,5,XXS
みとや,1000ちゃんA,1.0,30,XXS
みとや,A‐SLOT+ この素晴らしい世界に祝福を！,1.0,61,XXS
みとや,GALFY,1.0,26,XXS
みとや,ULTRAMAN,1.0,39,XXS
みとや,うしおととら 白面決戦,1.0,39,XXS
みとや,クランキークレスト,1.0,474,XXS
みとや,ゴジラ,1.0,56,XXS
みとや,サラリーマン金太郎～MAX～,1.0,14,XXS
みとや,ゾンビランドサガ,1.0,78,XXS
みとや,タクトオーパス デスティニー,1.0,39,XXS
みとや,ディスクアップ2,1.0,82,XXS
みとや,ナイツ,1.0,151,XXS
みとや,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,1.0,105,XXS
みとや,バーサスリヴァイズ,1.0,187,XXS
みとや,プリズムナナ,1.0,1,XXS
みとや,マジカルハロウィン8,1.0,32,XXS
みとや,ヨルムンガンド,1.0,75,XXS
みとや,ラブ嬢3～Wご指名はいかがですか?～,1.0,98,XXS
みとや,仮面ライダー電王,1.0,33,XXS
みとや,新ハナビ,1.0,397,XXS
みとや,桃太郎電鉄 ～パチスロも定番!～,1.0,55,XXS
みとや,炎炎ノ消防隊,1.0,30,XXS
みとや,真・一騎当千,1.0,117,XXS
みとや,銀河英雄伝説 Die Neue These,1.0,70,XXS
みとや,麻雀格闘倶楽部 覚醒,1.0,33,XXS
みとや,A‐SLOT+ 異世界かるてっと,2.0,75,XXS
みとや,LB SHAKE BONUS TRIGGER,2.0,1,XXS
みとや,SHAKE BONUS TRIGGER,2.0,242,XXS
みとや,うみねこのなく頃に2,2.0,138,XXS
みとや,ようこそ実力至上主義の教室へ,2.0,77,XXS
みとや,わたしの幸せな結婚,2.0,147,XXS
みとや,ガールズ&パンツァー 最終章,2.0,130,XXS
みとや,スマスロ炎炎ノ消防隊,2.0,323,XXS
みとや,ドッチ,2.0,61,XXS
みとや,ネオプラネット,2.0,77,XXS
みとや,ハイパーラッシュ,2.0,186,XXS
みとや,バンドリ！,2.0,68,XXS
みとや,マジカルハロウィン ボーナストリガー,2.0,79,XXS
みとや,七つの魔剣が支配する,2.0,215,XXS
みとや,不二子BT,2.0,176,XXS
みとや,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,2.0,465,XXS
みとや,少女☆歌劇レヴュースタァライト,2.0,1,XXS
みとや,押忍！番長4,2.0,177,XXS
みとや,新鬼武者2,2.0,71,XXS
みとや,犬夜叉2,2.0,33,XXS
みとや,痛いのは嫌なので防御力に極振りしたいと思います。,2.0,470,XXS
みとや,範馬刃牙,2.0,114,XXS
みとや,絶対衝激IV,2.0,62,XXS
みとや,絶対衝激～PLATONIC HEART～,2.0,48,XXS
みとや,聖戦士ダンバイン,2.0,60,XXS
みとや,聖闘士星矢 海皇覚醒 CUSTOM EDITION,2.0,29,XXS
みとや,荒野のコトブキ飛行隊,2.0,30,XXS
みとや,鬼武者3,2.0,17,XXS
みとや,LBニューパルサー,3.0,5,XXS
みとや,ToLOVEるダークネス TRANCE ver.8.7,3.0,194,XXS
みとや,とある科学の超電磁砲2,3.0,109,XXS
みとや,にゃんこ大戦争 超神速,3.0,73,XXS
みとや,アズールレーン THE ANIMATION,3.0,319,XXS
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,3.0,285,XXS
みとや,ゴジラ対エヴァンゲリオン,3.0,151,XXS
みとや,ゴブリンスレイヤーII,3.0,62,XXS
みとや,シャーマンキング,3.0,236,XXS
みとや,スマスロ ドルアーガの塔,3.0,55,XXS
みとや,スマート沖スロ ニューキングハナハナV,3.0,166,XXS
みとや,ソードアート・オンライン,3.0,58,XXS
みとや,ディスクアップ ULTRAREMIX,3.0,516,XXS
みとや,デビル メイ クライ 5,3.0,5,XXS
みとや,デビル メイ クライ5 スタイリッシュトライブ,3.0,165,XXS
みとや,ニューパルサーBT,3.0,58,XXS
みとや,バベル,3.0,44,XXS
みとや,バーニングエクスプレス,3.0,62,XXS
みとや,マタドールIII,3.0,63,XXS
みとや,ルパン三世 大航海者の秘宝,3.0,205,XXS
みとや,一方通行 とある魔術の禁書目録,3.0,68,XXS
みとや,主役は銭形4,3.0,109,XXS
みとや,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,3.0,226,XXS
みとや,咲‐Saki‐ 頂上決戦,3.0,90,XXS
みとや,回胴黙示録カイジ 狂宴,3.0,152,XXS
みとや,沖ドキ!GOLD‐30,3.0,215,XXS
みとや,無職転生 ～異世界行ったら本気だす～,3.0,123,XXS
みとや,甲鉄城のカバネリ,3.0,470,XXS
みとや,真打 吉宗,3.0,75,XXS
みとや,頭文字D 2nd,3.0,126,XXS
みとや,麻雀物語,3.0,126,XXS
みとや,BIRDIE WING ‐Golf Girls' Story‐,4.0,14,XS
みとや,ToLOVEるダークネス,4.0,233,XS
みとや,ありふれた職業で世界最強,4.0,115,XS
みとや,いざ!番長,4.0,5,XS
みとや,いざ！番長,4.0,374,XS
みとや,アレックス ブライト,4.0,348,XS
みとや,ギルティクラウン2,4.0,71,XS
みとや,シン・エヴァンゲリオン,4.0,55,XS
みとや,スマスロ サンダーV,4.0,110,XS
みとや,スマスロ ハナビ,4.0,138,XS
みとや,スーパーリオエース2,4.0,40,XS
みとや,ソードアート・オンラインII,4.0,14,XS
みとや,チバリヨ2,4.0,14,XS
みとや,チバリヨ2プラス,4.0,87,XS
みとや,南国育ち,4.0,5,XS
みとや,転生したら剣でした,4.0,91,XS
みとや,革命機ヴァルヴレイヴ,4.0,151,XS
みとや,アイドルマスター ミリオンライブ！ ネクストプロローグ,5.0,42,XS
みとや,ウルトラミラクルジャグラー,5.0,535,XS
みとや,スマスロ炎炎ノ消防隊2,5.0,138,XS
みとや,スマスロ秘宝伝,5.0,105,XS
みとや,ビッグドリーム THE GOLDEN PUSHER,5.0,40,XS
みとや,ファンキージャグラー2,5.0,535,XS
みとや,ミスタージャグラー,5.0,535,XS
みとや,ヱヴァンゲリヲン ～約束の扉～,5.0,228,XS
みとや,化物語,5.0,194,XS
みとや,攻殻機動隊,5.0,138,XS
みとや,Re:ゼロから始める異世界生活 season2,6.0,53,S
みとや,ジャグラーガールズ,6.0,535,S
みとや,ダンベル何キロ持てる？,6.0,124,S
みとや,バイオハザード5,6.0,289,S
みとや,マギアレコード 魔法少女まどか☆マギカ外伝,6.0,439,S
みとや,主役は銭形5,6.0,143,S
みとや,吉宗,6.0,348,S
みとや,戦国乙女4 戦乱に閃く炯眼の軍師,6.0,519,S
みとや,沖ドキ!BLACK,6.0,355,S
みとや,かぐや様は告らせたい,7.0,534,S
みとや,ゴッドイーター リザレクション,7.0,534,S
みとや,からくりサーカス,8.0,531,S
みとや,スーパーブラックジャック,8.0,495,S
みとや,ダーリン・イン・ザ・フランキス,8.0,110,S
みとや,モンスターハンターライズ,8.0,535,S
みとや,新鬼武者3,8.0,257,S
みとや,機動戦士ガンダムSEED,8.0,61,S
みとや,緑ドン VIVA!情熱南米編 REVIVAL,8.0,88,S
みとや,鉄拳6,8.0,166,S
みとや,バイオハザード RE:3,9.0,40,S
みとや,沖ドキ!DUO アンコール,9.0,140,S
みとや,戦国乙女5 業火を穿つ宿焔の双刃,10.0,14,M
みとや,東京リベンジャーズ,10.0,243,M
みとや,機動戦士ガンダムユニコーン 覚醒DRIVE,10.0,56,M
みとや,ゴーゴージャグラー3,11.0,535,M
みとや,モンキーターンV,11.0,535,M
みとや,東京喰種,12.0,502,M
みとや,甲鉄城のカバネリ 海門(うなと)決戦,12.0,110,M
みとや,革命機ヴァルヴレイヴ2,14.0,187,M
みとや,スマスロ北斗の拳,17.0,495,L
みとや,ネオアイムジャグラーEX,17.0,292,L
みとや,ミリオンゴッド‐神々の軌跡‐,17.0,61,L
みとや,北斗の拳 転生の章2,17.0,166,L
みとや,アイムジャグラーEX-TP,23.0,474,L
みとや,マイジャグラーV,34.0,535,XL
