hall,debut_phase,count_group,n,n_machines,avg_diff,plus_rate,avg_games,note
ザシティ,1-14日,XXS,2336,107,-286.0,36.0,3732.9,
ザシティ,1-14日,XS,232,4,-242.9,34.9,3692.7,
ザシティ,1-14日,S,169,2,-203.1,36.1,2396.9,
ザシティ,1-14日,L,120,1,-847.2,30.8,4858.0,
ザシティ,15-60日,XXS,4882,88,-233.2,33.9,2740.3,
ザシティ,15-60日,XS,470,4,16.2,36.4,2744.3,
ザシティ,15-60日,S,217,2,-60.4,30.4,1474.8,
ザシティ,15-60日,L,356,1,-199.2,33.7,2994.3,
ザシティ,61-180日,XXS,5936,58,-146.6,33.6,2415.1,
ザシティ,61-180日,XS,579,2,-218.3,31.8,2486.2,
ザシティ,61-180日,L,490,1,-3.1,33.1,3054.2,
ザシティ,181日+,XXS,4943,30,-138.5,33.5,2276.8,
ザシティ,181日+,XS,41,1,259.1,39.0,1262.2,
