hall,debut_phase,games_tier,n,n_machines,avg_diff,plus_rate,avg_games,note
ヒロキ,1-14日,低稼働,90,16,492.7,46.7,2075.8,
ヒロキ,1-14日,中稼働,167,22,63.7,41.3,3064.5,
ヒロキ,1-14日,高稼働,2647,93,-276.6,35.1,5390.1,
ヒロキ,15-60日,低稼働,1109,51,-62.1,35.5,1916.7,
ヒロキ,15-60日,中稼働,2382,66,-29.2,35.2,2734.3,
ヒロキ,15-60日,高稼働,5746,75,-153.7,34.6,4125.6,
ヒロキ,61-180日,低稼働,4530,70,-41.9,34.1,2097.8,
ヒロキ,61-180日,中稼働,6797,67,-31.7,34.4,2861.1,
ヒロキ,61-180日,高稼働,5279,42,-111.1,35.1,3868.7,
ヒロキ,181日+,低稼働,4457,45,-75.4,34.4,2228.4,
ヒロキ,181日+,中稼働,5409,39,-79.6,34.4,2808.3,
ヒロキ,181日+,高稼働,3354,19,44.1,38.0,3830.1,
