hall,debut_phase,games_tier,n,n_machines,avg_diff,plus_rate,avg_games,note
楽園,1-14日,低稼働,454,47,17.1,38.5,1730.5,
楽園,1-14日,中稼働,413,35,-1.3,33.4,2439.8,
楽園,1-14日,高稼働,5502,102,-248.5,35.8,5303.2,
楽園,15-60日,低稼働,2811,79,-47.1,35.8,1843.0,
楽園,15-60日,中稼働,4067,76,14.8,33.5,2529.5,
楽園,15-60日,高稼働,13314,81,-76.1,36.4,4421.7,
楽園,61-180日,低稼働,6901,85,-22.2,33.9,1947.4,
楽園,61-180日,中稼働,8938,80,62.0,35.6,2687.7,
楽園,61-180日,高稼働,18043,48,65.6,38.1,4140.5,
楽園,181日+,低稼働,4300,57,7.7,36.3,2141.2,
楽園,181日+,中稼働,9723,56,60.3,37.2,2712.2,
楽園,181日+,高稼働,12733,37,80.6,39.8,3822.5,
