hall,debut_phase,count_group,n,n_machines,avg_diff,plus_rate,avg_games,note
蒲田1,1-14日,XXS,1996,63,-323.0,35.5,4214.8,
蒲田1,1-14日,XS,1657,25,-340.4,36.2,4748.7,
蒲田1,1-14日,S,1512,11,-612.6,35.8,5303.9,
蒲田1,1-14日,M,453,2,-542.6,33.3,5586.2,
蒲田1,1-14日,L,48,1,-183.3,37.5,5453.1,
蒲田1,15-60日,XXS,4673,55,-82.2,36.7,3356.0,
蒲田1,15-60日,XS,3851,20,-79.5,35.3,3676.3,
蒲田1,15-60日,S,3935,10,-320.9,34.8,4303.8,
蒲田1,15-60日,M,1448,2,62.5,37.4,4316.1,
蒲田1,15-60日,L,575,1,104.7,42.6,4460.3,
蒲田1,61-180日,XXS,5942,40,-38.6,36.1,2981.0,
蒲田1,61-180日,XS,5669,19,135.3,37.6,3262.8,
蒲田1,61-180日,S,6145,9,46.1,39.1,3870.1,
蒲田1,61-180日,M,3199,2,177.2,35.9,3519.2,
蒲田1,61-180日,L,2509,1,81.7,41.7,4419.1,
蒲田1,181日+,XXS,3926,16,-119.5,35.2,2620.4,
蒲田1,181日+,XS,4709,8,72.8,35.5,2868.6,
蒲田1,181日+,S,7428,5,26.9,38.8,3381.8,
蒲田1,181日+,M,421,1,-224.0,33.3,3362.7,
蒲田1,181日+,L,2310,1,39.3,40.9,4243.8,
