hall,debut_phase,games_tier,n,n_machines,avg_diff,plus_rate,avg_games,note
蒲田1,1-14日,低稼働,215,12,86.5,36.3,2596.3,
蒲田1,1-14日,中稼働,522,24,-355.0,31.6,3168.2,
蒲田1,1-14日,高稼働,3744,90,-438.5,36.5,5048.1,
蒲田1,15-60日,低稼働,2022,45,-185.6,32.3,2315.5,
蒲田1,15-60日,中稼働,3342,65,-59.1,36.7,3018.3,
蒲田1,15-60日,高稼働,9118,71,-134.9,36.8,4476.9,
蒲田1,61-180日,低稼働,5253,54,50.0,35.1,2463.3,
蒲田1,61-180日,中稼働,7479,57,76.7,37.1,3229.9,
蒲田1,61-180日,高稼働,10732,37,70.6,39.7,4215.5,
蒲田1,181日+,低稼働,6688,29,3.0,35.2,2597.6,
蒲田1,181日+,中稼働,6421,26,-3.2,36.7,3097.2,
蒲田1,181日+,高稼働,5685,17,12.4,40.7,4023.7,
