hall,debut_phase,count_group,n,n_machines,avg_diff,plus_rate,avg_games,note
金時,1-14日,XXS,1258,60,-114.3,37.8,4189.2,
金時,1-14日,XS,307,5,-109.5,39.1,3655.4,
金時,1-14日,S,326,5,-498.7,34.4,5773.5,
金時,1-14日,XL,75,1,190.8,54.7,4797.6,
金時,15-60日,XXS,3111,52,-189.7,35.1,2747.8,
金時,15-60日,XS,885,5,-80.7,37.1,2547.3,
金時,15-60日,S,988,5,-218.3,34.4,3646.3,
金時,15-60日,XL,286,1,51.9,41.3,3842.6,
金時,61-180日,XXS,4487,41,-92.3,35.2,2228.9,
金時,61-180日,XS,1414,5,60.2,36.9,2077.0,
金時,61-180日,S,1620,5,-68.1,35.9,2896.7,
金時,61-180日,XL,1183,1,36.1,41.2,3817.1,
金時,181日+,XXS,2644,19,-75.7,33.3,2015.3,
金時,181日+,XS,293,2,120.1,36.9,1666.0,
金時,181日+,S,1841,2,-41.6,35.0,2545.5,
金時,181日+,XL,887,1,39.6,41.6,4006.6,
