hall,date,n_machines,active_machine_count,total_games,avg_games,total_diff,avg_diff_per_machine,plus_rate,hit104_rate,budget_zscore,budget_regime
ヒロキ,20250101,221,221,513254,2322.41628959276,-37770,-170.9049773755656,0.34841628959276016,0.26244343891402716,-0.760328018124703,recovery
ヒロキ,20250102,237,237,671946,2835.215189873418,17193,72.54430379746836,0.37130801687763715,0.27848101265822783,0.7891194462756607,strong
ヒロキ,20250103,254,254,845320,3328.031496062992,39538,155.66141732283464,0.40551181102362205,0.29133858267716534,1.3181232707257329,strong
ヒロキ,20250104,257,257,1006601,3916.7354085603115,-24382,-94.8715953307393,0.3657587548638132,0.26848249027237353,-0.27640902501251613,normal
ヒロキ,20250105,248,248,805053,3246.1814516129034,-22634,-91.26612903225806,0.375,0.2862903225806452,-0.25346181979899135,normal
ヒロキ,20250106,239,239,651283,2725.033472803347,-2744,-11.481171548117155,0.30962343096234307,0.24267782426778242,0.2543342988645383,normal
ヒロキ,20250107,207,207,347798,1680.183574879227,-30107,-145.44444444444446,0.3333333333333333,0.27053140096618356,-0.5982829383350925,normal
ヒロキ,20250108,158,158,282539,1788.2215189873418,2129,13.474683544303797,0.33544303797468356,0.25949367088607594,0.4131673264609971,normal
ヒロキ,20250109,168,168,292352,1740.1904761904761,14393,85.67261904761905,0.4166666666666667,0.3333333333333333,0.8726753913915414,strong
ヒロキ,20250110,219,219,436397,1992.6803652968038,-23803,-108.68949771689498,0.2922374429223744,0.2328767123287671,-0.3643538885684829,normal
ヒロキ,20250111,257,257,1164312,4530.396887159533,-45610,-177.47081712062257,0.38132295719844356,0.27626459143968873,-0.8021166966355538,recovery
ヒロキ,20250112,247,247,854668,3460.1943319838056,-25048,-101.4089068825911,0.3319838056680162,0.23076923076923078,-0.3180161341368702,normal
ヒロキ,20250113,252,252,931655,3697.0436507936506,5331,21.154761904761905,0.40476190476190477,0.30952380952380953,0.4620476430701471,normal
ヒロキ,20250114,195,195,329074,1687.5589743589744,-12883,-66.06666666666666,0.3282051282051282,0.26666666666666666,-0.09307833918864526,normal
ヒロキ,20250115,172,172,301787,1754.5755813953488,6589,38.30813953488372,0.38953488372093026,0.3313953488372093,0.57122133767639,normal
ヒロキ,20250116,235,235,615980,2621.191489361702,48874,207.9744680851064,0.33617021276595743,0.2851063829787234,1.6510728011909221,strong
ヒロキ,20250117,208,208,382122,1837.125,-19436,-93.4423076923077,0.375,0.27403846153846156,-0.2673122386240093,normal
ヒロキ,20250118,253,253,964707,3813.0711462450595,-20429,-80.74703557312253,0.4268774703557312,0.30434782608695654,-0.18651242233306298,normal
ヒロキ,20250119,248,248,795832,3209.0,26970,108.75,0.36693548387096775,0.25806451612903225,1.0195527583296393,strong
ヒロキ,20250120,170,170,334058,1965.0470588235294,26314,154.78823529411764,0.35294117647058826,0.27647058823529413,1.3125658516451078,strong
ヒロキ,20250121,190,190,326335,1717.5526315789473,-32515,-171.1315789473684,0.2736842105263158,0.23684210526315788,-0.761770237338361,recovery
ヒロキ,20250122,193,193,326270,1690.518134715026,-61775,-320.0777202072539,0.2538860103626943,0.21243523316062177,-1.7097468335120658,recovery
ヒロキ,20250123,179,179,293846,1641.5977653631285,-8898,-49.70949720670391,0.35195530726256985,0.2737430167597765,0.011027841048923197,normal
ヒロキ,20250124,201,201,334669,1665.0199004975125,-37949,-188.80099502487562,0.29850746268656714,0.23880597014925373,-0.8742282894090488,recovery
ヒロキ,20250125,255,255,893425,3503.627450980392,1638,6.423529411764706,0.396078431372549,0.30196078431372547,0.3682898355967151,normal
ヒロキ,20250126,260,260,1092988,4203.8,-110456,-424.83076923076925,0.3192307692307692,0.19615384615384615,-2.376453859368223,recovery
ヒロキ,20250127,206,206,385081,1869.3252427184466,-41006,-199.05825242718447,0.32038834951456313,0.2766990291262136,-0.939511215680715,recovery
ヒロキ,20250128,176,176,257853,1465.0738636363637,-42777,-243.05113636363637,0.3181818181818182,0.23863636363636365,-1.219506548337073,recovery
ヒロキ,20250129,175,175,274551,1568.8628571428571,-11171,-63.83428571428571,0.33714285714285713,0.28,-0.07887021752332046,normal
ヒロキ,20250130,235,235,653152,2779.3702127659576,-27716,-117.9404255319149,0.31063829787234043,0.25957446808510637,-0.4232319701847745,normal
ヒロキ,20250131,215,215,399920,1860.093023255814,-30307,-140.96279069767442,0.26976744186046514,0.22325581395348837,-0.5697591858688954,normal
ヒロキ,20250201,258,258,1043477,4044.484496124031,46795,181.37596899224806,0.45348837209302323,0.3023255813953488,1.4817850679197273,strong
ヒロキ,20250202,253,253,892167,3526.3517786561265,5341,21.110671936758894,0.3794466403162055,0.25296442687747034,0.46176702984016105,normal
ヒロキ,20250203,196,196,435812,2223.530612244898,-30602,-156.1326530612245,0.3112244897959184,0.22959183673469388,-0.6663086793044453,normal
ヒロキ,20250204,197,197,386854,1963.725888324873,-30757,-156.12690355329948,0.3350253807106599,0.2436548223350254,-0.6662720862184726,normal
ヒロキ,20250205,167,167,342489,2050.8323353293413,9988,59.808383233532936,0.3473053892215569,0.30538922155688625,0.708060920534653,normal
ヒロキ,20250206,237,237,640387,2702.0548523206753,5111,21.565400843881857,0.4008438818565401,0.3206751054852321,0.464661179080349,normal
ヒロキ,20250207,210,210,436072,2076.5333333333333,-8541,-40.67142857142857,0.37142857142857144,0.2761904761904762,0.06855116772512865,normal
ヒロキ,20250208,242,242,784674,3242.4545454545455,-53948,-222.92561983471074,0.3347107438016529,0.24793388429752067,-1.0914164985113457,recovery
ヒロキ,20250209,252,252,833992,3309.4920634920636,-46497,-184.51190476190476,0.29365079365079366,0.20634920634920634,-0.8469301187160699,recovery
