hall,date,axis,axis_value,n_machines,total_games,total_diff,avg_diff,plus_rate,hit104_rate,games_share,diff_share,excess_vs_hall_day,hit104_lift_vs_hall_day
蒲田7,20250707,machine_category,at_smart,46,273617,141600,3078.2608695652175,0.9565217391304348,0.8695652173913043,0.06562558087382611,0.07623559814794875,469.55300439667826,0.15889106008793352
蒲田7,20250707,machine_category,hana_oki,35,209184,51100,1460.0,0.7142857142857143,0.6285714285714286,0.05017166882726746,0.02751157532034026,-1148.7078651685392,-0.08210272873194224
蒲田7,20250707,machine_category,juggler,172,1291009,354200,2059.3023255813955,0.8953488372093024,0.7441860465116279,0.3096416360764769,0.19069667276838592,-549.4055395871437,0.033511889208257095
蒲田7,20250707,machine_category,other,459,2395555,1310500,2855.119825708061,0.7581699346405228,0.6884531590413944,0.5745611142224295,0.705556153763325,246.41196053952171,-0.022220998261976432
蒲田7,20250708,machine_category,at_smart,46,248295,74500,1619.5652173913043,0.782608695652174,0.6956521739130435,0.06397042512720272,0.13752999815395975,859.8176718092566,0.2244039270687237
蒲田7,20250708,machine_category,hana_oki,35,180811,-16100,-460.0,0.37142857142857144,0.2571428571428571,0.04658392854336434,-0.029721247923204727,-1219.7475455820477,-0.21410538970146265
蒲田7,20250708,machine_category,juggler,172,1138943,93900,545.9302325581396,0.5755813953488372,0.4011627906976744,0.2934359044912368,0.1733431788812996,-213.81731302390813,-0.07008545614664535
蒲田7,20250708,machine_category,other,460,2313354,389400,846.5217391304348,0.5521739130434783,0.49130434782608695,0.5960097418381961,0.7188480708879453,86.77419354838707,0.02005610098176719
蒲田7,20250709,machine_category,at_smart,46,245984,29800,647.8260869565217,0.45652173913043476,0.391304347826087,0.06100342782205085,0.04049463242288354,-384.29172510518924,-0.08835904628330993
蒲田7,20250709,machine_category,hana_oki,35,208915,76700,2191.4285714285716,0.8,0.7714285714285715,0.05181040686973036,0.10422611767903248,1159.3107593668606,0.29176517731917456
蒲田7,20250709,machine_category,juggler,172,1199104,151500,880.8139534883721,0.6395348837209303,0.436046511627907,0.2973748467995173,0.20587036282103546,-151.30385857333886,-0.04361688248148993
蒲田7,20250709,machine_category,other,460,2378295,477900,1038.9130434782608,0.5565217391304348,0.4826086956521739,0.5898113185087015,0.6494088870770485,6.795231416549768,0.0029453015427770013
蒲田7,20250710,machine_category,at_smart,46,236707,27600,600.0,0.45652173913043476,0.3695652173913043,0.06244089459565902,0.044444444444444446,-270.9677419354839,-0.06521739130434784
蒲田7,20250710,machine_category,hana_oki,35,185909,41300,1180.0,0.7428571428571429,0.6285714285714286,0.04904089981869726,0.06650563607085347,309.0322580645161,0.1937888198757764
蒲田7,20250710,machine_category,juggler,172,1034644,107800,626.7441860465116,0.5290697674418605,0.38372093023255816,0.27292854435243163,0.17359098228663447,-244.22355588897233,-0.05106167846309401
蒲田7,20250710,machine_category,other,460,2333637,444300,965.8695652173913,0.5260869565217391,0.44565217391304346,0.6155896612332121,0.7154589371980676,94.90182328190735,0.010869565217391297
蒲田7,20250711,machine_category,at_smart,46,254247,41100,893.4782608695652,0.5217391304347826,0.4782608695652174,0.06370799169493573,0.09443933823529412,283.09957924263676,0.10518934081346426
蒲田7,20250711,machine_category,hana_oki,35,183497,7100,202.85714285714286,0.4857142857142857,0.37142857142857144,0.04597979662314844,0.01631433823529412,-407.5215387697856,-0.001642957323181704
蒲田7,20250711,machine_category,juggler,172,1113245,92500,537.7906976744187,0.5406976744186046,0.36627906976744184,0.27895158335960196,0.21254595588235295,-72.58798395250983,-0.0067924589843113
蒲田7,20250711,machine_category,other,460,2439829,294500,640.2173913043479,0.4434782608695652,0.3652173913043478,0.6113606283223139,0.6767003676470589,29.838709677419388,-0.007854137447405318
蒲田7,20250712,machine_category,at_smart,46,260397,26400,573.9130434782609,0.5434782608695652,0.43478260869565216,0.06194798688133969,0.04119850187265917,-324.8246844319775,-0.004207573632538597
蒲田7,20250712,machine_category,hana_oki,35,220200,2700,77.14285714285714,0.5142857142857142,0.3142857142857143,0.05238519150094279,0.004213483146067416,-821.5948707673813,-0.12470446804247648
蒲田7,20250712,machine_category,juggler,172,1163110,82800,481.3953488372093,0.5755813953488372,0.3488372093023256,0.2767018169239853,0.12921348314606743,-417.34237907302906,-0.09015297302586517
蒲田7,20250712,machine_category,other,460,2559771,528900,1149.7826086956522,0.5652173913043478,0.4826086956521739,0.6089650046937322,0.825374531835206,251.04488078541385,0.043618513323983144
蒲田7,20250713,machine_category,at_smart,46,244716,10900,236.95652173913044,0.45652173913043476,0.43478260869565216,0.06238658595095975,0.034137175070466645,-211.49853444064485,0.06540058622374206
