hall,date,n_machines,active_machine_count,total_games,avg_games,total_diff,avg_diff_per_machine,plus_rate,hit104_rate,budget_zscore,budget_regime
金時,20250101,131,131,285429,2178.8473282442746,22424,171.17557251908397,0.45038167938931295,0.3511450381679389,1.0964364964140916,strong
金時,20250102,125,125,270674,2165.392,-1799,-14.392,0.384,0.28,-0.030918735221421845,normal
金時,20250103,138,138,348802,2527.550724637681,-2796,-20.26086956521739,0.427536231884058,0.2753623188405797,-0.0665731371102747,normal
金時,20250104,141,141,392065,2780.6028368794327,-20994,-148.89361702127658,0.3333333333333333,0.24822695035460993,-0.8480394182910808,recovery
金時,20250105,147,147,621473,4227.707482993197,-67666,-460.312925170068,0.3333333333333333,0.1836734693877551,-2.7399658012680774,recovery
金時,20250106,129,129,287816,2231.1317829457366,18530,143.64341085271317,0.4263565891472868,0.3333333333333333,0.929173832622842,strong
金時,20250107,121,121,238816,1973.685950413223,-7463,-61.67768595041322,0.3305785123966942,0.2727272727272727,-0.3181874897458149,normal
金時,20250108,114,114,205842,1805.6315789473683,1772,15.543859649122806,0.34210526315789475,0.19298245614035087,0.15094681127902798,normal
金時,20250109,122,122,202482,1659.688524590164,-31024,-254.29508196721312,0.29508196721311475,0.22950819672131148,-1.4883716235131361,recovery
金時,20250110,121,121,243936,2016.0,-1861,-15.380165289256198,0.34710743801652894,0.2066115702479339,-0.036922010973973005,normal
金時,20250111,138,138,360124,2609.5942028985505,-190,-1.3768115942028984,0.38405797101449274,0.26811594202898553,0.04815079476603476,normal
金時,20250112,133,133,347554,2613.187969924812,25382,190.8421052631579,0.44360902255639095,0.3684210526315789,1.2159140984336079,strong
金時,20250113,141,141,368646,2614.5106382978724,-5899,-41.836879432624116,0.36879432624113473,0.2907801418439716,-0.19765114428385533,normal
金時,20250114,125,125,249150,1993.2,-5099,-40.792,0.376,0.296,-0.19130332026047428,normal
金時,20250115,141,141,441672,3132.425531914894,-11001,-78.02127659574468,0.41134751773049644,0.2624113475177305,-0.4174776414011037,normal
金時,20250116,124,124,237710,1917.016129032258,-13641,-110.00806451612904,0.3629032258064516,0.2903225806451613,-0.6118029333459151,normal
金時,20250117,118,118,223311,1892.4661016949153,-9265,-78.51694915254237,0.3559322033898305,0.2796610169491525,-0.42048893826993866,normal
金時,20250118,135,135,361539,2678.0666666666666,-8927,-66.12592592592593,0.3925925925925926,0.3037037037037037,-0.34521132014834255,normal
金時,20250119,138,138,379208,2747.8840579710145,-27012,-195.7391304347826,0.3115942028985507,0.2463768115942029,-1.1326340482064796,recovery
