hall,date,n_machines,active_machine_count,total_games,avg_games,total_diff,avg_diff_per_machine,plus_rate,hit104_rate,budget_zscore,budget_regime
レイトギャップ,20250320,417,417,1854108,4446.302158273381,-51228,-122.84892086330935,0.407673860911271,0.30935251798561153,-0.400219909775977,normal
レイトギャップ,20250321,370,370,1100638,2974.697297297297,-9047,-24.451351351351352,0.4027027027027027,0.31351351351351353,0.13961846708799827,normal
レイトギャップ,20250322,416,416,1863010,4478.389423076923,50967,122.51682692307692,0.41346153846153844,0.3245192307692308,0.9459296717634436,strong
レイトギャップ,20250323,403,403,1579923,3920.4044665012407,-84228,-209.00248138957815,0.36724565756823824,0.29280397022332505,-0.8728840061173109,recovery
レイトギャップ,20250324,91,91,240301,2640.6703296703295,-20239,-222.4065934065934,0.3516483516483517,0.25274725274725274,-0.9464229574395693,recovery
レイトギャップ,20250325,380,380,1087678,2862.3105263157895,-11749,-30.91842105263158,0.3815789473684211,0.3263157894736842,0.10413819630568959,normal
レイトギャップ,20250326,410,410,1785196,4354.1365853658535,84949,207.19268292682926,0.4560975609756098,0.32682926829268294,1.410486640917831,strong
レイトギャップ,20250327,369,369,1056329,2862.680216802168,-92830,-251.57181571815718,0.35772357723577236,0.2764227642276423,-1.1064320547337683,recovery
レイトギャップ,20250328,357,357,993035,2781.610644257703,-46065,-129.03361344537817,0.3865546218487395,0.29411764705882354,-0.43415097556821647,normal
レイトギャップ,20250329,415,415,1774876,4276.809638554217,27821,67.03855421686747,0.42650602409638555,0.3325301204819277,0.6415593419119787,normal
レイトギャップ,20250330,417,417,2100783,5037.848920863309,106939,256.4484412470024,0.4844124700239808,0.381294964028777,1.6807184032941882,strong
レイトギャップ,20250331,394,394,1310256,3325.522842639594,58368,148.14213197969542,0.41116751269035534,0.35786802030456855,1.086517728531736,strong
レイトギャップ,20250401,377,377,1059028,2809.0928381962863,-80777,-214.26259946949602,0.38992042440318303,0.30238726790450926,-0.9017425807798753,recovery
レイトギャップ,20250402,379,379,1182630,3120.3957783641163,-23766,-62.70712401055409,0.39841688654353563,0.30606860158311344,-0.07026409729293874,normal
レイトギャップ,20250403,373,373,1078677,2891.8954423592495,20419,54.742627345844504,0.3914209115281501,0.3002680965147453,0.5741002244051738,normal
レイトギャップ,20250404,391,391,1376130,3519.5140664961637,53618,137.1304347826087,0.45268542199488493,0.35038363171355497,1.0261042775605667,strong
レイトギャップ,20250405,415,415,1885506,4543.387951807229,-149968,-361.3686746987952,0.3325301204819277,0.24819277108433735,-1.7088103292262815,recovery
レイトギャップ,20250406,418,418,2340815,5600.035885167464,-6348,-15.186602870813397,0.37799043062200954,0.2942583732057416,0.1904476370217005,normal
レイトギャップ,20250407,382,382,1204034,3151.9214659685863,-33857,-88.63089005235602,0.3743455497382199,0.3010471204188482,-0.21248959993106098,normal
レイトギャップ,20250408,363,363,1092026,3008.33608815427,32606,89.8236914600551,0.36639118457300274,0.30578512396694213,0.7665653920308335,strong
レイトギャップ,20250409,370,370,1163302,3144.0594594594595,-107557,-290.6945945945946,0.35135135135135137,0.2810810810810811,-1.3210712734849748,recovery
レイトギャップ,20250410,354,354,987412,2789.299435028249,32478,91.7457627118644,0.4124293785310734,0.3135593220338983,0.7771104474619797,strong
レイトギャップ,20250411,396,396,1406224,3551.070707070707,27399,69.18939393939394,0.39646464646464646,0.3181818181818182,0.6533594893186903,normal
