hall,axis,focus_value,offset_value,n_days,focus_mean_excess,offset_mean_excess,offset_gap,corr_excess,verdict
レイトギャップ,machine_category,at_smart,other,206,378.5076959623802,-70.16259573639388,448.67029169877407,-0.33105682058091884,offset_candidate
レイトギャップ,machine_category,hana_oki,other,286,278.85275175320544,-81.84301067185953,360.69576242506497,-0.3914012165021167,offset_candidate
レイトギャップ,machine_category,at_smart,juggler,206,378.5076959623802,31.81985976575886,346.68783619662133,-0.09736428904572336,no_offset
レイトギャップ,machine_category,at_smart,hana_oki,206,378.5076959623802,50.655500963088315,327.8521949992919,0.06565350028582759,no_offset
レイトギャップ,machine_category,other,at_smart,170,88.22590967131832,-220.1266242518725,308.35253392319083,-0.27174340421030185,offset_candidate
レイトギャップ,machine_category,hana_oki,at_smart,286,278.85275175320544,-23.42573767510879,302.27848942831423,0.020303277888759942,offset_candidate
レイトギャップ,machine_category,juggler,other,291,164.13353593954776,-80.5767983908671,244.71033433041487,-0.4580840282591181,offset_candidate
レイトギャップ,machine_category,other,hana_oki,169,88.49192329596977,-130.9865783902788,219.47850168624856,-0.3960817378708223,offset_candidate
レイトギャップ,machine_category,hana_oki,juggler,286,278.85275175320544,61.130418498317475,217.72233325488796,-0.041923136479638586,no_offset
レイトギャップ,machine_category,juggler,at_smart,291,164.13353593954776,-9.569268751422449,173.7028046909702,-0.159918309047981,offset_candidate
レイトギャップ,machine_category,other,juggler,169,88.49192329596977,-80.32400030302033,168.81592359899008,-0.518880716345235,offset_candidate
レイトギャップ,machine_category,juggler,hana_oki,291,164.13353593954776,69.48257977973928,94.65095615980847,0.03033965623047308,no_offset
レイトギャップ,machine_name,タクトオーパス デスティニー,範馬刃牙,5,6203.267088763358,-1426.3329112366432,7629.6,-0.7988735181902146,offset_candidate
レイトギャップ,machine_name,聖戦士ダンバイン,無職転生 ～異世界行ったら本気だす～,5,4523.95387159307,-2031.64612840693,6555.6,-0.675254063409202,offset_candidate
レイトギャップ,machine_name,ゴジラ,とある魔術の禁書目録,7,5329.659294928438,-945.340705071563,6275.000000000001,-0.2914379318787189,offset_candidate
レイトギャップ,machine_name,マクロスフロンティア4,ビッグドリーム THE GOLDEN PUSHER,5,3800.206206862874,-1933.5937931371263,5733.8,-0.32769720715383466,offset_candidate
レイトギャップ,machine_name,ストライクウィッチーズ2,東京喰種,6,3592.6904384973077,-2029.6845615026923,5622.375,-0.5447615040161432,offset_candidate
レイトギャップ,machine_name,わたしの幸せな結婚,ミリオンゴッド‐神々の軌跡‐,6,4444.681537067988,-1093.4517962653451,5538.133333333333,0.3342213297364002,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,ダンベル何キロ持てる？,17,4130.0717519072505,-1197.5753069162797,5327.64705882353,0.2471188360656283,offset_candidate
レイトギャップ,machine_name,ダーリン・イン・ザ・フランキス,虚構推理,6,3514.727336638982,-1797.2726633610182,5312.0,-0.5245825428072678,offset_candidate
レイトギャップ,machine_name,わたしの幸せな結婚,虚構推理,10,2948.196120622424,-2252.903879377576,5201.1,0.11102949288224846,offset_candidate
レイトギャップ,machine_name,ゴブリンスレイヤー,麻雀物語,6,3331.728698886982,-1716.0629677796849,5047.791666666667,-0.2683109777063833,offset_candidate
レイトギャップ,machine_name,ミリオンゴッド‐神々の軌跡‐,デビル メイ クライ5 スタイリッシュトライブ,5,2977.4382842085793,-1984.1417157914207,4961.58,0.9261528324501035,offset_candidate
レイトギャップ,machine_name,ゴジラ,桃太郎電鉄 ～パチスロも定番!～,10,4055.281170545618,-902.4188294543816,4957.7,-0.14304171277148367,offset_candidate
レイトギャップ,machine_name, サラリーマン金太郎,スマート沖スロ ニューキングハナハナV,6,4756.797043137564,-185.28629019576906,4942.083333333333,0.4313259179247456,offset_candidate
レイトギャップ,machine_name,バーニングエクスプレス,ようこそ実力至上主義の教室へ,6,4083.9171547981628,-848.7495118685041,4932.666666666667,-0.11162750132147281,offset_candidate
レイトギャップ,machine_name,わたしの幸せな結婚,機動戦士ガンダムユニコーン 覚醒DRIVE,6,4444.681537067988,-483.0184629320118,4927.7,0.1108964706913111,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,ソードアート・オンラインII,14,4217.414078099928,-702.0234219000724,4919.4375,0.09661891697836222,offset_candidate
レイトギャップ,machine_name,荒野のコトブキ飛行隊,マクロスフロンティア4,13,3944.659842426673,-943.6478498810195,4888.307692307692,0.4574725883356385,offset_candidate
レイトギャップ,machine_name,シャーマンキング,ネオプラネット,42,4324.328771562352,-548.0521808186004,4872.380952380952,0.22991276907525535,offset_candidate
レイトギャップ,machine_name, サラリーマン金太郎,北斗の拳 転生の章2,6,4756.797043137564,-105.46337352910247,4862.260416666667,0.2551548208602987,offset_candidate
レイトギャップ,machine_name,わたしの幸せな結婚,ドッチ,6,4444.681537067988,-394.65179626534524,4839.333333333333,0.12080267166349158,offset_candidate
レイトギャップ,machine_name,マクロスフロンティア4,タクトオーパス デスティニー,5,3800.206206862874,-1009.9937931371263,4810.2,0.19684405496489754,offset_candidate
レイトギャップ,machine_name, サラリーマン金太郎,無職転生 ～異世界行ったら本気だす～,11,2948.7704167218935,-1857.6841287326517,4806.454545454545,0.09789849639098151,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,戦国乙女5 業火を穿つ宿焔の双刃,14,4217.414078099928,-561.844850471501,4779.258928571428,0.1475129879664923,offset_candidate
レイトギャップ,machine_name,アズールレーン THE ANIMATION,スマスロ真・北斗無双,44,4150.277105525074,-589.541076293108,4739.818181818182,0.09668126426696162,offset_candidate
レイトギャップ,machine_name,ゴジラ,バーニングエクスプレス,6,3252.8368032956355,-1477.4965300376978,4730.333333333333,0.05487899218649922,offset_candidate
レイトギャップ,machine_name,ゴジラ,ネオプラネット,9,3999.7114250113727,-711.1774638775158,4710.888888888889,-0.5436736526284692,offset_candidate
レイトギャップ,machine_name,花笠,主役は銭形5,5,3372.0281243624195,-1308.5718756375804,4680.6,0.5994783051990747,offset_candidate
レイトギャップ,machine_name,ようこそ実力至上主義の教室へ,荒野のコトブキ飛行隊,7,3296.5871514730197,-1369.127134241266,4665.714285714286,0.7053038939046943,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,花笠,18,4092.872210134625,-569.5722343098197,4662.444444444445,0.07330810338509443,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,主役は銭形5,23,4094.016913211673,-543.5265650491966,4637.54347826087,-0.042439834425966126,offset_candidate
レイトギャップ,machine_name,ネオプラネット,虚構推理,7,1698.7561380634213,-2936.815290508007,4635.571428571428,-0.5914994436285235,offset_candidate
レイトギャップ,machine_name, サラリーマン金太郎,A‐SLOT+ この素晴らしい世界に祝福を！,6,3984.0607504027207,-649.4392495972799,4633.500000000001,0.5832094583381523,offset_candidate
レイトギャップ,machine_name, サラリーマン金太郎,鉄拳6,6,4756.797043137564,140.19287647089757,4616.604166666667,0.4936625548723091,no_offset
レイトギャップ,machine_name,バキ 強くなりたくば喰らえ!!!,ドッチ,6,2624.496248216836,-1976.1704184498305,4600.666666666667,0.631684164972293,offset_candidate
レイトギャップ,machine_name,聖戦士ダンバイン,スマスロ秘宝伝,5,4523.95387159307,-54.596128406930085,4578.55,-0.06102504589759511,offset_candidate
レイトギャップ,machine_name,ゴジラ,ゴールデンカムイ,15,4708.147661723365,152.1809950566982,4555.966666666666,-0.055806541122103474,no_offset
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,モンスターハンターライズ,27,3767.2086104815485,-769.5228709999334,4536.731481481482,0.10605195099663407,offset_candidate
レイトギャップ,machine_name, サラリーマン金太郎,バンドリ！,6,3984.0607504027207,-531.7170273750576,4515.777777777778,-0.3217485416537529,offset_candidate
レイトギャップ,machine_name,ゴブリンスレイヤー,吉宗,6,3331.728698886982,-1165.8546344463514,4497.583333333333,0.5907778071158926,offset_candidate
レイトギャップ,machine_name,花笠,吉宗,7,3356.6565360487807,-1125.7482258559808,4482.4047619047615,0.5952339462356641,offset_candidate
レイトギャップ,machine_name,花笠,スマスロ秘宝伝,7,3356.6565360487807,-1115.9863210940764,4472.642857142857,0.21370701931951921,offset_candidate
レイトギャップ,machine_name,ストライクウィッチーズ2,にゃんこ大戦争 超神速,6,3592.6904384973077,-878.6567837249145,4471.347222222223,0.5634314563596692,offset_candidate
レイトギャップ,machine_name,ストライクウィッチーズ2,とある魔術の禁書目録,6,3592.6904384973077,-876.9762281693588,4469.666666666666,0.40064678743865034,offset_candidate
レイトギャップ,machine_name,花笠,ダンベル何キロ持てる？,7,3356.6565360487807,-1107.6291782369333,4464.285714285714,0.4850570400958345,offset_candidate
レイトギャップ,machine_name,閃乱カグラ2 SHINOVI MASTER,ヱヴァンゲリヲン ～約束の扉～,5,4189.015377170862,-266.8346228291383,4455.85,0.37432711013027137,offset_candidate
レイトギャップ,machine_name,荒野のコトブキ飛行隊,スマスロ真・北斗無双,13,3721.5695709737784,-730.1996597954529,4451.769230769231,-0.02584181944709856,offset_candidate
レイトギャップ,machine_name,シャーマンキング,グランベルム,46,4217.925462921864,-232.09627620857,4450.021739130434,0.1538217348891891,offset_candidate
レイトギャップ,machine_name,ストライクウィッチーズ2,ゴッドイーター リザレクション,6,3592.6904384973077,-847.7373392804701,4440.427777777778,0.07304800580135147,offset_candidate
レイトギャップ,machine_name,ありふれた職業で世界最強,バンドリ！,8,3617.7614584329267,-809.3218749004068,4427.083333333334,0.24627225337587047,offset_candidate
レイトギャップ,machine_name,荒野のコトブキ飛行隊,麻雀物語,13,3624.2403026237535,-802.5737999403499,4426.814102564103,0.11768717048714128,offset_candidate
レイトギャップ,machine_name,シャーマンキング,ULTRAMAN,23,4207.445053923989,-219.33755477166284,4426.782608695652,-0.24070450341631047,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,吉宗,26,3883.194821527467,-539.1321015494565,4422.326923076924,0.41022703218413287,offset_candidate
レイトギャップ,machine_name,ストライクウィッチーズ2,戦姫絶唱シンフォギア 正義の歌,6,3592.6904384973077,-827.2678948360253,4419.958333333333,0.47959820123759256,offset_candidate
レイトギャップ,machine_name,アズールレーン THE ANIMATION,うしおととら 白面決戦,14,4588.1808048769535,170.10937630552482,4418.071428571428,-0.027557446148883072,no_offset
レイトギャップ,machine_name,閃乱カグラ2 SHINOVI MASTER,ギルティクラウン2,14,2396.048802927243,-2021.0821494537097,4417.130952380952,-0.1117948009272352,offset_candidate
レイトギャップ,machine_name,絶対衝激IV,キン肉マン～7人の悪魔超人編～,8,2734.602144376805,-1676.2728556231955,4410.875,-0.11079867569037333,offset_candidate
レイトギャップ,machine_name,ゴジラ,ToLOVEるダークネス,15,4567.399210610479,164.34921061047854,4403.05,0.35404733934789373,no_offset
レイトギャップ,machine_name,デビル メイ クライ5 スタイリッシュトライブ,グランベルム,23,3739.958434504707,-651.5633046257277,4391.521739130435,-0.3466511637383733,offset_candidate
レイトギャップ,machine_name,ゴジラ,絶対衝激IV,13,3104.140939013858,-1285.166753293834,4389.3076923076915,0.12043078073886652,offset_candidate
レイトギャップ,machine_name,アズールレーン THE ANIMATION,荒野のコトブキ飛行隊,13,4076.8581490844217,-308.6033893771165,4385.461538461538,0.22344883412313948,offset_candidate
レイトギャップ,machine_name,花笠,ビッグドリーム THE GOLDEN PUSHER,7,3356.6565360487807,-1020.7720353797906,4377.428571428572,0.015029931276931282,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,革命機ヴァルヴレイヴ,18,4092.872210134625,-277.92778986537513,4370.8,0.5913591825949456,offset_candidate
レイトギャップ,machine_name,機動戦士ガンダムSEED,ネオプラネット,10,2907.1916234256273,-1448.908376574373,4356.1,-0.032285063027538106,offset_candidate
レイトギャップ,machine_name,シャーマンキング,ゴブリンスレイヤー,18,3460.547377171152,-891.5081783844033,4352.055555555556,-0.09820096949087467,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,バイオハザード5,21,4143.051955363933,-206.37661606463865,4349.428571428572,0.1087189406589345,offset_candidate
レイトギャップ,machine_name,ネオプラネット,ヨルムンガンド,7,1698.7561380634213,-2647.2914809841977,4346.047619047619,-0.30669732923284604,offset_candidate
レイトギャップ,machine_name,花笠,鉄拳6,7,3356.6565360487807,-984.0339401416952,4340.690476190476,-0.571726454883812,offset_candidate
レイトギャップ,machine_name, サラリーマン金太郎,ガールズ&パンツァー 最終章,9,4591.90849673893,254.3529411833743,4337.555555555556,0.32742217320808603,no_offset
レイトギャップ,machine_name,ダーリン・イン・ザ・フランキス,ヨルムンガンド,6,3514.727336638982,-817.9393300276848,4332.666666666667,-0.09999191121930846,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,ひぐらしのなく頃に 業,17,4289.419568184446,-35.874549462613146,4325.294117647059,-0.34489984207201696,offset_candidate
レイトギャップ,machine_name,荒野のコトブキ飛行隊,緑ドン VIVA!情熱南米編 REVIVAL,14,3726.4149557227274,-593.9302823725113,4320.3452380952385,0.25970594221480664,offset_candidate
レイトギャップ,machine_name,ストライクウィッチーズ2,バイオハザード5,6,3592.6904384973077,-724.6428948360257,4317.333333333333,-0.2599781519837543,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,機動戦士ガンダムユニコーン 覚醒DRIVE,24,3737.607163283115,-578.6421422724407,4316.249305555555,-0.19391864714269733,offset_candidate
レイトギャップ,machine_name,花笠,スーパーリオエース2,7,3356.6565360487807,-956.986321094076,4313.642857142857,-0.10132984982001793,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,マギアレコード 魔法少女まどか☆マギカ外伝,27,3767.2086104815485,-545.8006487777111,4313.009259259259,0.11354835568827493,offset_candidate
レイトギャップ,machine_name,ビッグドリーム THE GOLDEN PUSHER,無職転生 ～異世界行ったら本気だす～,27,3767.2086104815485,-543.0506487777112,4310.25925925926,0.3059839136867236,offset_candidate
レイトギャップ,machine_name,花笠,戦国乙女5 業火を穿つ宿焔の双刃,6,3664.4582967962474,-644.395869870419,4308.854166666666,-0.14442494984761753,offset_candidate
レイトギャップ,machine_name,ストライクウィッチーズ2,Re:ゼロから始める異世界生活 season2,6,3592.6904384973077,-703.7470615026923,4296.4375,0.15021951688144367,offset_candidate
レイトギャップ,machine_name,ゴジラ,交響詩篇エウレカセブン4 HI-EVOLUTION,18,4649.553722948601,356.9842785041558,4292.569444444445,-0.5545874616526166,no_offset
レイトギャップ,machine_name,荒野のコトブキ飛行隊,デビル メイ クライ5 スタイリッシュトライブ,15,3506.360036022612,-766.5732973107221,4272.933333333334,0.14105613586649085,offset_candidate
レイトギャップ,machine_name,ストライクウィッチーズ2,鬼武者3,6,3592.6904384973077,-671.1428948360256,4263.833333333333,-0.24503110621468258,offset_candidate
レイトギャップ,machine_name,アズールレーン THE ANIMATION,ニューパルサーBT,23,3999.261571179917,-262.04277664616944,4261.304347826087,-0.06813862152500327,offset_candidate
レイトギャップ,machine_name,シャーマンキング,バーニングエクスプレス,44,4072.979736194617,-186.6111728962924,4259.59090909091,-0.2801279200122665,offset_candidate
レイトギャップ,machine_name,シャーマンキング,今日から俺は!! パチスロ編,52,3893.9222598317483,-355.1354324759441,4249.057692307692,0.034932593701278616,offset_candidate
