hall,axis,axis_level,n_days,budget_index_sum,budget_index_mean,budget_abs_sum,budget_abs_share,under_budget_days,balanced_days,over_budget_days,dominant_regime
ザシティ,day_of_week,金,78,-399.43764473694455,-5.120995445345443,643.3246247574201,0.16032235705112757,25,31,22,balanced
ザシティ,day_of_week,月,78,-475.47181198030063,-6.095792461285906,625.1368104573037,0.15578978804010554,24,38,16,balanced
ザシティ,day_of_week,土,79,-462.2977001698645,-5.851869622403348,619.660881256045,0.15442513659850723,21,42,16,balanced
ザシティ,day_of_week,水,79,-410.3149876566772,-5.193860603249078,583.9388788895634,0.14552288818832118,18,39,22,balanced
ザシティ,day_of_week,木,78,-377.81951574788275,-4.843839945485676,551.1640527293484,0.13735510293693592,16,42,20,balanced
ザシティ,day_of_week,火,78,-381.93340663318895,-4.896582136322936,526.0804762583213,0.13110404717387747,13,46,19,balanced
ザシティ,day_of_week,日,78,-332.62435356319503,-4.264414789271731,463.3886782939248,0.115480680011125,10,47,21,balanced
ザシティ,dd,12,17,-172.58153808820182,-10.15185518165893,174.61582492325851,0.04351585428690827,11,5,1,under_budget
ザシティ,dd,23,18,-147.9395961530835,-8.218866452949083,172.20262089622096,0.04291446185955355,6,9,3,balanced
ザシティ,dd,7,18,-138.89475081532566,-7.71637504529587,170.6876135350919,0.04253690822373927,6,9,3,balanced
ザシティ,dd,16,18,-137.34961233427185,-7.630534018570659,162.50874007892833,0.040498658450524874,7,9,2,balanced
ザシティ,dd,10,18,-134.71176290653798,-7.483986828140999,162.2465740704629,0.0404333242929342,5,10,3,balanced
ザシティ,dd,21,18,-117.52318507592335,-6.529065837551297,161.7548317816266,0.04031077763488006,5,8,5,balanced
ザシティ,dd,19,18,-128.64684201220024,-7.147046778455569,161.13273805799776,0.040155746211799535,8,6,4,under_budget
ザシティ,dd,17,17,-123.35775261719715,-7.256338389246891,157.9089298047576,0.039352343826829075,6,7,4,balanced
ザシティ,dd,26,18,-137.27152082464175,-7.626195601368987,155.3906701052276,0.03872477056885259,7,7,4,balanced
ザシティ,dd,22,18,-121.81764553207798,-6.767646974004332,142.255044363216,0.035451252970960453,5,10,3,balanced
ザシティ,dd,15,18,-98.31306253090698,-5.46183680727261,139.60580519967286,0.03479103843735458,4,10,4,balanced
ザシティ,dd,13,18,-59.029119399091314,-3.2793955221717397,138.49812912822026,0.0345149954696361,3,8,7,balanced
ザシティ,dd,24,18,-133.7448165853984,-7.430267588077689,137.97652905897135,0.0343850079807046,4,13,1,balanced
ザシティ,dd,29,16,-133.69760223243603,-8.356100139527252,136.83624742732445,0.03410083941035543,4,11,1,balanced
ザシティ,dd,20,18,-106.65472749312259,-5.925262638506811,134.9998238676927,0.03364318592983554,5,9,4,balanced
ザシティ,dd,1,19,-133.56601780336837,-7.0297904107035984,134.95623207157647,0.03363232245713063,5,13,1,balanced
ザシティ,dd,11,18,-51.32621938742749,-2.8514566326348607,130.2050498511709,0.032448284565464273,4,9,5,balanced
ザシティ,dd,4,19,-101.21327666343923,-5.327014561233644,127.28017402556694,0.031719378864676726,2,14,3,balanced
ザシティ,dd,3,19,-40.13027961803291,-2.1121199798964687,126.44186888202482,0.03151046558611004,3,8,8,balanced
ザシティ,dd,2,19,-116.99283114894405,-6.157517428891792,120.94667757701109,0.030141013852781996,4,13,2,balanced
ザシティ,dd,30,16,-78.74112153599098,-4.9213200959994365,119.06550311359695,0.02967220803936755,4,8,4,balanced
ザシティ,dd,6,18,8.354613396144014,0.4641451886746675,111.74987620992425,0.027849087171041235,1,6,11,over_budget
ザシティ,dd,14,18,-93.86415622967611,-5.2146753460931174,110.13817157651017,0.027447435694080282,4,9,5,balanced
ザシティ,dd,25,18,-68.67826035685492,-3.815458908714162,108.86286381269859,0.027129617381533994,3,10,5,balanced
ザシティ,dd,27,18,-103.96240275918123,-5.775689042176735,108.32876731424265,0.026996515668604077,3,12,3,balanced
ザシティ,dd,28,18,14.433198571217398,0.8018443650676332,97.94318861410792,0.024408334845938653,0,7,11,over_budget
ザシティ,dd,9,18,-85.46530939066528,-4.748072743925849,97.0892354822165,0.0241955219461252,2,14,2,balanced
ザシティ,dd,8,18,0.09801916306243008,0.005445509059023894,96.90149873639263,0.024148736238820835,2,6,10,over_budget
ザシティ,dd,5,18,-57.67665699512983,-3.2042587219516574,95.19327295155664,0.023723030811636722,3,11,4,balanced
ザシティ,dd,18,18,0.8327363398371581,0.04626312999095323,60.53734930829291,0.015086458931045332,0,7,11,over_budget
ザシティ,dd,31,10,-40.46792146918755,-4.046792146918755,58.434550816367356,0.014562422390774264,1,7,2,balanced
ザシティ,dd_bucket,15-21,125,-711.0124457237849,-5.68809956579028,978.4482180989688,0.24383820942226903,35,56,34,balanced
ザシティ,dd_bucket,22-28,126,-698.9810436400204,-5.547468600317623,922.959684164685,0.2300099612761479,28,68,30,balanced
ザシティ,dd_bucket,8-14,125,-596.8800862385374,-4.775040689908299,909.694483768232,0.2267041524939692,31,61,33,balanced
ザシティ,dd_bucket,1-7,130,-580.119199648096,-4.4624553819084305,887.2557152527522,0.22111220696711664,24,74,32,balanced
ザシティ,dd_bucket,29-31,42,-252.9066452376146,-6.021586791371776,314.3363013572888,0.07833546984049725,9,26,7,balanced
ザシティ,is_x_day,0,440,-2630.595394679279,-5.978625896998361,3413.6504240192053,0.8507127833536698,115,234,91,balanced
ザシティ,is_x_day,1,108,-209.30402580877475,-1.9380002389701365,599.0439786227216,0.14928721664633013,12,51,45,balanced
