hall,axis,axis_level,n_days,budget_index_sum,budget_index_mean,budget_abs_sum,budget_abs_share,under_budget_days,balanced_days,over_budget_days,dominant_regime
金時,day_of_week,金,78,-6.810474850709683,-0.08731378013730363,451.1269166791939,0.16384462346814851,36,8,34,under_budget
金時,day_of_week,木,78,-10.395476903333202,-0.13327534491452825,450.9823396863593,0.1637921146018465,38,7,33,under_budget
金時,day_of_week,火,78,-129.41812280448374,-1.6592067026215864,408.82811962568155,0.1484821384996075,38,8,32,under_budget
金時,day_of_week,月,78,-59.67360878941927,-0.7650462665310163,406.9010971172502,0.14778226388420496,39,8,31,under_budget
金時,day_of_week,水,79,-78.72469718515563,-0.9965151542424764,359.64644297773884,0.1306198629536668,40,9,30,under_budget
金時,day_of_week,日,78,-69.28997855963429,-0.88833305845685,341.19867792218133,0.12391982576323218,37,12,29,under_budget
金時,day_of_week,土,78,-57.83029915758334,-0.741414091763889,334.6988919716324,0.12155917082929357,39,12,27,under_budget
金時,dd,23,18,-95.78946582162212,-5.321636990090117,130.6841506972243,0.04746312993659821,15,0,3,under_budget
金時,dd,20,18,102.13560092146031,5.67420005119224,121.33026501310857,0.04406589554154237,4,1,13,over_budget
金時,dd,8,18,-25.60446041432761,-1.4224700230182006,116.08659383513412,0.04216144848245242,11,1,6,under_budget
金時,dd,7,18,-24.49518984615914,-1.3608438803421743,115.26637785163054,0.04186355453285404,9,3,6,under_budget
金時,dd,26,18,22.260537926296713,1.2366965514609285,112.10518261260223,0.04071544116497842,6,3,9,over_budget
金時,dd,9,18,-27.855236456231047,-1.5475131364572805,105.6836100414223,0.03838319252031028,10,2,6,under_budget
金時,dd,18,18,-64.47844987094227,-3.582136103941237,102.43352374309083,0.037202794840409066,12,2,4,under_budget
金時,dd,22,18,-31.337416162154085,-1.7409675645641158,99.7392850843916,0.03622427526587918,10,0,8,under_budget
金時,dd,28,18,-63.587975060591795,-3.5326652811439887,98.90787957326157,0.03592231739574545,13,0,5,under_budget
金時,dd,10,18,-28.054495019012364,-1.558583056611798,96.80478984035169,0.035158496988076486,9,3,6,under_budget
金時,dd,2,19,-34.22850857388934,-1.8015004512573338,96.11374246121377,0.03490751573768477,10,1,8,under_budget
金時,dd,5,18,47.19090998948068,2.6217172216378155,92.90809799971274,0.03374325887260196,6,2,10,over_budget
金時,dd,19,18,-62.39996967424696,-3.4666649819026087,92.04273085833421,0.0334289664901288,12,1,5,under_budget
金時,dd,11,18,-9.179009751667573,-0.5099449862037541,90.44821151760462,0.03284985358124356,8,5,5,under_budget
金時,dd,1,19,-19.53199978804517,-1.0279999888444826,89.44744279323277,0.03248638474628594,8,2,9,over_budget
金時,dd,4,19,1.1397719993119333,0.05998799996378596,89.0789610562713,0.03235255599607135,7,1,11,over_budget
金時,dd,15,17,45.94615990040829,2.702715288259311,86.97615355041403,0.03158883809034464,6,1,10,over_budget
金時,dd,29,16,-15.376665528031804,-0.9610415955019878,85.38054949945659,0.031009331225939823,9,2,5,under_budget
金時,dd,17,18,-28.44512825818561,-1.580284903232534,83.42363917883793,0.030298601666722002,10,3,5,under_budget
金時,dd,21,18,-72.43947340137387,-4.024415188965215,79.90674356007132,0.029021301605188846,13,4,1,under_budget
金時,dd,24,18,-7.027091208844153,-0.3903939560468974,79.76143901000307,0.028968528497635457,9,1,8,under_budget
金時,dd,30,16,-22.57508929985876,-1.4109430812411725,77.26407026783653,0.028061510037656535,8,2,6,under_budget
金時,dd,16,18,-1.134065890389337,-0.06300366057718539,76.3473307016371,0.02772855972259229,7,4,7,over_budget
金時,dd,27,18,-11.971156528182087,-0.6650642515656715,76.30467863121257,0.02771306893239452,7,3,8,over_budget
金時,dd,12,17,-10.405528813590143,-0.6120899302111849,75.07343315222116,0.027265893327384758,8,2,7,under_budget
金時,dd,14,18,19.100042234179565,1.0611134574544203,73.26651265270999,0.026609638517632813,8,2,8,over_budget
金時,dd,25,18,47.17678422343496,2.6209324568574974,70.03639021842154,0.025436491506370874,3,4,11,over_budget
金時,dd,3,19,9.379813399019167,0.4936743894220614,69.44380821723963,0.02522127186137085,7,4,8,over_budget
金時,dd,13,18,-36.77791570060698,-2.04321753892261,66.85958049933485,0.024282707121069266,10,3,5,under_budget
金時,dd,31,10,-24.309558210539954,-2.4309558210539954,59.94681755617236,0.02177206322093493,5,0,5,over_budget
金時,dd,6,17,10.531570434581408,0.619504143210671,44.310494305881576,0.01609311257390007,7,2,8,over_budget
金時,dd_bucket,22-28,126,-140.27578263166254,-1.113299862156052,667.5390058271169,0.2424432526996021,63,11,52,under_budget
金時,dd_bucket,15-21,125,-80.81532627326949,-0.646522610186156,642.4603866054941,0.23333495795692807,64,16,45,under_budget
金時,dd_bucket,8-14,125,-118.77660392125613,-0.950212831370049,624.2227315387787,0.22671123053816955,64,18,43,under_budget
金時,dd_bucket,1-7,129,-10.013632385700443,-0.07762505725349181,596.5689246851823,0.21666765432076898,54,15,60,over_budget
金時,dd_bucket,29-31,42,-62.26131303843053,-1.4824122152007269,222.5914373234655,0.0808429044845313,22,4,16,under_budget
金時,is_x_day,0,476,-654.5921132851034,-1.3751935153048391,2382.1315791983807,0.8651655159891402,248,56,172,under_budget
金時,is_x_day,1,71,242.44945503478425,3.4147810568279473,371.25090678165697,0.13483448401085987,19,8,44,over_budget
