hall,axis_value,t_full_original,t_full_residual,residual_verdict
楽園,1031-1040,5.639375059596338,-1.6158606584720339,explained_by_machine_identity
楽園,1041-1050,4.630534080519604,-0.5126420270303762,explained_by_machine_identity
楽園,1051-1060,3.762228239599195,-0.9548464888434648,explained_by_machine_identity
楽園,1101-1110,-4.273726320479568,-0.7433630749925096,explained_by_machine_identity
楽園,1131-1140,-6.623954480012894,-0.7738621615660616,explained_by_machine_identity
楽園,1151-1160,-4.359006982521109,-2.7753391216369865,band_effect_survives_residualization
楽園,1191-1200,-3.8124403861457417,-1.6217196016032103,explained_by_machine_identity
楽園,1201-1210,-5.352663289368795,-1.8744029686702843,explained_by_machine_identity
楽園,2131-2140,4.02008003616649,-2.4350310555307555,band_effect_survives_residualization
楽園,3221-3230,4.133252716152027,-2.0184608467429865,explained_by_machine_identity
金時,341-350,-3.816254441698124,0.21620016327669184,explained_by_machine_identity
金時,401-410,4.22717774428666,-1.9309034191702965,explained_by_machine_identity
金時,411-420,5.949897563391478,-1.4956779086983394,explained_by_machine_identity
金時,421-430,3.686645969957552,-1.2374641450659762,explained_by_machine_identity
金時,431-440,5.30238398318793,-1.39869997670271,explained_by_machine_identity
金時,461-470,5.369486655300187,-2.260163953435379,explained_by_machine_identity
レイトギャップ,571-580,4.168159765704126,-1.7128441692347234,explained_by_machine_identity
レイトギャップ,711-720,4.923495927951241,-1.7613140636989353,explained_by_machine_identity
レイトギャップ,721-730,3.871416475320763,-2.2223705301962204,band_effect_survives_residualization
レイトギャップ,731-740,5.354048955455133,-1.4921537715724003,explained_by_machine_identity
レイトギャップ,741-750,3.832044905083699,-1.6414890080245186,explained_by_machine_identity
レイトギャップ,861-870,-7.114097091092082,-0.8176871932392185,explained_by_machine_identity
ザシティ,771-780,3.904537580073232,-4.822224128075894,band_effect_survives_residualization
