hall,date,axis,axis_value,n_machines,total_games,total_diff,avg_diff,plus_rate,hit104_rate,games_share,share_of_total_diff,excess_vs_hall_day,hit104_lift
楽園,20250101,atype,A,113,384432,88,0.7787610619469026,0.415929203539823,0.3008849557522124,0.3143036309512616,0.0014985610408187592,-137.06865677842868,-0.023058706219618585
楽園,20250101,atype,N,313,838691,58635,187.33226837060704,0.3929712460063898,0.33226837060702874,0.6856963690487383,0.9985014389591812,49.484850530231455,0.008324708635197742
楽園,20250101,dd,1,426,1223123,58723,137.84741784037558,0.39906103286384975,0.323943661971831,1.0,1.0,0.0,0.0
楽園,20250101,event_type,weekday,426,1223123,58723,137.84741784037558,0.39906103286384975,0.323943661971831,1.0,1.0,0.0,0.0
楽園,20250101,kakuban_bin,0-2,130,359484,-7619,-58.60769230769231,0.36923076923076925,0.2846153846153846,0.29390666351626127,-0.12974473374997872,-196.4551101480679,-0.039328277356446395
楽園,20250101,kakuban_bin,3-5,129,332963,4182,32.41860465116279,0.3488372093023256,0.2713178294573643,0.27222364390171716,0.07121570764436422,-105.4288131892128,-0.052625832514466675
楽園,20250101,kakuban_bin,6-9,167,530676,62160,372.21556886227546,0.46107784431137727,0.39520958083832336,0.43386969258202157,1.0585290261056144,234.36815102189988,0.07126591886649236
楽園,20250101,machine_category,at_smart,118,388686,72947,618.1949152542373,0.4830508474576271,0.4322033898305085,0.3177816131329392,1.2422219573250686,480.3474974138618,0.10825972785867749
楽園,20250101,machine_category,hana_oki,34,96564,822,24.176470588235293,0.47058823529411764,0.38235294117647056,0.07894872388140849,0.013997922449466137,-113.6709472521403,0.058409279204639564
楽園,20250101,machine_category,juggler,79,287868,-734,-9.291139240506329,0.3924050632911392,0.26582278481012656,0.23535490706985315,-0.012499361408647379,-147.13855708088192,-0.05812087716170444
楽園,20250101,machine_category,other,195,450005,-14312,-73.39487179487179,0.3384615384615385,0.2717948717948718,0.36791475591579914,-0.2437205183658873,-211.24228963524737,-0.052148790176959225
楽園,20250101,machine_name,009 RE:CYBORG,1,400,143,143.0,1.0,1.0,0.0003270317049062114,0.0024351616913304837,5.152582159624416,0.676056338028169
楽園,20250101,machine_name,A‐SLOT+ この素晴らしい世界に祝福を！,4,10725,-94,-23.5,0.5,0.5,0.008768537587797793,-0.00160073565723822,-161.34741784037558,0.176056338028169
楽園,20250101,machine_name,GI優駿倶楽部黄金,2,1867,429,214.5,0.5,0.5,0.0015264204826497417,0.0073054850739914514,76.65258215962442,0.176056338028169
楽園,20250101,machine_name,HEY！エリートサラリーマン鏡,2,3439,-904,-452.0,0.0,0.0,0.0028116550829311525,-0.015394308873865436,-589.8474178403756,-0.323943661971831
楽園,20250101,machine_name,Re:ゼロから始める異世界生活 season2,10,20570,1861,186.1,0.2,0.2,0.016817605424801922,0.03169116019276944,48.25258215962441,-0.12394366197183099
楽園,20250101,machine_name,ToLOVEるダークネス,6,11921,4382,730.3333333333334,0.5,0.5,0.009746362385467364,0.07462152819167958,592.4859154929578,0.176056338028169
楽園,20250101,machine_name,かぐや様は告らせたい,6,21599,-2236,-372.6666666666667,0.16666666666666666,0.16666666666666666,0.01765889448567315,-0.03807707371898575,-510.5140845070423,-0.15727699530516434
楽園,20250101,machine_name,からくりサーカス,11,45950,15479,1407.1818181818182,0.5454545454545454,0.5454545454545454,0.03756776710110103,0.26359348125947246,1269.3344003414427,0.22151088348271442
楽園,20250101,machine_name,この素晴らしい世界に祝福を！,1,991,-333,-333.0,0.0,0.0,0.0008102210489051387,-0.005670691211280078,-470.84741784037556,-0.323943661971831
楽園,20250101,machine_name,とある科学の超電磁砲,1,2775,-95,-95.0,0.0,0.0,0.0022687824527868414,-0.001617764759974797,-232.84741784037558,-0.323943661971831
楽園,20250101,machine_name,ひぐらしのなく頃に祭2,2,13295,1810,905.0,0.5,0.5,0.010869716291820201,0.030822675953204027,767.1525821596244,0.176056338028169
楽園,20250101,machine_name,アイムジャグラーEX-TP,30,106523,4201,140.03333333333333,0.4666666666666667,0.3333333333333333,0.0870909957543109,0.07153926059635918,2.185915492957747,0.009389671361502316
楽園,20250101,machine_name,アオハル♪操 A‐LIVE,2,2555,620,310.0,1.0,1.0,0.002088915015088425,0.010558043696677621,172.15258215962442,0.676056338028169
楽園,20250101,machine_name,ガメラ2,3,3937,-428,-142.66666666666666,0.3333333333333333,0.0,0.0032188095555393858,-0.007288455971254874,-280.51408450704224,-0.323943661971831
楽園,20250101,machine_name,ガールズ&パンツァー 最終章,3,3990,1239,413.0,0.3333333333333333,0.3333333333333333,0.0032621412564394587,0.02109905829061867,275.15258215962444,0.009389671361502316
楽園,20250101,machine_name,キングハナハナ-30,13,42522,2815,216.53846153846155,0.38461538461538464,0.15384615384615385,0.034765105390054805,0.04793692420346372,78.69104369808596,-0.17009750812567714
楽園,20250101,machine_name,キン肉マン～7人の悪魔超人編～,3,9110,715,238.33333333333334,0.3333333333333333,0.3333333333333333,0.007448147079238965,0.012175808456652419,100.48591549295776,0.009389671361502316
楽園,20250101,machine_name,クランキークレスト,4,10365,-142,-35.5,0.5,0.5,0.008474209053382203,-0.002418132588593907,-173.34741784037558,0.176056338028169
