hall,date,axis,axis_value,n_machines,total_games,total_diff,avg_diff,plus_rate,hit104_rate,games_share,share_of_total_diff,excess_vs_hall_day,hit104_lift
レイトギャップ,20250320,atype,A,128,642520,33389,260.8515625,0.5234375,0.3671875,0.34653860508665085,-0.6517724681814633,383.70048336330933,0.05783498201438847
レイトギャップ,20250320,atype,N,289,1211588,-84617,-292.7923875432526,0.356401384083045,0.2837370242214533,0.6534613949133492,1.6517724681814632,-169.94346667994324,-0.025615493764158226
レイトギャップ,20250320,dd,20,417,1854108,-51228,-122.84892086330935,0.407673860911271,0.30935251798561153,1.0,1.0,0.0,0.0
レイトギャップ,20250320,event_type,weekday,417,1854108,-51228,-122.84892086330935,0.407673860911271,0.30935251798561153,1.0,1.0,0.0,0.0
レイトギャップ,20250320,kakuban_bin,1001-1010,10,37869,-2615,-261.5,0.4,0.3,0.020424376573532934,0.051046302803154524,-138.65107913669067,-0.009352517985611541
レイトギャップ,20250320,kakuban_bin,1011-1020,8,31837,-1536,-192.0,0.625,0.625,0.017171060153993188,0.029983602717263996,-69.15107913669065,0.31564748201438847
レイトギャップ,20250320,kakuban_bin,301-310,4,11981,-236,-59.0,0.5,0.0,0.0064618673777363566,0.004606855625829624,63.848920863309345,-0.30935251798561153
レイトギャップ,20250320,kakuban_bin,311-320,10,57568,1810,181.0,0.6,0.3,0.031048892513273228,-0.035332240181150935,303.84892086330933,-0.009352517985611541
レイトギャップ,20250320,kakuban_bin,321-330,10,62785,-12838,-1283.8,0.2,0.1,0.03386264446299784,0.2506051378152573,-1160.9510791366906,-0.20935251798561152
レイトギャップ,20250320,kakuban_bin,331-340,10,45214,-22288,-2228.8,0.0,0.0,0.024385850230946634,0.43507456859529947,-2105.9510791366906,-0.30935251798561153
レイトギャップ,20250320,kakuban_bin,341-350,2,4634,1012,506.0,0.5,0.5,0.002499315034507159,-0.01975482158194737,628.8489208633093,0.19064748201438847
レイトギャップ,20250320,kakuban_bin,571-580,4,32912,4206,1051.5,0.25,0.25,0.017750853779822967,-0.08210353712813305,1174.3489208633093,-0.05935251798561153
レイトギャップ,20250320,kakuban_bin,581-590,10,63894,-7738,-773.8,0.5,0.4,0.034460775747691075,0.15105020691809168,-650.9510791366906,0.09064748201438849
レイトギャップ,20250320,kakuban_bin,591-600,10,38140,1199,119.9,0.4,0.4,0.02057053850153281,-0.02340516904817678,242.74892086330937,0.09064748201438849
レイトギャップ,20250320,kakuban_bin,601-610,10,43075,1877,187.7,0.4,0.3,0.02323219575127231,-0.03664011868509409,310.5489208633093,-0.009352517985611541
レイトギャップ,20250320,kakuban_bin,611-620,10,41646,6926,692.6,0.7,0.6,0.022461474736099517,-0.13519950027328806,815.4489208633094,0.29064748201438845
レイトギャップ,20250320,kakuban_bin,621-630,10,34593,7751,775.1,0.7,0.4,0.018657489207748415,-0.151303974389006,897.9489208633094,0.09064748201438849
レイトギャップ,20250320,kakuban_bin,631-640,10,28486,356,35.6,0.4,0.3,0.015363722070127522,-0.006949324588115874,158.44892086330935,-0.009352517985611541
レイトギャップ,20250320,kakuban_bin,701-710,10,62355,10039,1003.9,0.7,0.6,0.03363072701266593,-0.1959670492699305,1126.7489208633094,0.29064748201438845
レイトギャップ,20250320,kakuban_bin,711-720,10,55125,542,54.2,0.3,0.2,0.029731277789643323,-0.010580151479659562,177.04892086330935,-0.10935251798561152
レイトギャップ,20250320,kakuban_bin,721-730,10,49216,165,16.5,0.6,0.1,0.026544300547756656,-0.0032208948231435934,139.34892086330933,-0.20935251798561152
レイトギャップ,20250320,kakuban_bin,731-740,10,48433,-1848,-184.8,0.3,0.2,0.02612199505098948,0.03607402201920824,-61.951079136690666,-0.10935251798561152
レイトギャップ,20250320,kakuban_bin,741-750,10,52994,2164,216.4,0.5,0.4,0.028581938053230987,-0.04224252361989537,339.24892086330937,0.09064748201438849
レイトギャップ,20250320,kakuban_bin,751-760,10,56189,6909,690.9,0.7,0.5,0.030305138643487866,-0.13486765050363084,813.7489208633093,0.19064748201438847
レイトギャップ,20250320,kakuban_bin,761-770,10,63250,-1195,-119.5,0.2,0.2,0.034113438915100956,0.023327086749433904,3.3489208633093455,-0.10935251798561152
レイトギャップ,20250320,kakuban_bin,771-780,10,57457,3937,393.7,0.8,0.4,0.03098902545051313,-0.07685250253767471,516.5489208633094,0.09064748201438849
レイトギャップ,20250320,kakuban_bin,781-790,10,55968,9656,965.6,0.5,0.3,0.03018594386087542,-0.18849066916530022,1088.4489208633095,-0.009352517985611541
