hall,axis,focus_value,offset_value,n_days,focus_mean_excess,offset_mean_excess,offset_gap,corr_excess,verdict
楽園,atype,N,A,364,43.51811025792103,-119.34474720198305,162.8628574599041,-0.975434057797402,offset_candidate
楽園,atype,A,N,184,88.23924960346018,-31.87662962460252,120.1158792280627,-0.9865778465063568,offset_candidate
楽園,kakuban_bin,991-1000,2091-2100,152,3194.1502839990235,-294.6667458261243,3488.817029825148,-0.10124597065702623,offset_candidate
楽園,kakuban_bin,991-1000,2041-2050,171,3194.1502839990235,-189.0270992739738,3383.1773832729973,0.019873571606280345,offset_candidate
楽園,kakuban_bin,991-1000,1101-1110,171,3194.1502839990235,-153.78095149712428,3347.9312354961476,-0.021837137629817406,offset_candidate
楽園,kakuban_bin,991-1000,1201-1210,171,3194.1502839990235,-110.85731834015776,3305.007602339181,0.009961249590162959,offset_candidate
楽園,kakuban_bin,991-1000,2111-2120,171,3194.1502839990235,-103.116192377102,3297.2664763761254,0.07523162661575308,offset_candidate
楽園,kakuban_bin,991-1000,1131-1140,171,3194.1502839990235,-96.36352134767658,3290.5138053467,-0.05434454397723324,offset_candidate
楽園,kakuban_bin,991-1000,1211-1220,171,3194.1502839990235,-93.79864387622015,3287.9489278752435,0.13371197191907847,offset_candidate
楽園,kakuban_bin,991-1000,1111-1120,171,3194.1502839990235,-93.58298203643548,3287.733266035459,-0.136920296599711,offset_candidate
楽園,kakuban_bin,991-1000,2031-2040,170,3194.1502839990235,-90.37573528044068,3284.526019279464,0.07369771712904631,offset_candidate
楽園,kakuban_bin,991-1000,3131-3140,170,3194.1502839990235,-85.04604156155894,3279.1963255605824,0.05095852213962233,offset_candidate
楽園,kakuban_bin,991-1000,3111-3120,167,3194.1502839990235,-83.51398322764717,3277.6642672266707,-0.02894207977731924,offset_candidate
楽園,kakuban_bin,991-1000,3151-3160,171,3194.1502839990235,-79.896000694191,3274.0462846932146,-0.06167256357272769,offset_candidate
楽園,kakuban_bin,991-1000,3141-3150,167,3194.1502839990235,-79.86683463304811,3274.0171186320717,-0.06272715991669496,offset_candidate
楽園,kakuban_bin,991-1000,2121-2130,171,3194.1502839990235,-72.85874087798385,3267.0090248770075,-0.087945836669234,offset_candidate
楽園,kakuban_bin,991-1000,2051-2060,171,3194.1502839990235,-71.51419896765242,3265.6644829666757,-0.013746753575994594,offset_candidate
楽園,kakuban_bin,991-1000,3251-3260,171,3194.1502839990235,-67.37143929068223,3261.5217232897057,-0.05835933284066589,offset_candidate
楽園,kakuban_bin,991-1000,2071-2080,171,3194.1502839990235,-63.57876083528446,3257.729044834308,-0.08483302662473692,offset_candidate
楽園,kakuban_bin,991-1000,3181-3190,171,3194.1502839990235,-45.115032068924144,3239.2653160679474,-0.11602696353885412,offset_candidate
楽園,kakuban_bin,991-1000,3121-3130,169,3194.1502839990235,-44.84012433394995,3238.9904083329734,-0.07067518599290105,offset_candidate
楽園,kakuban_bin,991-1000,1141-1150,171,3194.1502839990235,-41.560177339507995,3235.7104613385313,0.001017225038665618,offset_candidate
楽園,kakuban_bin,991-1000,1191-1200,171,3194.1502839990235,-41.105157846330606,3235.255441845354,-0.031021289141507234,offset_candidate
楽園,kakuban_bin,991-1000,1151-1160,171,3194.1502839990235,-31.166097231831383,3225.316381230855,0.010984862942548744,offset_candidate
楽園,kakuban_bin,991-1000,1091-1100,159,3194.1502839990235,-27.687084040214273,3221.837368039238,0.0015601369735934955,offset_candidate
楽園,kakuban_bin,991-1000,1181-1190,171,3194.1502839990235,-27.28409361166988,3221.4343776106934,0.011134808319669705,offset_candidate
楽園,kakuban_bin,991-1000,2151-2160,171,3194.1502839990235,-26.254696043675818,3220.404980042699,-0.024570048170865406,offset_candidate
楽園,kakuban_bin,991-1000,1161-1170,171,3194.1502839990235,-24.387467787851065,3218.5377517868747,0.042344368725314996,offset_candidate
楽園,kakuban_bin,991-1000,2231-2240,171,3194.1502839990235,-18.179315462593475,3212.329599461617,-0.022738949313679115,offset_candidate
楽園,kakuban_bin,991-1000,2011-2020,171,3194.1502839990235,-17.161866748214944,3211.3121507472383,0.04809762656980407,offset_candidate
楽園,kakuban_bin,991-1000,2161-2170,171,3194.1502839990235,-14.754208714241127,3208.9044927132645,0.019410455546988056,offset_candidate
楽園,kakuban_bin,991-1000,1171-1180,171,3194.1502839990235,-11.907594493504092,3206.0578784925274,-0.06655512621917128,offset_candidate
楽園,kakuban_bin,991-1000,2081-2090,171,3194.1502839990235,-10.055617328369038,3204.2059013273924,-0.0462354750607023,offset_candidate
楽園,kakuban_bin,991-1000,3191-3200,168,3194.1502839990235,-9.5914866686625,3203.741770667686,-0.044855031160143895,offset_candidate
楽園,kakuban_bin,991-1000,2191-2200,171,3194.1502839990235,-6.680619648985391,3200.830903648009,-0.009080618297816766,offset_candidate
楽園,kakuban_bin,991-1000,2171-2180,171,3194.1502839990235,-6.5893637314136955,3200.7396477304374,0.030683170439452054,offset_candidate
楽園,kakuban_bin,991-1000,1121-1130,171,3194.1502839990235,-1.088082751185334,3195.238366750209,0.07029281722836069,offset_candidate
楽園,kakuban_bin,991-1000,2201-2210,171,3194.1502839990235,5.6513677268616345,3188.4989162721618,0.07081674979892244,no_offset
楽園,kakuban_bin,991-1000,1011-1020,171,3194.1502839990235,9.56821308098768,3184.5820709180357,-0.03165968004090167,no_offset
楽園,kakuban_bin,991-1000,3241-3250,171,3194.1502839990235,9.705454332264027,3184.4448296667592,-0.078031404952196,no_offset
楽園,kakuban_bin,991-1000,2021-2030,170,3194.1502839990235,11.152383926844601,3182.9979000721787,-0.013770664969723205,no_offset
楽園,kakuban_bin,991-1000,2001-2010,171,3194.1502839990235,12.705519309521994,3181.4447646895014,0.011875795480548491,no_offset
楽園,kakuban_bin,991-1000,1021-1030,171,3194.1502839990235,25.864555789611114,3168.2857282094124,-0.07907037164696062,no_offset
楽園,kakuban_bin,991-1000,3171-3180,170,3194.1502839990235,28.42370920301224,3165.7265747960114,-0.18238348820854905,no_offset
楽園,kakuban_bin,991-1000,3201-3210,169,3194.1502839990235,36.95734559832641,3157.192938400697,-0.12380610713516392,no_offset
楽園,kakuban_bin,991-1000,3161-3170,170,3194.1502839990235,44.04017919708826,3150.1101048019354,0.03247266662149291,no_offset
楽園,kakuban_bin,991-1000,2061-2070,170,3194.1502839990235,50.117733915939546,3144.032550083084,-0.06536169189064428,no_offset
楽園,kakuban_bin,991-1000,3221-3230,171,3194.1502839990235,55.22692931601972,3138.9233546830037,0.1274280791659887,no_offset
楽園,kakuban_bin,991-1000,3261-3270,167,3194.1502839990235,70.33438297969096,3123.8159010193326,-0.10981767938609022,no_offset
楽園,kakuban_bin,991-1000,2101-2110,171,3194.1502839990235,72.19756423665464,3121.952719762369,0.04624421381743516,no_offset
楽園,kakuban_bin,991-1000,3211-3220,168,3194.1502839990235,72.24890749373988,3121.9013765052837,0.08534817858774386,no_offset
楽園,kakuban_bin,991-1000,2221-2230,170,3194.1502839990235,76.8868158045358,3117.263468194488,0.052384822015909514,no_offset
楽園,kakuban_bin,991-1000,2211-2220,171,3194.1502839990235,82.21513362308366,3111.93515037594,0.09310492471303256,no_offset
楽園,kakuban_bin,991-1000,3231-3240,170,3194.1502839990235,84.79376924485429,3109.356514754169,0.1005078549165545,no_offset
楽園,kakuban_bin,991-1000,2131-2140,170,3194.1502839990235,87.14772238155622,3107.002561617467,0.008498632055045165,no_offset
楽園,kakuban_bin,991-1000,1001-1010,171,3194.1502839990235,91.10229829402027,3103.047985705003,-0.1481639463054761,no_offset
楽園,kakuban_bin,991-1000,2181-2190,171,3194.1502839990235,99.8354436574288,3094.314840341595,0.01866275385483274,no_offset
楽園,kakuban_bin,991-1000,2141-2150,171,3194.1502839990235,112.56889302157992,3081.5813909774433,-0.059361496545686766,no_offset
楽園,kakuban_bin,991-1000,1041-1050,171,3194.1502839990235,157.4442480758823,3036.7060359231414,-0.005944360186854401,no_offset
