hall,axis,focus_value,offset_value,n_days,focus_mean_excess,offset_mean_excess,offset_gap,corr_excess,verdict
蒲田1,atype,N,A,269,82.88615431629758,-139.05612806503967,221.94228238133724,-0.9939093807794693,offset_candidate
蒲田1,atype,A,N,266,133.32790969519675,-79.70375255243769,213.03166224763444,-0.9954936744271323,offset_candidate
蒲田1,kakuban_bin,3-5,0-2,260,183.30976629469055,-78.52444980245771,261.83421609714827,-0.28868301376280747,offset_candidate
蒲田1,kakuban_bin,3-5,6-9,260,183.30976629469055,-76.40823953510815,259.7180058297987,-0.4239025399503035,offset_candidate
蒲田1,kakuban_bin,0-2,6-9,266,168.7562853124415,-81.57886757920382,250.3351528916453,-0.3530476126361843,offset_candidate
蒲田1,kakuban_bin,0-2,3-5,266,168.7562853124415,-65.82554364529918,234.58182895774067,-0.34894912208708345,offset_candidate
蒲田1,kakuban_bin,6-9,0-2,251,136.3877470336187,-94.22492137461114,230.61266840822984,-0.41115185884473926,offset_candidate
蒲田1,kakuban_bin,6-9,3-5,251,136.3877470336187,-85.76094417096418,222.14869120458286,-0.2935787844895037,offset_candidate
蒲田1,machine_category,bt,hana_oki,136,765.2481946728495,-111.30978119369568,876.5579758665452,-6.10873189456652e-06,offset_candidate
蒲田1,machine_category,bt,other,136,765.2481946728495,-25.253527423440225,790.5017220962898,-0.1197797375532012,offset_candidate
蒲田1,machine_category,bt,at_smart,136,765.2481946728495,-10.383709332246323,775.6319040050959,0.0921949531402853,offset_candidate
蒲田1,machine_category,bt,juggler,136,765.2481946728495,48.566779705553365,716.6814149672962,-0.05812211129235154,no_offset
蒲田1,machine_category,hana_oki,bt,128,253.3058321510936,-186.94430544042154,440.2501375915151,0.034542769870108216,offset_candidate
蒲田1,machine_category,at_smart,hana_oki,286,199.69597557159034,-218.06379360687075,417.75976917846106,-0.2799878599476597,offset_candidate
蒲田1,machine_category,other,hana_oki,235,192.83845589584794,-221.45807452455017,414.2965304203981,-0.2495076903374969,offset_candidate
蒲田1,machine_category,other,bt,161,192.83845589584794,-163.1019162185854,355.94037211443333,-0.06931339264205431,offset_candidate
蒲田1,machine_category,at_smart,other,286,199.69597557159034,-136.8705172569294,336.5664928285197,-0.5365807708207128,offset_candidate
蒲田1,machine_category,hana_oki,other,177,253.3058321510936,-68.64459933680612,321.9504314878997,0.0011534970771999544,offset_candidate
蒲田1,machine_category,other,at_smart,235,192.83845589584794,-102.0684538953981,294.90690979124605,-0.4265448791242271,offset_candidate
蒲田1,machine_category,hana_oki,at_smart,177,253.3058321510936,-31.49068008354458,284.79651223463816,-0.24196843716574354,offset_candidate
蒲田1,machine_category,juggler,bt,212,156.8022468126528,-123.01583668345052,279.8180834961033,-0.02081757893899107,offset_candidate
蒲田1,machine_category,juggler,hana_oki,312,156.8022468126528,-119.84312497237978,276.6453717850326,-0.05685371747646526,offset_candidate
蒲田1,machine_category,at_smart,bt,189,199.69597557159034,-67.8996450916029,267.59562066319324,-0.12376225896689096,offset_candidate
蒲田1,machine_category,at_smart,juggler,286,199.69597557159034,-35.81898739592961,235.51496296751995,-0.39787945722847906,offset_candidate
蒲田1,machine_category,juggler,other,312,156.8022468126528,-70.15765104305825,226.95989785571106,-0.26397054189857716,offset_candidate
蒲田1,machine_category,other,juggler,235,192.83845589584794,-16.418226600697153,209.2566824965451,-0.1381372173567827,offset_candidate
蒲田1,machine_category,juggler,at_smart,312,156.8022468126528,-49.08568803833973,205.88793485099254,-0.42041569064546136,offset_candidate
蒲田1,machine_category,hana_oki,juggler,177,253.3058321510936,51.2076674261246,202.098164724969,0.007716448953012852,no_offset
蒲田1,machine_name,範馬刃牙,ミリオンゴッド‐神々の軌跡‐,7,1493.2509847801844,-2761.455542382555,4254.70652716274,-0.4864663305589528,offset_candidate
蒲田1,machine_name,ゾンビランドサガ,ミリオンゴッド‐神々の軌跡‐,7,1529.4032389642948,-2510.2877375557628,4039.6909765200576,-0.6608713920732002,offset_candidate
蒲田1,machine_name,シャーマンキング,戦国乙女5 業火を穿つ宿焔の双刃,9,2304.910801965549,-1586.5855071973092,3891.4963091628583,-0.6248024544525582,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する, サラリーマン金太郎,25,2616.9528912015767,-1210.756041213542,3827.7089324151184,-0.12406309906389955,offset_candidate
蒲田1,machine_name, サラリーマン金太郎,スーパービンゴネオ,25,2414.7290362037065,-1358.6042971296272,3773.333333333334,-0.34030675082369205,offset_candidate
蒲田1,machine_name,戦姫絶唱シンフォギア 正義の歌,聖戦士ダンバイン,11,2023.4264975619117,-1709.9068357714218,3733.3333333333335,0.062452217527989094,offset_candidate
蒲田1,machine_name,ゴジラ対エヴァンゲリオン,スーパービンゴネオ,35,2311.1390945991543,-1366.4799530198934,3677.6190476190477,0.25250613086175544,no_offset
蒲田1,machine_name,スーパービンゴネオ, サラリーマン金太郎,28,2416.6572210219692,-1259.5815297221802,3676.2387507441495,-0.2407544973449514,offset_candidate
蒲田1,machine_name,シャーマンキング,ダークハイビ,5,2304.910801965549,-1335.739392820807,3640.650194786356,-0.03501194197267407,offset_candidate
蒲田1,machine_name,アズールレーン THE ANIMATION,花笠,7,1671.0657922189514,-1949.559901296849,3620.6256935158003,0.2794611018453823,no_offset
蒲田1,machine_name,シャーマンキング,ミリオンゴッド‐神々の軌跡‐,26,2304.910801965549,-1252.7393778002784,3557.6501797658275,0.3463252430386659,no_offset
蒲田1,machine_name, サラリーマン金太郎,仮面ライダー電王,6,2414.7290362037065,-1135.8306774447929,3550.5597136484994,-0.26307211058383395,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,Sister Quest,13,2616.9528912015767,-909.12122278396,3526.0741139855368,-0.13320867474760836,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,スマスロ ドルアーガの塔,8,2616.9528912015767,-897.7830500617769,3514.7359412633537,-0.5522050590854611,offset_candidate
蒲田1,machine_name, サラリーマン金太郎,ラブ嬢3～Wご指名はいかがですか?～,7,2414.7290362037065,-1016.1904805055453,3430.919516709252,0.5554694379311438,no_offset
蒲田1,machine_name,七つの魔剣が支配する,攻殻機動隊,17,2616.9528912015767,-769.1903473600178,3386.1432385615944,-0.3811011533216831,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,ラブ嬢3～Wご指名はいかがですか?～,9,2616.9528912015767,-762.0040048234288,3378.9568960250053,0.41705938046527063,no_offset
蒲田1,machine_name,チバリヨ2,聖戦士ダンバイン,5,2244.9058716540117,-1128.4274616793223,3373.333333333334,-0.1904849812957942,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,戦姫絶唱シンフォギア 正義の歌,5,2616.9528912015767,-749.6497434997849,3366.6026347013617,-0.18727554244375702,offset_candidate
蒲田1,machine_name,チバリヨ2,ゴッドイーター リザレクション,5,2244.9058716540117,-1102.427461679322,3347.333333333334,-0.9441863603677317,offset_candidate
蒲田1,machine_name, サラリーマン金太郎,七つの魔剣が支配する,25,2414.7290362037065,-921.2709637962935,3336.0,-0.4784217588722077,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,とある科学の超電磁砲2,15,2616.9528912015767,-713.0978975506557,3330.0507887522326,0.08047422228230453,offset_candidate
蒲田1,machine_name,チバリヨ2,革命機ヴァルヴレイヴ,5,2244.9058716540117,-1079.9439451958056,3324.849816849817,-0.06329125493164518,offset_candidate
蒲田1,machine_name,シャーマンキング,麻雀物語,8,2304.910801965549,-1018.8532484382454,3323.7640504037945,0.5085510983163247,no_offset
蒲田1,machine_name, サラリーマン金太郎,チバリヨ2プラス,25,2414.7290362037065,-905.5376304629602,3320.266666666667,0.09228556430925745,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,アイドルマスター ミリオンライブ！ ネクストプロローグ,12,2616.9528912015767,-702.6608704582695,3319.613761659846,-0.22127777914847638,offset_candidate
蒲田1,machine_name,チバリヨ2,真・一騎当千,5,2244.9058716540117,-1068.4274616793223,3313.333333333334,0.2618533759492158,no_offset
蒲田1,machine_name,七つの魔剣が支配する,いざ！番長,44,2616.9528912015767,-695.0210283834566,3311.9739195850334,-0.09340309012538175,offset_candidate
蒲田1,machine_name,桃太郎電鉄 ～パチスロも定番!～,にゃんこ大戦争 超神速,5,2157.865485181698,-1151.0534274793295,3308.9189126610277,-0.3871164147278199,offset_candidate
蒲田1,machine_name, サラリーマン金太郎,戦姫絶唱シンフォギア 正義の歌,5,2414.7290362037065,-888.8564445088468,3303.5854807125534,0.1903114665578988,offset_candidate
蒲田1,machine_name,チバリヨ2プラス,戦姫絶唱シンフォギア 正義の歌,5,1564.1309601626613,-1732.9177890319456,3297.048749194607,0.023876417982186014,offset_candidate
蒲田1,machine_name,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,戦国乙女5 業火を穿つ宿焔の双刃,9,1987.1086748421733,-1305.0944652531355,3292.2031400953088,-0.5034938392441431,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,機動戦士ガンダムSEED,17,2616.9528912015767,-660.8815785252065,3277.834469726783,-0.17202860016526622,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,化物語,17,2616.9528912015767,-660.366817948253,3277.3197091498296,0.2309690780710503,no_offset
蒲田1,machine_name,七つの魔剣が支配する,緑ドン VIVA!情熱南米編 REVIVAL,29,2616.9528912015767,-644.1456506697347,3261.098541871311,-0.13563026580979914,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,プリズムナナ,9,2616.9528912015767,-603.4091114725657,3220.3620026741423,-0.18460857435015943,offset_candidate
蒲田1,machine_name,チバリヨ2,沖ドキ!GOLD‐30,5,2244.9058716540117,-975.0941283459886,3220.0,-0.23721347316200006,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,A‐SLOT+ この素晴らしい世界に祝福を！,5,2616.9528912015767,-599.6497434997852,3216.602634701362,-0.1625000329074929,offset_candidate
蒲田1,machine_name,アクダマドライブ,ミリオンゴッド‐神々の軌跡‐,16,1331.21003278606,-1875.708512072729,3206.918544858789,0.3308697299950559,no_offset
蒲田1,machine_name,戦姫絶唱シンフォギア 正義の歌,スーパービンゴネオ,11,2023.4264975619117,-1182.6341084986948,3206.0606060606065,0.08816417072934861,offset_candidate
蒲田1,machine_name,シャーマンキング,スーパーリオエース2,18,2304.910801965549,-895.9775112374247,3200.8883132029737,0.1754595340032316,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,沖ドキ!ゴージャス 30Φ,65,2616.9528912015767,-576.1961599239257,3193.1490511255024,-0.02206225644514649,offset_candidate
蒲田1,machine_name,チバリヨ2,ダンベル何キロ持てる？,5,2244.9058716540117,-944.427461679322,3189.333333333334,0.5004605985961291,no_offset
蒲田1,machine_name,七つの魔剣が支配する,SHAKE BONUS TRIGGER,17,2616.9528912015767,-566.2491708894295,3183.202062091006,0.558972770583796,no_offset
蒲田1,machine_name,七つの魔剣が支配する,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,7,2616.9528912015767,-564.7418272508712,3181.694718452448,0.15875889907374965,offset_candidate
蒲田1,machine_name,タクトオーパス デスティニー,スーパーリオエース2,21,2293.8033675237884,-885.5617118412907,3179.365079365079,-0.2347482444193563,offset_candidate
蒲田1,machine_name,スーパービンゴネオ,スマスロ ドルアーガの塔,8,2416.6572210219692,-762.3003654758202,3178.9575864977896,-0.35636639087715655,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,ようこそ実力至上主義の教室へ,27,2616.9528912015767,-560.9213593563935,3177.8742505579703,-0.06632430191398249,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,にゃんこ大戦争 超神速,26,2616.9528912015767,-560.4055717674995,3177.3584629690763,-0.10552297585869203,offset_candidate
蒲田1,machine_name,七つの魔剣が支配する,仮面ライダー電王,8,2616.9528912015767,-558.9744395323369,3175.9273307339135,-0.1171367265358566,offset_candidate
蒲田1,machine_name,ギルティクラウン2,ダーリン・イン・ザ・フランキス,7,1843.8956426094505,-1330.9537379632893,3174.84938057274,-0.1359887839633006,offset_candidate
