hall,machine_name,period,dd,n,rb_rate_pooled,rb_rate_mean
ARROW,アイムジャグラーEX-TP,full,1,119.0,0.002720750697038245,0.002636302521008403
ARROW,アイムジャグラーEX-TP,full,2,124.0,0.002814112988757689,0.0026957903225806453
ARROW,アイムジャグラーEX-TP,full,3,104.0,0.0027233642272074705,0.002635509615384615
ARROW,アイムジャグラーEX-TP,full,4,118.0,0.0028349800544210497,0.0027709745762711864
ARROW,アイムジャグラーEX-TP,full,5,123.0,0.003165227213894053,0.003057544715447155
ARROW,アイムジャグラーEX-TP,full,6,120.0,0.002772897605995731,0.002675458333333333
ARROW,アイムジャグラーEX-TP,full,7,106.0,0.0027977090458002314,0.002740075471698113
ARROW,アイムジャグラーEX-TP,full,8,116.0,0.0027883607088533247,0.002690405172413793
ARROW,アイムジャグラーEX-TP,full,9,111.0,0.0029230264042181416,0.0028185135135135133
ARROW,アイムジャグラーEX-TP,full,10,106.0,0.0027571952584411023,0.0026670377358490567
ARROW,アイムジャグラーEX-TP,full,11,119.0,0.002783072817384674,0.0026727899159663866
ARROW,アイムジャグラーEX-TP,full,12,114.0,0.002767210399236341,0.0026536052631578946
ARROW,アイムジャグラーEX-TP,full,13,113.0,0.0028884350458921355,0.002809053097345133
ARROW,アイムジャグラーEX-TP,full,14,110.0,0.002805918783378419,0.0027055090909090906
ARROW,アイムジャグラーEX-TP,full,15,115.0,0.0031797688438957306,0.003097547826086956
ARROW,アイムジャグラーEX-TP,full,16,117.0,0.0028988244867119047,0.0027545726495726494
ARROW,アイムジャグラーEX-TP,full,17,108.0,0.0029697355883057893,0.0027964074074074076
ARROW,アイムジャグラーEX-TP,full,18,114.0,0.002835725553998779,0.002715956140350877
ARROW,アイムジャグラーEX-TP,full,19,113.0,0.002791099637620685,0.0026710619469026546
ARROW,アイムジャグラーEX-TP,full,20,115.0,0.002633790160743221,0.002574078260869565
ARROW,アイムジャグラーEX-TP,full,21,100.0,0.00277177713075149,0.0026374
ARROW,アイムジャグラーEX-TP,full,22,115.0,0.0030060731833857234,0.002885286956521739
ARROW,アイムジャグラーEX-TP,full,23,106.0,0.0029088853054794546,0.0028389811320754716
ARROW,アイムジャグラーEX-TP,full,24,108.0,0.0027117172775687997,0.002589435185185185
ARROW,アイムジャグラーEX-TP,full,25,118.0,0.0030922800696943273,0.0029916610169491526
ARROW,アイムジャグラーEX-TP,full,26,111.0,0.0029928692687762395,0.002902234234234234
ARROW,アイムジャグラーEX-TP,full,27,113.0,0.002695725241341551,0.0026271504424778764
ARROW,アイムジャグラーEX-TP,full,28,116.0,0.0028051772745488163,0.002656
ARROW,アイムジャグラーEX-TP,full,29,97.0,0.002848837558242123,0.0027434536082474228
ARROW,アイムジャグラーEX-TP,full,30,105.0,0.002935604472982715,0.002844352380952381
ARROW,アイムジャグラーEX-TP,full,31,72.0,0.0026501569429085263,0.002555736111111111
ARROW,アイムジャグラーEX-TP,recent60d,1,19.0,0.00265746554938814,0.002527842105263158
ARROW,アイムジャグラーEX-TP,recent60d,2,20.0,0.003013261708913883,0.00297955
ARROW,アイムジャグラーEX-TP,recent60d,3,20.0,0.002766297278161071,0.0026536999999999997
ARROW,アイムジャグラーEX-TP,recent60d,4,19.0,0.0029084687767322497,0.00281
ARROW,アイムジャグラーEX-TP,recent60d,5,20.0,0.0033357493493229662,0.0031272500000000003
ARROW,アイムジャグラーEX-TP,recent60d,6,19.0,0.0029604854292138894,0.002886736842105263
ARROW,アイムジャグラーEX-TP,recent60d,7,19.0,0.0030067324661742596,0.0028504736842105264
ARROW,アイムジャグラーEX-TP,recent60d,8,15.0,0.002613768961493582,0.002520733333333333
ARROW,アイムジャグラーEX-TP,recent60d,9,15.0,0.002699424439899158,0.0025863333333333337
ARROW,アイムジャグラーEX-TP,recent60d,10,24.0,0.0027057741219762973,0.002660583333333333
ARROW,アイムジャグラーEX-TP,recent60d,11,30.0,0.002731941234445514,0.002665
ARROW,アイムジャグラーEX-TP,recent60d,12,29.0,0.002821338427768043,0.0026518620689655174
ARROW,アイムジャグラーEX-TP,recent60d,13,30.0,0.0027333956634886226,0.0026181333333333335
ARROW,アイムジャグラーEX-TP,recent60d,14,29.0,0.002596053997923157,0.002463206896551724
ARROW,アイムジャグラーEX-TP,recent60d,15,30.0,0.0031232412754587263,0.0030672333333333335
ARROW,アイムジャグラーEX-TP,recent60d,16,28.0,0.002905701360069622,0.002755642857142857
ARROW,アイムジャグラーEX-TP,recent60d,17,30.0,0.0029267729119464964,0.002673766666666667
ARROW,アイムジャグラーEX-TP,recent60d,18,30.0,0.0029463116542994324,0.002813033333333333
ARROW,アイムジャグラーEX-TP,recent60d,19,29.0,0.0026107479270661457,0.0025213103448275863
ARROW,アイムジャグラーEX-TP,recent60d,20,30.0,0.002457915935144067,0.0024043333333333334
ARROW,アイムジャグラーEX-TP,recent60d,21,24.0,0.0028081047713573314,0.0026365
ARROW,アイムジャグラーEX-TP,recent60d,22,26.0,0.002994055704041245,0.0028808846153846154
ARROW,アイムジャグラーEX-TP,recent60d,23,29.0,0.002885043686825424,0.0028766206896551723
ARROW,アイムジャグラーEX-TP,recent60d,24,29.0,0.0025157133506305057,0.002413206896551724
ARROW,アイムジャグラーEX-TP,recent60d,25,30.0,0.0031719962644510998,0.0030457666666666664
ARROW,アイムジャグラーEX-TP,recent60d,26,29.0,0.0028745795846972047,0.002790551724137931
ARROW,アイムジャグラーEX-TP,recent60d,27,29.0,0.0026919694021695674,0.0025969655172413796
ARROW,アイムジャグラーEX-TP,recent60d,28,30.0,0.0031043798175681477,0.002934466666666667
ARROW,アイムジャグラーEX-TP,recent60d,29,28.0,0.0029196737479844077,0.0027720714285714284
ARROW,アイムジャグラーEX-TP,recent60d,30,30.0,0.0028136873043561376,0.0027053
ARROW,アイムジャグラーEX-TP,recent60d,31,28.0,0.0025450947778956727,0.002535607142857143
ARROW,ウルトラミラクルジャグラー,full,1,18.0,0.002412317711177072,0.0023716666666666665
ARROW,ウルトラミラクルジャグラー,full,2,19.0,0.0025043960142803858,0.0024011578947368425
ARROW,ウルトラミラクルジャグラー,full,3,17.0,0.002724232517942359,0.002656
ARROW,ウルトラミラクルジャグラー,full,4,18.0,0.002256974049813925,0.0022095
ARROW,ウルトラミラクルジャグラー,full,5,18.0,0.003126351653855201,0.0030670555555555555
ARROW,ウルトラミラクルジャグラー,full,6,18.0,0.0026175239378338063,0.002614833333333333
ARROW,ウルトラミラクルジャグラー,full,7,18.0,0.002527902856304522,0.0023276111111111115
ARROW,ウルトラミラクルジャグラー,full,8,18.0,0.0029287064312349944,0.0028567222222222223
ARROW,ウルトラミラクルジャグラー,full,9,18.0,0.002472187886279357,0.0023769444444444445
ARROW,ウルトラミラクルジャグラー,full,10,18.0,0.0025088517956499746,0.0024612222222222223
ARROW,ウルトラミラクルジャグラー,full,11,18.0,0.002651574029203888,0.002570833333333333
ARROW,ウルトラミラクルジャグラー,full,12,16.0,0.00248171086989361,0.0023694375
ARROW,ウルトラミラクルジャグラー,full,13,18.0,0.0027175895527832496,0.0026725555555555556
ARROW,ウルトラミラクルジャグラー,full,14,18.0,0.002543158902552135,0.002483277777777778
ARROW,ウルトラミラクルジャグラー,full,15,18.0,0.003087192998052321,0.002991611111111111
ARROW,ウルトラミラクルジャグラー,full,16,18.0,0.002708224907958904,0.002626
ARROW,ウルトラミラクルジャグラー,full,17,17.0,0.002362731568602852,0.0023194117647058823
ARROW,ウルトラミラクルジャグラー,full,18,18.0,0.002923252713768806,0.002764833333333333
ARROW,ウルトラミラクルジャグラー,full,19,17.0,0.0028159850356318686,0.0026545882352941178
ARROW,ウルトラミラクルジャグラー,full,20,17.0,0.002597592271902189,0.0025352941176470588
ARROW,ウルトラミラクルジャグラー,full,21,17.0,0.0026408910136637405,0.002528176470588235
ARROW,ウルトラミラクルジャグラー,full,22,18.0,0.0028154743119113666,0.002724111111111111
ARROW,ウルトラミラクルジャグラー,full,23,18.0,0.0026362285105308914,0.0025903333333333334
ARROW,ウルトラミラクルジャグラー,full,24,18.0,0.0026013915877891305,0.0025745555555555556
ARROW,ウルトラミラクルジャグラー,full,25,17.0,0.0029828029600601808,0.0029667647058823528
ARROW,ウルトラミラクルジャグラー,full,26,18.0,0.0025204401549148584,0.002433888888888889
ARROW,ウルトラミラクルジャグラー,full,27,18.0,0.0025607928047968022,0.002408777777777778
ARROW,ウルトラミラクルジャグラー,full,28,17.0,0.0028169519503355223,0.0028264705882352944
ARROW,ウルトラミラクルジャグラー,full,29,16.0,0.0025124016421484777,0.0023678125
ARROW,ウルトラミラクルジャグラー,full,30,15.0,0.002582992677777279,0.0025189333333333333
ARROW,ウルトラミラクルジャグラー,full,31,10.0,0.0028389785717521632,0.0027718
ARROW,ウルトラミラクルジャグラー,recent60d,1,1.0,0.001750393838613688,0.00175
ARROW,ウルトラミラクルジャグラー,recent60d,2,2.0,0.0032,0.0029915000000000002
ARROW,ウルトラミラクルジャグラー,recent60d,3,1.0,0.0021975180972078593,0.002197
ARROW,ウルトラミラクルジャグラー,recent60d,4,2.0,0.0029043565348022033,0.0029045
ARROW,ウルトラミラクルジャグラー,recent60d,5,2.0,0.0032927435387673956,0.0032975
ARROW,ウルトラミラクルジャグラー,recent60d,6,2.0,0.0022271714922048997,0.00223
ARROW,ウルトラミラクルジャグラー,recent60d,7,2.0,0.0030410542321338066,0.003007
ARROW,ウルトラミラクルジャグラー,recent60d,8,2.0,0.0030627871362940277,0.0028165
ARROW,ウルトラミラクルジャグラー,recent60d,9,2.0,0.002719238613188307,0.0025975
ARROW,ウルトラミラクルジャグラー,recent60d,10,2.0,0.003164329377921611,0.0031644999999999998
ARROW,ウルトラミラクルジャグラー,recent60d,11,2.0,0.0028608795161026647,0.002861
ARROW,ウルトラミラクルジャグラー,recent60d,12,1.0,0.002827207716614003,0.002827
ARROW,ウルトラミラクルジャグラー,recent60d,13,2.0,0.00234192037470726,0.0023575000000000002
ARROW,ウルトラミラクルジャグラー,recent60d,14,2.0,0.002462697377951615,0.0024549999999999997
ARROW,ウルトラミラクルジャグラー,recent60d,15,2.0,0.0025835620862263847,0.0025855
ARROW,ウルトラミラクルジャグラー,recent60d,16,2.0,0.0022708840227088404,0.0022684999999999997
ARROW,ウルトラミラクルジャグラー,recent60d,17,1.0,0.0012100026888948643,0.00121
ARROW,ウルトラミラクルジャグラー,recent60d,18,2.0,0.0032156540777230434,0.0033365
ARROW,ウルトラミラクルジャグラー,recent60d,19,1.0,0.002465888541837909,0.002466
ARROW,ウルトラミラクルジャグラー,recent60d,20,1.0,0.0029871977240398294,0.002987
ARROW,ウルトラミラクルジャグラー,recent60d,21,1.0,0.002994652406417112,0.002995
ARROW,ウルトラミラクルジャグラー,recent60d,22,2.0,0.0030553433789320184,0.002998
ARROW,ウルトラミラクルジャグラー,recent60d,23,2.0,0.0027849803130702007,0.0023715
ARROW,ウルトラミラクルジャグラー,recent60d,24,2.0,0.002336630578705507,0.002205
ARROW,ウルトラミラクルジャグラー,recent60d,25,1.0,0.002003081664098613,0.002003
ARROW,ウルトラミラクルジャグラー,recent60d,26,2.0,0.001941747572815534,0.0019420000000000001
ARROW,ウルトラミラクルジャグラー,recent60d,27,2.0,0.0026387470207694928,0.002558
ARROW,ウルトラミラクルジャグラー,recent60d,28,1.0,0.0027965125843066293,0.002796
ARROW,ウルトラミラクルジャグラー,recent60d,29,2.0,0.0017720677815926459,0.0017725
ARROW,ウルトラミラクルジャグラー,recent60d,30,1.0,0.0024271844660194173,0.002427
ARROW,ウルトラミラクルジャグラー,recent60d,31,1.0,0.0024174053182917004,0.002417
ARROW,ゴーゴージャグラー3,full,1,141.0,0.0032202175470592066,0.003100212765957447
ARROW,ゴーゴージャグラー3,full,2,136.0,0.0030891245598808946,0.0029888235294117647
ARROW,ゴーゴージャグラー3,full,3,124.0,0.0030227886245213133,0.0028725806451612903
ARROW,ゴーゴージャグラー3,full,4,131.0,0.003136423517505518,0.003054824427480916
ARROW,ゴーゴージャグラー3,full,5,142.0,0.003544898774902204,0.003403556338028169
ARROW,ゴーゴージャグラー3,full,6,136.0,0.00332254480330078,0.003200830882352941
ARROW,ゴーゴージャグラー3,full,7,133.0,0.0029845128382954196,0.002887015037593985
ARROW,ゴーゴージャグラー3,full,8,130.0,0.003103185311198451,0.0029874076923076926
ARROW,ゴーゴージャグラー3,full,9,128.0,0.0031814185652838363,0.0030269453125
ARROW,ゴーゴージャグラー3,full,10,123.0,0.0030290220253172983,0.00286239837398374
ARROW,ゴーゴージャグラー3,full,11,137.0,0.0032656914609692634,0.0031076715328467153
ARROW,ゴーゴージャグラー3,full,12,122.0,0.0031297342752530126,0.0029918360655737703
ARROW,ゴーゴージャグラー3,full,13,131.0,0.003113316077077941,0.0029845801526717556
ARROW,ゴーゴージャグラー3,full,14,128.0,0.0032240806004597386,0.0030818359375
ARROW,ゴーゴージャグラー3,full,15,144.0,0.0035375997897104604,0.0034483611111111112
ARROW,ゴーゴージャグラー3,full,16,125.0,0.0030520058636464985,0.002938416
ARROW,ゴーゴージャグラー3,full,17,115.0,0.003215148500781583,0.003133304347826087
ARROW,ゴーゴージャグラー3,full,18,134.0,0.003109972230375003,0.0030238432835820897
ARROW,ゴーゴージャグラー3,full,19,118.0,0.0030159721929562573,0.0028478305084745762
ARROW,ゴーゴージャグラー3,full,20,123.0,0.0031144293667820524,0.0029764146341463415
ARROW,ゴーゴージャグラー3,full,21,119.0,0.003123123520527755,0.0029773193277310922
ARROW,ゴーゴージャグラー3,full,22,142.0,0.0033184315132609114,0.003155521126760563
ARROW,ゴーゴージャグラー3,full,23,128.0,0.003285712566346119,0.00313996875
ARROW,ゴーゴージャグラー3,full,24,129.0,0.0032240916380848264,0.003097085271317829
ARROW,ゴーゴージャグラー3,full,25,132.0,0.0034342638722559475,0.003301075757575758
ARROW,ゴーゴージャグラー3,full,26,124.0,0.003273380368730044,0.0031398064516129035
ARROW,ゴーゴージャグラー3,full,27,126.0,0.003109293068985668,0.0030090079365079365
ARROW,ゴーゴージャグラー3,full,28,129.0,0.0030897524990645213,0.00302784496124031
ARROW,ゴーゴージャグラー3,full,29,115.0,0.003091609830483691,0.002925417391304348
ARROW,ゴーゴージャグラー3,full,30,115.0,0.0033763927265929167,0.003260504347826087
ARROW,ゴーゴージャグラー3,full,31,73.0,0.003158884119339929,0.0030865890410958904
ARROW,ゴーゴージャグラー3,recent60d,1,8.0,0.003178195651650495,0.003044625
ARROW,ゴーゴージャグラー3,recent60d,2,11.0,0.00371410453845457,0.0035034545454545457
ARROW,ゴーゴージャグラー3,recent60d,3,6.0,0.003291923031704354,0.0029373333333333335
ARROW,ゴーゴージャグラー3,recent60d,4,15.0,0.002943389253329462,0.0029004
ARROW,ゴーゴージャグラー3,recent60d,5,15.0,0.004221533352762985,0.004138133333333334
ARROW,ゴーゴージャグラー3,recent60d,6,15.0,0.0036809815950920245,0.0035282
ARROW,ゴーゴージャグラー3,recent60d,7,15.0,0.0032425803865155822,0.003134266666666667
ARROW,ゴーゴージャグラー3,recent60d,8,13.0,0.0029043853342918765,0.002727846153846154
ARROW,ゴーゴージャグラー3,recent60d,9,13.0,0.0029166607094348253,0.0026724615384615385
ARROW,ゴーゴージャグラー3,recent60d,10,15.0,0.002640036730945822,0.0025985333333333333
ARROW,ゴーゴージャグラー3,recent60d,11,14.0,0.0034137179364143624,0.0031262857142857143
ARROW,ゴーゴージャグラー3,recent60d,12,6.0,0.002889079965606191,0.002793
ARROW,ゴーゴージャグラー3,recent60d,13,13.0,0.0031151293865368454,0.003017769230769231
ARROW,ゴーゴージャグラー3,recent60d,14,13.0,0.003200563030983461,0.0029784615384615383
ARROW,ゴーゴージャグラー3,recent60d,15,16.0,0.00341549229876668,0.0032916875
ARROW,ゴーゴージャグラー3,recent60d,16,15.0,0.0028265189040942544,0.0026054
ARROW,ゴーゴージャグラー3,recent60d,17,8.0,0.0029251457311812116,0.002785375
ARROW,ゴーゴージャグラー3,recent60d,18,16.0,0.0030299239739259754,0.0027854375
ARROW,ゴーゴージャグラー3,recent60d,19,7.0,0.0033545869813475446,0.003288714285714286
ARROW,ゴーゴージャグラー3,recent60d,20,8.0,0.0029658060013956736,0.0027568749999999998
ARROW,ゴーゴージャグラー3,recent60d,21,6.0,0.003099684821963481,0.0031235
ARROW,ゴーゴージャグラー3,recent60d,22,16.0,0.003498457780445898,0.00335075
ARROW,ゴーゴージャグラー3,recent60d,23,15.0,0.003106526326827542,0.0028833333333333337
