hall,machine_name,period,dd,n,rb_rate_pooled,rb_rate_mean
ザシティ,アイムジャグラーEX-TP,full,1,24.0,0.0025380043132923044,0.002415833333333333
ザシティ,アイムジャグラーEX-TP,full,2,24.0,0.002453763047060978,0.0023852916666666666
ザシティ,アイムジャグラーEX-TP,full,3,32.0,0.00261415248067122,0.0025439687500000002
ザシティ,アイムジャグラーEX-TP,full,4,19.0,0.0029325101725831346,0.002575052631578947
ザシティ,アイムジャグラーEX-TP,full,5,28.0,0.003007358104601105,0.0029195
ザシティ,アイムジャグラーEX-TP,full,6,25.0,0.0027938351049995387,0.00258612
ザシティ,アイムジャグラーEX-TP,full,7,24.0,0.0025266217007525646,0.002462958333333333
ザシティ,アイムジャグラーEX-TP,full,8,35.0,0.002931401351273167,0.0027299142857142855
ザシティ,アイムジャグラーEX-TP,full,9,18.0,0.002367644775655954,0.0021487222222222224
ザシティ,アイムジャグラーEX-TP,full,10,20.0,0.0024263876796597346,0.00243685
ザシティ,アイムジャグラーEX-TP,full,11,17.0,0.002775090785112827,0.002707588235294118
ザシティ,アイムジャグラーEX-TP,full,12,19.0,0.0024104261143113944,0.0023654210526315787
ザシティ,アイムジャグラーEX-TP,full,13,20.0,0.002346919667935834,0.0022611
ザシティ,アイムジャグラーEX-TP,full,14,28.0,0.0032126407579209626,0.0030430357142857143
ザシティ,アイムジャグラーEX-TP,full,15,23.0,0.0028465594949181614,0.002645608695652174
ザシティ,アイムジャグラーEX-TP,full,16,13.0,0.0027805145046524357,0.0025841538461538463
ザシティ,アイムジャグラーEX-TP,full,17,14.0,0.0025447759385376022,0.002467642857142857
ザシティ,アイムジャグラーEX-TP,full,18,23.0,0.002711702623843459,0.002460826086956522
ザシティ,アイムジャグラーEX-TP,full,19,20.0,0.002681717984358985,0.0026458
ザシティ,アイムジャグラーEX-TP,full,20,15.0,0.002758177234038953,0.0026623333333333334
ザシティ,アイムジャグラーEX-TP,full,21,18.0,0.00254932387497229,0.002512888888888889
ザシティ,アイムジャグラーEX-TP,full,22,19.0,0.002745086144139772,0.0027361052631578947
ザシティ,アイムジャグラーEX-TP,full,23,11.0,0.0026237537169844323,0.002576636363636364
ザシティ,アイムジャグラーEX-TP,full,24,16.0,0.0023552399727838937,0.002200125
ザシティ,アイムジャグラーEX-TP,full,25,17.0,0.002304991604335216,0.00219
ザシティ,アイムジャグラーEX-TP,full,26,16.0,0.0024938468810614335,0.0023346875
ザシティ,アイムジャグラーEX-TP,full,27,14.0,0.002493659285151005,0.0023887857142857144
ザシティ,アイムジャグラーEX-TP,full,28,25.0,0.002648705010966358,0.0025743199999999997
ザシティ,アイムジャグラーEX-TP,full,29,11.0,0.002654505853525728,0.002585090909090909
ザシティ,アイムジャグラーEX-TP,full,30,24.0,0.0031255077015913783,0.0028315000000000002
ザシティ,アイムジャグラーEX-TP,full,31,13.0,0.002664782477036439,0.0023622307692307692
ザシティ,アイムジャグラーEX-TP,recent60d,1,2.0,0.002502606882168926,0.0024895
ザシティ,アイムジャグラーEX-TP,recent60d,2,3.0,0.002071733782208986,0.002029333333333333
ザシティ,アイムジャグラーEX-TP,recent60d,3,8.0,0.0021396912731163073,0.0020257499999999998
ザシティ,アイムジャグラーEX-TP,recent60d,4,,,
ザシティ,アイムジャグラーEX-TP,recent60d,5,1.0,0.0021240441801189465,0.002124
ザシティ,アイムジャグラーEX-TP,recent60d,6,2.0,0.0033971237685426338,0.0035715
ザシティ,アイムジャグラーEX-TP,recent60d,7,5.0,0.0028972831137593614,0.002767
ザシティ,アイムジャグラーEX-TP,recent60d,8,6.0,0.0031064833457976186,0.003006166666666667
