hall,machine_name,period,dd,n,rb_rate_pooled,rb_rate_mean
ヒロキ,アイムジャグラーEX-TP,full,1,111.0,0.002711493225594938,0.002555171171171171
ヒロキ,アイムジャグラーEX-TP,full,2,90.0,0.0028210549744046294,0.0026797333333333333
ヒロキ,アイムジャグラーEX-TP,full,3,101.0,0.0026460031642359084,0.002570950495049505
ヒロキ,アイムジャグラーEX-TP,full,4,92.0,0.0026999910700684455,0.0025948260869565216
ヒロキ,アイムジャグラーEX-TP,full,5,100.0,0.0030435343479905458,0.0029365600000000004
ヒロキ,アイムジャグラーEX-TP,full,6,136.0,0.0028409929798876967,0.0027133676470588236
ヒロキ,アイムジャグラーEX-TP,full,7,100.0,0.002727240658594446,0.00256218
ヒロキ,アイムジャグラーEX-TP,full,8,81.0,0.003099969483731203,0.0029442345679012347
ヒロキ,アイムジャグラーEX-TP,full,9,80.0,0.0028690842813148135,0.00276085
ヒロキ,アイムジャグラーEX-TP,full,10,93.0,0.002781369293794698,0.002690741935483871
ヒロキ,アイムジャグラーEX-TP,full,11,121.0,0.0029363911329458145,0.0028251652892561986
ヒロキ,アイムジャグラーEX-TP,full,12,73.0,0.0029428469781985905,0.00290127397260274
ヒロキ,アイムジャグラーEX-TP,full,13,97.0,0.0030242328187695166,0.0028671546391752577
ヒロキ,アイムジャグラーEX-TP,full,14,84.0,0.0027804672968634544,0.0026887976190476193
ヒロキ,アイムジャグラーEX-TP,full,15,102.0,0.0028877326489727554,0.0027106666666666668
ヒロキ,アイムジャグラーEX-TP,full,16,121.0,0.0029806870742353406,0.002768107438016529
ヒロキ,アイムジャグラーEX-TP,full,17,82.0,0.0029146257539570094,0.0027675
ヒロキ,アイムジャグラーEX-TP,full,18,75.0,0.0029462378551388417,0.0028256
ヒロキ,アイムジャグラーEX-TP,full,19,70.0,0.002753446877534469,0.002618057142857143
ヒロキ,アイムジャグラーEX-TP,full,20,90.0,0.00280816692597322,0.0027596444444444447
ヒロキ,アイムジャグラーEX-TP,full,21,96.0,0.0029341829691412135,0.0027708541666666667
ヒロキ,アイムジャグラーEX-TP,full,22,92.0,0.002923274162204848,0.002757923913043478
ヒロキ,アイムジャグラーEX-TP,full,23,91.0,0.0027232685752217925,0.002603241758241758
ヒロキ,アイムジャグラーEX-TP,full,24,76.0,0.002621541877846429,0.00251525
ヒロキ,アイムジャグラーEX-TP,full,25,94.0,0.002740407252027531,0.0026640851063829784
ヒロキ,アイムジャグラーEX-TP,full,26,135.0,0.002910253120564381,0.002787103703703704
ヒロキ,アイムジャグラーEX-TP,full,27,86.0,0.0028054626713848218,0.002694093023255814
ヒロキ,アイムジャグラーEX-TP,full,28,77.0,0.0026497532522767623,0.0025514545454545456
ヒロキ,アイムジャグラーEX-TP,full,29,77.0,0.0026609510895318914,0.0026351168831168833
ヒロキ,アイムジャグラーEX-TP,full,30,107.0,0.0034175998353893587,0.0032306168224299063
ヒロキ,アイムジャグラーEX-TP,full,31,55.0,0.0026980508908219752,0.0025938545454545457
ヒロキ,アイムジャグラーEX-TP,recent60d,1,4.0,0.0026243359149971195,0.0026805
ヒロキ,アイムジャグラーEX-TP,recent60d,2,4.0,0.003445566100465454,0.0031627499999999998
ヒロキ,アイムジャグラーEX-TP,recent60d,3,4.0,0.0024589357725976198,0.00246625
ヒロキ,アイムジャグラーEX-TP,recent60d,4,7.0,0.0028995112252506007,0.002755
ヒロキ,アイムジャグラーEX-TP,recent60d,5,2.0,0.0032495055100310822,0.003322
ヒロキ,アイムジャグラーEX-TP,recent60d,6,11.0,0.002485707183693761,0.002453090909090909
ヒロキ,アイムジャグラーEX-TP,recent60d,7,4.0,0.0016464293064416546,0.00162925
ヒロキ,アイムジャグラーEX-TP,recent60d,8,3.0,0.00250791974656811,0.0025570000000000002
ヒロキ,アイムジャグラーEX-TP,recent60d,9,5.0,0.0028659377985351875,0.0032076
ヒロキ,アイムジャグラーEX-TP,recent60d,10,6.0,0.0031569852452479064,0.003105
ヒロキ,アイムジャグラーEX-TP,recent60d,11,6.0,0.0028559953590075416,0.0027881666666666667
ヒロキ,アイムジャグラーEX-TP,recent60d,12,2.0,0.0023091355173906767,0.0022725
ヒロキ,アイムジャグラーEX-TP,recent60d,13,6.0,0.002806151083174318,0.002924333333333333
ヒロキ,アイムジャグラーEX-TP,recent60d,14,8.0,0.002736025490060262,0.00269075
ヒロキ,アイムジャグラーEX-TP,recent60d,15,5.0,0.002096812844476396,0.0018106
ヒロキ,アイムジャグラーEX-TP,recent60d,16,9.0,0.0026550226006056086,0.002399333333333333
ヒロキ,アイムジャグラーEX-TP,recent60d,17,6.0,0.002497918401332223,0.002388
ヒロキ,アイムジャグラーEX-TP,recent60d,18,6.0,0.0035719255926149277,0.003491666666666667
ヒロキ,アイムジャグラーEX-TP,recent60d,19,6.0,0.001996007984031936,0.002079333333333333
ヒロキ,アイムジャグラーEX-TP,recent60d,20,5.0,0.0030964467005076142,0.0030076
ヒロキ,アイムジャグラーEX-TP,recent60d,21,5.0,0.0021827620789333963,0.0022228
ヒロキ,アイムジャグラーEX-TP,recent60d,22,4.0,0.0026517160390938706,0.0026385000000000002
ヒロキ,アイムジャグラーEX-TP,recent60d,23,7.0,0.002574002574002574,0.002376
ヒロキ,アイムジャグラーEX-TP,recent60d,24,6.0,0.002553191489361702,0.0023421666666666664
ヒロキ,アイムジャグラーEX-TP,recent60d,25,4.0,0.0025823111684958036,0.00254275
ヒロキ,アイムジャグラーEX-TP,recent60d,26,7.0,0.0023755699452086285,0.002256285714285714
ヒロキ,アイムジャグラーEX-TP,recent60d,27,7.0,0.0032252862441541686,0.0031895714285714283
ヒロキ,アイムジャグラーEX-TP,recent60d,28,5.0,0.0023022067493963724,0.0022606
ヒロキ,アイムジャグラーEX-TP,recent60d,29,3.0,0.0027494108405341712,0.002880666666666667
ヒロキ,アイムジャグラーEX-TP,recent60d,30,7.0,0.004199588700075765,0.004240428571428571
ヒロキ,アイムジャグラーEX-TP,recent60d,31,4.0,0.0029474657573831126,0.00300325
ヒロキ,ゴーゴージャグラー3,full,1,67.0,0.003240044756550451,0.0031125970149253734
ヒロキ,ゴーゴージャグラー3,full,2,51.0,0.003178603507364419,0.0031873137254901963
ヒロキ,ゴーゴージャグラー3,full,3,55.0,0.003072971006233616,0.0029943818181818183
ヒロキ,ゴーゴージャグラー3,full,4,54.0,0.00323334956588882,0.0030995185185185184
ヒロキ,ゴーゴージャグラー3,full,5,59.0,0.0035288646215345947,0.0032489661016949153
ヒロキ,ゴーゴージャグラー3,full,6,74.0,0.003008159040060553,0.002834054054054054
ヒロキ,ゴーゴージャグラー3,full,7,59.0,0.0034157562962446597,0.003281694915254237
ヒロキ,ゴーゴージャグラー3,full,8,52.0,0.0033644337932478654,0.003185326923076923
ヒロキ,ゴーゴージャグラー3,full,9,44.0,0.0032194704917944085,0.0030844090909090908
ヒロキ,ゴーゴージャグラー3,full,10,49.0,0.003231276332522991,0.003177836734693877
ヒロキ,ゴーゴージャグラー3,full,11,73.0,0.003290425128233705,0.0031855479452054794
ヒロキ,ゴーゴージャグラー3,full,12,50.0,0.0030449989086979434,0.0029943599999999997
ヒロキ,ゴーゴージャグラー3,full,13,62.0,0.0033710725876366075,0.00317
ヒロキ,ゴーゴージャグラー3,full,14,47.0,0.0035847823719461283,0.0034531489361702126
ヒロキ,ゴーゴージャグラー3,full,15,55.0,0.00326092093448227,0.0031721818181818183
ヒロキ,ゴーゴージャグラー3,full,16,73.0,0.003203851450553703,0.00303913698630137
ヒロキ,ゴーゴージャグラー3,full,17,50.0,0.003443062363136041,0.0033414
ヒロキ,ゴーゴージャグラー3,full,18,40.0,0.003265247324477951,0.0032181
ヒロキ,ゴーゴージャグラー3,full,19,44.0,0.0032502325800487534,0.003183977272727273
ヒロキ,ゴーゴージャグラー3,full,20,54.0,0.0031302608252992948,0.0030382962962962963
ヒロキ,ゴーゴージャグラー3,full,21,52.0,0.0031953263209862997,0.0030091538461538463
ヒロキ,ゴーゴージャグラー3,full,22,55.0,0.0031165532425104546,0.003055872727272727
ヒロキ,ゴーゴージャグラー3,full,23,58.0,0.0033413377989825904,0.0032185172413793104
ヒロキ,ゴーゴージャグラー3,full,24,50.0,0.003467595179756122,0.0032917800000000002
ヒロキ,ゴーゴージャグラー3,full,25,50.0,0.00326597806749688,0.00322814
ヒロキ,ゴーゴージャグラー3,full,26,73.0,0.0032569378340777623,0.0031533972602739726
ヒロキ,ゴーゴージャグラー3,full,27,52.0,0.00352299896190893,0.003362826923076923
ヒロキ,ゴーゴージャグラー3,full,28,47.0,0.0033680208612580117,0.0032190425531914897
ヒロキ,ゴーゴージャグラー3,full,29,54.0,0.003232521013591582,0.003117851851851852
ヒロキ,ゴーゴージャグラー3,full,30,68.0,0.0032562912748628414,0.003082735294117647
ヒロキ,ゴーゴージャグラー3,full,31,33.0,0.003326637409317144,0.003231090909090909
ヒロキ,ゴーゴージャグラー3,recent60d,1,4.0,0.0035063796629979547,0.003467
ヒロキ,ゴーゴージャグラー3,recent60d,2,4.0,0.0033236112053177777,0.0031687499999999997
ヒロキ,ゴーゴージャグラー3,recent60d,3,3.0,0.0024043277900220395,0.0024193333333333337
ヒロキ,ゴーゴージャグラー3,recent60d,4,7.0,0.003252337617662695,0.0030672857142857142
ヒロキ,ゴーゴージャグラー3,recent60d,5,2.0,0.0032549728752260397,0.003242
ヒロキ,ゴーゴージャグラー3,recent60d,6,12.0,0.0030320463980843685,0.0028006666666666666
ヒロキ,ゴーゴージャグラー3,recent60d,7,5.0,0.0032857527605709667,0.0031301999999999996
ヒロキ,ゴーゴージャグラー3,recent60d,8,4.0,0.0037412420923746683,0.003301
ヒロキ,ゴーゴージャグラー3,recent60d,9,6.0,0.003742886605812932,0.0037941666666666666
ヒロキ,ゴーゴージャグラー3,recent60d,10,9.0,0.0032574026737846947,0.003048777777777778
ヒロキ,ゴーゴージャグラー3,recent60d,11,5.0,0.0034303478587125475,0.0031025999999999996
ヒロキ,ゴーゴージャグラー3,recent60d,12,2.0,0.0031036623215394167,0.0027965
ヒロキ,ゴーゴージャグラー3,recent60d,13,7.0,0.003284341899991789,0.00323
ヒロキ,ゴーゴージャグラー3,recent60d,14,4.0,0.003574136250406152,0.00346725
ヒロキ,ゴーゴージャグラー3,recent60d,15,3.0,0.002523765458063431,0.002489
ヒロキ,ゴーゴージャグラー3,recent60d,16,10.0,0.0030194417291191486,0.0029294
ヒロキ,ゴーゴージャグラー3,recent60d,17,9.0,0.0030904824586504894,0.0029931111111111113
ヒロキ,ゴーゴージャグラー3,recent60d,18,4.0,0.00414907016374009,0.0041495
ヒロキ,ゴーゴージャグラー3,recent60d,19,4.0,0.0030325493631646336,0.00286975
ヒロキ,ゴーゴージャグラー3,recent60d,20,8.0,0.003047546486988405,0.003054375
ヒロキ,ゴーゴージャグラー3,recent60d,21,4.0,0.0030615432677288347,0.0030629999999999998
