hall,machine_name,period,dd,n,rb_rate_pooled,rb_rate_mean
レイトギャップ,アイムジャグラーEX-TP,full,1,353,0.00291768115942029,0.0028465495750708216
レイトギャップ,アイムジャグラーEX-TP,full,2,349,0.0029858528442858355,0.002847541547277937
レイトギャップ,アイムジャグラーEX-TP,full,3,345,0.002738348660394978,0.002657513043478261
レイトギャップ,アイムジャグラーEX-TP,full,4,359,0.0030221388035845255,0.0028857465181058497
レイトギャップ,アイムジャグラーEX-TP,full,5,345,0.002838356445041649,0.0027618347826086956
レイトギャップ,アイムジャグラーEX-TP,full,6,379,0.0027992781547930617,0.0027027414248021113
レイトギャップ,アイムジャグラーEX-TP,full,7,336,0.0027844148254566373,0.0026930119047619046
レイトギャップ,アイムジャグラーEX-TP,full,8,285,0.002842271187147322,0.0027164947368421054
レイトギャップ,アイムジャグラーEX-TP,full,9,303,0.0029657894153699233,0.0028256402640264027
レイトギャップ,アイムジャグラーEX-TP,full,10,254,0.0031200290143868457,0.002975496062992126
レイトギャップ,アイムジャグラーEX-TP,full,11,313,0.002816787948766145,0.00271441214057508
レイトギャップ,アイムジャグラーEX-TP,full,12,314,0.003266094501084531,0.0030956656050955414
レイトギャップ,アイムジャグラーEX-TP,full,13,331,0.002629786602406347,0.002533716012084592
レイトギャップ,アイムジャグラーEX-TP,full,14,319,0.0030067809043125148,0.0028755454545454544
レイトギャップ,アイムジャグラーEX-TP,full,15,322,0.0029070837641858387,0.0027712795031055904
レイトギャップ,アイムジャグラーEX-TP,full,16,357,0.0029753484734609584,0.0028678655462184874
レイトギャップ,アイムジャグラーEX-TP,full,17,302,0.0031723703962888133,0.0030312880794701987
レイトギャップ,アイムジャグラーEX-TP,full,18,301,0.0028341959251749153,0.002702049833887043
レイトギャップ,アイムジャグラーEX-TP,full,19,353,0.003302646652299332,0.0031603796033994338
レイトギャップ,アイムジャグラーEX-TP,full,20,366,0.002975997275682809,0.002861142076502732
レイトギャップ,アイムジャグラーEX-TP,full,21,355,0.00290035218562254,0.0027901408450704225
レイトギャップ,アイムジャグラーEX-TP,full,22,336,0.002993535735984751,0.0028464464285714287
レイトギャップ,アイムジャグラーEX-TP,full,23,336,0.0030485364226557543,0.002881217261904762
レイトギャップ,アイムジャグラーEX-TP,full,24,292,0.0031021960445112616,0.0029248219178082194
レイトギャップ,アイムジャグラーEX-TP,full,25,338,0.0031613739328714553,0.002999286982248521
レイトギャップ,アイムジャグラーEX-TP,full,26,409,0.0030300199213508495,0.002935569682151589
レイトギャップ,アイムジャグラーEX-TP,full,27,361,0.002813970909435399,0.0027080249307479226
レイトギャップ,アイムジャグラーEX-TP,full,28,348,0.0030576468269022895,0.002952419540229885
レイトギャップ,アイムジャグラーEX-TP,full,29,352,0.0030439741378974782,0.002927409090909091
レイトギャップ,アイムジャグラーEX-TP,full,30,381,0.003282287559500076,0.003134223097112861
レイトギャップ,アイムジャグラーEX-TP,full,31,154,0.003023226834118036,0.002864318181818182
レイトギャップ,アイムジャグラーEX-TP,recent60d,1,6,0.0031904131974165436,0.0031351666666666663
レイトギャップ,アイムジャグラーEX-TP,recent60d,2,6,0.003597506678539626,0.003474666666666667
レイトギャップ,アイムジャグラーEX-TP,recent60d,3,7,0.003418580375782881,0.0032952857142857146
レイトギャップ,アイムジャグラーEX-TP,recent60d,4,10,0.002977256446991404,0.0027131
レイトギャップ,アイムジャグラーEX-TP,recent60d,5,3,0.002395117051688171,0.002428
レイトギャップ,アイムジャグラーEX-TP,recent60d,6,10,0.00323075680478152,0.0031779999999999994
レイトギャップ,アイムジャグラーEX-TP,recent60d,7,8,0.002467997396398351,0.002440125
レイトギャップ,アイムジャグラーEX-TP,recent60d,8,7,0.0033817815513023457,0.003296
レイトギャップ,アイムジャグラーEX-TP,recent60d,9,7,0.0025763991633079943,0.002606285714285714
レイトギャップ,アイムジャグラーEX-TP,recent60d,10,8,0.002686271737593666,0.0024735
レイトギャップ,アイムジャグラーEX-TP,recent60d,11,5,0.003156539435976243,0.0030392
レイトギャップ,アイムジャグラーEX-TP,recent60d,12,4,0.00345666367942645,0.00338575
レイトギャップ,アイムジャグラーEX-TP,recent60d,13,8,0.002992633517495396,0.00275975
レイトギャップ,アイムジャグラーEX-TP,recent60d,14,10,0.0034880194115862904,0.0032725
レイトギャップ,アイムジャグラーEX-TP,recent60d,15,7,0.0024630541871921183,0.0024504285714285717
レイトギャップ,アイムジャグラーEX-TP,recent60d,16,9,0.002641931502622647,0.002589777777777778
レイトギャップ,アイムジャグラーEX-TP,recent60d,17,7,0.0035687850269641537,0.0033104285714285714
レイトギャップ,アイムジャグラーEX-TP,recent60d,18,8,0.0029848401539549134,0.00273525
レイトギャップ,アイムジャグラーEX-TP,recent60d,19,9,0.002612838772478098,0.0025195555555555553
レイトギャップ,アイムジャグラーEX-TP,recent60d,20,8,0.0035272099049812843,0.003261125
レイトギャップ,アイムジャグラーEX-TP,recent60d,21,6,0.00400367215790279,0.0038443333333333333
レイトギャップ,アイムジャグラーEX-TP,recent60d,22,7,0.0023813123677048683,0.0023055714285714285
レイトギャップ,アイムジャグラーEX-TP,recent60d,23,7,0.00285444997980342,0.002883285714285714
レイトギャップ,アイムジャグラーEX-TP,recent60d,24,7,0.001884522854851644,0.0019547142857142858
レイトギャップ,アイムジャグラーEX-TP,recent60d,25,7,0.0034794473818864063,0.0034798571428571426
レイトギャップ,アイムジャグラーEX-TP,recent60d,26,10,0.002787540904132832,0.002778
レイトギャップ,アイムジャグラーEX-TP,recent60d,27,8,0.00261828486939379,0.0024805
レイトギャップ,アイムジャグラーEX-TP,recent60d,28,8,0.003134796238244514,0.0030765000000000002
レイトギャップ,アイムジャグラーEX-TP,recent60d,29,6,0.003174755880513733,0.0031074999999999996
レイトギャップ,アイムジャグラーEX-TP,recent60d,30,10,0.0031746694793124332,0.0031056
レイトギャップ,アイムジャグラーEX-TP,recent60d,31,5,0.0031884465700754913,0.0029478
レイトギャップ,ウルトラミラクルジャグラー,full,1,46,0.002639499884232461,0.0025244782608695652
レイトギャップ,ウルトラミラクルジャグラー,full,2,47,0.0027680219060658372,0.0026247021276595743
レイトギャップ,ウルトラミラクルジャグラー,full,3,52,0.0025211362500271676,0.002400942307692308
