hall,machine_name,period,dd,n,rb_rate_pooled,rb_rate_mean
楽園,アイムジャグラーEX-TP,full,1,237,0.003164614010505011,0.0030121476793248947
楽園,アイムジャグラーEX-TP,full,2,212,0.0030327557911435416,0.0029051839622641507
楽園,アイムジャグラーEX-TP,full,3,232,0.003134385025898168,0.0030106120689655175
楽園,アイムジャグラーEX-TP,full,4,215,0.003011711211357198,0.0029003023255813956
楽園,アイムジャグラーEX-TP,full,5,231,0.0030632355332003967,0.00295417316017316
楽園,アイムジャグラーEX-TP,full,6,200,0.0031000858326593267,0.002982795
楽園,アイムジャグラーEX-TP,full,7,215,0.002967183973019371,0.0028645023255813953
楽園,アイムジャグラーEX-TP,full,8,209,0.0029672994721630748,0.0028347846889952154
楽園,アイムジャグラーEX-TP,full,9,198,0.002995906662287623,0.0029104595959595957
楽園,アイムジャグラーEX-TP,full,10,195,0.0028513448404157826,0.0027704923076923077
楽園,アイムジャグラーEX-TP,full,11,242,0.0031325091481527734,0.003036280991735537
楽園,アイムジャグラーEX-TP,full,12,196,0.0030117936707474194,0.002919923469387755
楽園,アイムジャグラーEX-TP,full,13,217,0.003108850285026187,0.003014410138248848
楽園,アイムジャグラーEX-TP,full,14,185,0.002844295091082718,0.0027752702702702704
楽園,アイムジャグラーEX-TP,full,15,236,0.0031498425078746064,0.0030317118644067795
楽園,アイムジャグラーEX-TP,full,16,196,0.003083088558554384,0.0029941479591836734
楽園,アイムジャグラーEX-TP,full,17,189,0.0029308656944711676,0.002807285714285714
楽園,アイムジャグラーEX-TP,full,18,194,0.0029451447046954576,0.002818711340206186
楽園,アイムジャグラーEX-TP,full,19,192,0.002884454844264358,0.0027541979166666665
楽園,アイムジャグラーEX-TP,full,20,188,0.002922351998550151,0.0028189308510638295
楽園,アイムジャグラーEX-TP,full,21,170,0.003088498421825054,0.0030038411764705883
楽園,アイムジャグラーEX-TP,full,22,249,0.003261831726854498,0.0031722248995983936
楽園,アイムジャグラーEX-TP,full,23,210,0.0029205221023978524,0.002802895238095238
楽園,アイムジャグラーEX-TP,full,24,197,0.0029461860700639875,0.0028093147208121828
楽園,アイムジャグラーEX-TP,full,25,236,0.003263277925593555,0.0031588050847457627
楽園,アイムジャグラーEX-TP,full,26,201,0.002877941425427459,0.002747452736318408
楽園,アイムジャグラーEX-TP,full,27,202,0.0030126704875257297,0.0029023514851485147
楽園,アイムジャグラーEX-TP,full,28,188,0.002988253580985361,0.0028884202127659577
楽園,アイムジャグラーEX-TP,full,29,168,0.0030113240289420208,0.002910047619047619
楽園,アイムジャグラーEX-TP,full,30,192,0.0031136702921731713,0.0029875364583333334
楽園,アイムジャグラーEX-TP,full,31,103,0.003124566616096456,0.003052106796116505
楽園,アイムジャグラーEX-TP,recent60d,1,21,0.0037908726325341763,0.0037645714285714288
楽園,アイムジャグラーEX-TP,recent60d,2,17,0.003005163311481116,0.0028537058823529414
楽園,アイムジャグラーEX-TP,recent60d,3,18,0.0030428043944021516,0.0029282222222222223
楽園,アイムジャグラーEX-TP,recent60d,4,12,0.0030074910513303073,0.002836916666666667
楽園,アイムジャグラーEX-TP,recent60d,5,27,0.0028405352899745356,0.002754851851851852
楽園,アイムジャグラーEX-TP,recent60d,6,39,0.0031318148194403083,0.002996974358974359
楽園,アイムジャグラーEX-TP,recent60d,7,36,0.002689470024721879,0.0026524166666666666
