hall,machine_name,period,dd,n,rb_rate_pooled,rb_rate_mean
蒲田1,アイムジャグラーEX-TP,full,1,288,0.0031090073468381086,0.0029468645833333335
蒲田1,アイムジャグラーEX-TP,full,2,257,0.0029236999963500308,0.0027685953307392997
蒲田1,アイムジャグラーEX-TP,full,3,287,0.0031047239328254052,0.002934644599303136
蒲田1,アイムジャグラーEX-TP,full,4,256,0.0031290251930178167,0.00296283203125
蒲田1,アイムジャグラーEX-TP,full,5,257,0.002965553310553023,0.0027907003891050586
蒲田1,アイムジャグラーEX-TP,full,6,248,0.0030136910694747916,0.002858810483870968
蒲田1,アイムジャグラーEX-TP,full,7,302,0.003060750359400386,0.00291841059602649
蒲田1,アイムジャグラーEX-TP,full,8,254,0.003108627540580455,0.002927791338582677
蒲田1,アイムジャグラーEX-TP,full,9,267,0.003031540797075032,0.0028421610486891384
蒲田1,アイムジャグラーEX-TP,full,10,277,0.0031123812949175214,0.0029507906137184116
蒲田1,アイムジャグラーEX-TP,full,11,278,0.003085836677117669,0.0029400287769784173
蒲田1,アイムジャグラーEX-TP,full,12,228,0.002865184806103416,0.0027320175438596494
蒲田1,アイムジャグラーEX-TP,full,13,269,0.0030200444073387013,0.002853739776951673
蒲田1,アイムジャグラーEX-TP,full,14,198,0.00299327337571057,0.002854484848484849
蒲田1,アイムジャグラーEX-TP,full,15,256,0.0030238396147047922,0.00284654296875
蒲田1,アイムジャグラーEX-TP,full,16,228,0.0029099973392709604,0.0027861008771929824
蒲田1,アイムジャグラーEX-TP,full,17,287,0.0030964417829476834,0.0028877142857142856
蒲田1,アイムジャグラーEX-TP,full,18,171,0.0028617979205014677,0.0026919122807017542
蒲田1,アイムジャグラーEX-TP,full,19,192,0.002886957960579743,0.0027309114583333335
蒲田1,アイムジャグラーEX-TP,full,20,195,0.0028243558202770943,0.0026749384615384615
蒲田1,アイムジャグラーEX-TP,full,21,221,0.003127829995575386,0.002959099547511312
蒲田1,アイムジャグラーEX-TP,full,22,246,0.0030581922612841783,0.0029013577235772357
蒲田1,アイムジャグラーEX-TP,full,23,182,0.0029112982399933985,0.002724802197802198
蒲田1,アイムジャグラーEX-TP,full,24,161,0.0027906386757151013,0.0026588260869565214
蒲田1,アイムジャグラーEX-TP,full,25,234,0.0031423888345655736,0.0029804957264957265
蒲田1,アイムジャグラーEX-TP,full,26,191,0.0028130243025206707,0.002671387434554974
蒲田1,アイムジャグラーEX-TP,full,27,248,0.0030031053017232456,0.002833927419354839
蒲田1,アイムジャグラーEX-TP,full,28,185,0.002997394623189395,0.002837535135135135
蒲田1,アイムジャグラーEX-TP,full,29,165,0.0029496945095893764,0.002765151515151515
蒲田1,アイムジャグラーEX-TP,full,30,216,0.0030928475122698283,0.0029120462962962963
蒲田1,アイムジャグラーEX-TP,full,31,108,0.003166600804619512,0.0030344166666666666
蒲田1,アイムジャグラーEX-TP,recent60d,1,4,0.00362896087803151,0.00321125
蒲田1,アイムジャグラーEX-TP,recent60d,2,4,0.003278688524590164,0.00315075
蒲田1,アイムジャグラーEX-TP,recent60d,3,3,0.004229017566688354,0.0036523333333333334
蒲田1,アイムジャグラーEX-TP,recent60d,4,3,0.0033905602497174532,0.003368333333333333
蒲田1,アイムジャグラーEX-TP,recent60d,5,3,0.0030547505287068224,0.003105333333333333
蒲田1,アイムジャグラーEX-TP,recent60d,6,3,0.0028057986505444586,0.0027640000000000004
蒲田1,アイムジャグラーEX-TP,recent60d,7,6,0.002998839159035212,0.002928333333333333
蒲田1,アイムジャグラーEX-TP,recent60d,8,4,0.003470239402591698,0.00321075
蒲田1,アイムジャグラーEX-TP,recent60d,9,3,0.002997914494264859,0.002743
蒲田1,アイムジャグラーEX-TP,recent60d,10,3,0.0033802816901408453,0.0032370000000000003
蒲田1,アイムジャグラーEX-TP,recent60d,11,3,0.0025670945157526253,0.002525333333333333
蒲田1,アイムジャグラーEX-TP,recent60d,12,3,0.003087306145893165,0.0031446666666666667
蒲田1,アイムジャグラーEX-TP,recent60d,13,2,0.0030015945971297252,0.0029895
蒲田1,アイムジャグラーEX-TP,recent60d,14,3,0.0031262211801484957,0.0031423333333333333
蒲田1,アイムジャグラーEX-TP,recent60d,15,4,0.003503763301323644,0.0033367500000000003
蒲田1,アイムジャグラーEX-TP,recent60d,16,4,0.0030745179781136007,0.00300025
蒲田1,アイムジャグラーEX-TP,recent60d,17,3,0.003143006809848088,0.0031546666666666667
蒲田1,アイムジャグラーEX-TP,recent60d,18,2,0.0030360134003350084,0.00283
蒲田1,アイムジャグラーEX-TP,recent60d,19,1,0.003303964757709251,0.003304
蒲田1,アイムジャグラーEX-TP,recent60d,20,2,0.002393186457380165,0.0025304999999999998
蒲田1,アイムジャグラーEX-TP,recent60d,21,3,0.002188662727073758,0.002205
蒲田1,アイムジャグラーEX-TP,recent60d,22,4,0.0024449877750611247,0.002364
蒲田1,アイムジャグラーEX-TP,recent60d,23,4,0.0044022357421971605,0.004094
蒲田1,アイムジャグラーEX-TP,recent60d,24,4,0.0023545240497813654,0.0020622500000000003
蒲田1,アイムジャグラーEX-TP,recent60d,25,3,0.003283856561145409,0.0031243333333333336
蒲田1,アイムジャグラーEX-TP,recent60d,26,4,0.0030678397777263253,0.00290675
蒲田1,アイムジャグラーEX-TP,recent60d,27,4,0.00303359853471467,0.00262825
蒲田1,アイムジャグラーEX-TP,recent60d,28,2,0.002768166089965398,0.0028269999999999997
蒲田1,アイムジャグラーEX-TP,recent60d,29,3,0.0020128438608262244,0.0019513333333333333
蒲田1,アイムジャグラーEX-TP,recent60d,30,4,0.0027889072197344648,0.002742
蒲田1,アイムジャグラーEX-TP,recent60d,31,1,0.0019047619047619048,0.001905
蒲田1,ウルトラミラクルジャグラー,full,1,73,0.0028864163708031644,0.0027528630136986303
蒲田1,ウルトラミラクルジャグラー,full,2,62,0.0027370845843254997,0.0026500806451612902
蒲田1,ウルトラミラクルジャグラー,full,3,67,0.0025544208930461396,0.0024411492537313433
蒲田1,ウルトラミラクルジャグラー,full,4,62,0.002688148707576297,0.0026033870967741937
蒲田1,ウルトラミラクルジャグラー,full,5,56,0.0026701585766838168,0.002597767857142857
蒲田1,ウルトラミラクルジャグラー,full,6,63,0.002707103399362682,0.002579936507936508
蒲田1,ウルトラミラクルジャグラー,full,7,72,0.0027630162463643114,0.002644791666666667
蒲田1,ウルトラミラクルジャグラー,full,8,63,0.002576514426870469,0.0024343015873015874
蒲田1,ウルトラミラクルジャグラー,full,9,67,0.002694989087503203,0.002599223880597015
蒲田1,ウルトラミラクルジャグラー,full,10,62,0.002521945187287934,0.002425451612903226
蒲田1,ウルトラミラクルジャグラー,full,11,66,0.0027864908487377042,0.0026882121212121212
蒲田1,ウルトラミラクルジャグラー,full,12,53,0.0025603060028379296,0.002400471698113208
蒲田1,ウルトラミラクルジャグラー,full,13,65,0.0027676341655005813,0.002546215384615385
蒲田1,ウルトラミラクルジャグラー,full,14,54,0.002635938283082173,0.002491814814814815
蒲田1,ウルトラミラクルジャグラー,full,15,57,0.0024137224462295573,0.0022896491228070175
蒲田1,ウルトラミラクルジャグラー,full,16,46,0.0028664344383459517,0.002778065217391304
蒲田1,ウルトラミラクルジャグラー,full,17,72,0.0027909734423692905,0.002685986111111111
蒲田1,ウルトラミラクルジャグラー,full,18,46,0.0027308685042768924,0.0025870434782608695
蒲田1,ウルトラミラクルジャグラー,full,19,53,0.002760227666584542,0.0026251320754716984
蒲田1,ウルトラミラクルジャグラー,full,20,59,0.0026142420009063706,0.0025284576271186444
蒲田1,ウルトラミラクルジャグラー,full,21,55,0.0027138343875711866,0.002581090909090909
蒲田1,ウルトラミラクルジャグラー,full,22,63,0.0027468674332138086,0.0026608571428571428
蒲田1,ウルトラミラクルジャグラー,full,23,55,0.0030011647298620854,0.002805709090909091
蒲田1,ウルトラミラクルジャグラー,full,24,50,0.0028202052714684806,0.00269818
蒲田1,ウルトラミラクルジャグラー,full,25,57,0.0029444801262255224,0.0027580877192982453
蒲田1,ウルトラミラクルジャグラー,full,26,45,0.002682677567705672,0.0025738666666666665
蒲田1,ウルトラミラクルジャグラー,full,27,61,0.0025926973291857643,0.00247372131147541
蒲田1,ウルトラミラクルジャグラー,full,28,54,0.002639096925808716,0.002554574074074074
蒲田1,ウルトラミラクルジャグラー,full,29,50,0.0024777941630371413,0.00235932
蒲田1,ウルトラミラクルジャグラー,full,30,58,0.0027519798367661276,0.0026685172413793102
蒲田1,ウルトラミラクルジャグラー,full,31,28,0.002587669019702485,0.0025192142857142857
蒲田1,ウルトラミラクルジャグラー,recent60d,1,7,0.0020587113991612656,0.0020264285714285714
蒲田1,ウルトラミラクルジャグラー,recent60d,2,5,0.002911282496552429,0.0028501999999999998
蒲田1,ウルトラミラクルジャグラー,recent60d,3,7,0.002479466914613358,0.0024029999999999998
蒲田1,ウルトラミラクルジャグラー,recent60d,4,8,0.0024719985999299963,0.002344625
蒲田1,ウルトラミラクルジャグラー,recent60d,5,3,0.0028027308659719728,0.0027416666666666666
蒲田1,ウルトラミラクルジャグラー,recent60d,6,8,0.002795880188310754,0.0026455
蒲田1,ウルトラミラクルジャグラー,recent60d,7,8,0.00312256049960968,0.00302775
蒲田1,ウルトラミラクルジャグラー,recent60d,8,7,0.0022126262446022626,0.0021475714285714284
蒲田1,ウルトラミラクルジャグラー,recent60d,9,7,0.0030222595989592917,0.002899857142857143
蒲田1,ウルトラミラクルジャグラー,recent60d,10,7,0.002396804260985353,0.0023
蒲田1,ウルトラミラクルジャグラー,recent60d,11,7,0.003187016256461073,0.0030652857142857144
蒲田1,ウルトラミラクルジャグラー,recent60d,12,2,0.001025010250102501,0.0010965
蒲田1,ウルトラミラクルジャグラー,recent60d,13,6,0.002912257432023298,0.0027500000000000003
蒲田1,ウルトラミラクルジャグラー,recent60d,14,8,0.002431274372923788,0.002254625
蒲田1,ウルトラミラクルジャグラー,recent60d,15,6,0.0028501628664495114,0.0027636666666666664
蒲田1,ウルトラミラクルジャグラー,recent60d,16,6,0.0029691052561187643,0.0029441666666666665
蒲田1,ウルトラミラクルジャグラー,recent60d,17,8,0.0027732088895689095,0.0027122500000000003
蒲田1,ウルトラミラクルジャグラー,recent60d,18,7,0.002985317664938801,0.002707285714285714
