dd,even_rate,odd_rate,n_even,n_odd,diff_pp,n_total
1,35.8,33.8,3723,3734,2.0,7457
2,35.8,33.4,3396,3417,2.3999999999999986,6813
3,33.5,34.5,3450,3480,-1.0,6930
4,34.2,33.3,3310,3352,0.9000000000000057,6662
5,34.8,35.0,3266,3322,-0.20000000000000284,6588
6,34.3,32.8,3246,3295,1.5,6541
7,37.7,36.7,4208,4234,1.0,8442
8,36.0,36.2,3607,3660,-0.20000000000000284,7267
9,34.7,35.9,3521,3494,-1.1999999999999957,7015
10,34.9,35.2,3723,3736,-0.30000000000000426,7459
11,33.9,33.0,4008,4016,0.8999999999999986,8024
12,35.1,33.8,3022,3068,1.3000000000000043,6090
13,33.7,33.9,3696,3760,-0.19999999999999574,7456
14,33.6,35.7,3731,3749,-2.1000000000000014,7480
15,34.5,32.9,3712,3723,1.6000000000000014,7435
16,35.8,35.7,3559,3533,0.09999999999999432,7092
17,34.6,35.1,4122,4172,-0.5,8294
18,34.7,32.4,3427,3440,2.3000000000000043,6867
19,32.8,33.0,3475,3501,-0.20000000000000284,6976
20,32.9,34.7,3631,3712,-1.8000000000000043,7343
21,35.1,33.1,3862,3887,2.0,7749
22,32.6,33.1,3937,3946,-0.5,7883
23,34.1,33.7,3524,3563,0.3999999999999986,7087
24,34.6,34.8,3585,3631,-0.19999999999999574,7216
25,34.0,33.1,3578,3604,0.8999999999999986,7182
26,34.3,34.9,3244,3260,-0.6000000000000014,6504
27,34.9,34.4,3786,3838,0.5,7624
28,33.2,36.1,3308,3327,-2.8999999999999986,6635
29,33.5,32.0,3108,3147,1.5,6255
30,35.4,37.6,3436,3470,-2.200000000000003,6906
31,33.5,35.4,1982,1990,-1.8999999999999986,3972
