debut_phase,kakuban_group,section_size_group,n,n_machines,avg_diff,plus_rate,avg_games,note
1-14日,中間5+,L,2607,29,-510,36.2,5822.4,
1-14日,中間5+,M,2120,18,-189,38.4,5580.0,
1-14日,中間5+,S,47,2,194,42.6,6583.7,
1-14日,角1,L,245,16,-333,40.8,5756.9,
1-14日,角1,M,217,14,-258,35.9,6109.8,
1-14日,角1,S,116,8,75,38.8,5217.0,
1-14日,角2-4,L,797,19,-659,34.8,5628.0,
1-14日,角2-4,M,673,15,-306,36.3,5849.4,
1-14日,角2-4,S,292,9,-108,37.0,5843.7,
15-60日,中間5+,L,8378,30,-186,35.7,4493.7,
15-60日,中間5+,M,4239,14,-125,35.6,4479.8,
15-60日,中間5+,S,238,5,-100,39.5,4805.0,
15-60日,角1,L,843,19,-174,38.6,4663.8,
15-60日,角1,M,503,12,-386,37.4,5151.2,
15-60日,角1,S,287,9,136,44.9,4536.3,
15-60日,角2-4,L,2486,22,-183,36.9,4404.9,
15-60日,角2-4,M,1504,12,-45,35.7,4791.9,
15-60日,角2-4,S,542,8,124,43.4,4760.0,
61-180日,中間5+,L,12397,30,109,37.4,4037.4,
61-180日,中間5+,M,6924,18,146,36.7,4058.8,
61-180日,中間5+,S,600,4,4,37.5,4448.7,
61-180日,角1,L,980,21,-91,35.6,4388.6,
61-180日,角1,M,772,13,49,38.7,4339.2,
61-180日,角1,S,517,9,-24,39.7,4182.5,
61-180日,角2-4,L,2977,25,79,38.8,3976.3,
61-180日,角2-4,M,2271,13,180,36.6,4080.2,
61-180日,角2-4,S,1098,6,94,42.1,4125.0,
181日+,中間5+,L,5110,8,130,38.7,3880.9,
181日+,中間5+,M,1466,8,180,35.2,4007.0,
181日+,中間5+,S,153,2,125,37.3,3992.0,
181日+,角1,L,341,7,-245,36.1,3948.8,
181日+,角1,M,148,5,104,33.1,4334.2,
181日+,角1,S,2,1,850,50.0,5171.0,low_n
181日+,角2-4,L,1037,7,112,38.0,3723.6,
181日+,角2-4,M,358,4,-84,31.8,4152.8,
181日+,角2-4,S,84,2,-88,41.7,3986.9,
