debut_phase,day_of_week,n,n_machines,avg_diff,plus_rate,avg_games,note
1-14日,土,956,56,-418,37.3,5979.8,
1-14日,日,929,56,-209,38.6,5798.8,
1-14日,月,1351,57,-458,36.3,5663.5,
1-14日,木,956,57,-475,35.3,5580.1,
1-14日,水,996,57,-315,38.9,5706.9,
1-14日,火,1006,57,-275,36.6,5694.7,
1-14日,金,920,57,-387,36.0,5745.0,
15-60日,土,2641,53,-151,39.2,5307.1,
15-60日,日,2446,53,-109,38.6,5065.9,
15-60日,月,2489,53,-189,34.4,4288.9,
15-60日,木,2876,53,-145,35.0,4006.7,
15-60日,水,2891,53,-178,35.4,4362.0,
15-60日,火,2833,53,-101,36.4,4430.5,
15-60日,金,2844,53,-182,36.1,4421.9,
61-180日,土,4375,43,103,40.3,5091.4,
61-180日,日,4182,43,75,38.8,4816.0,
61-180日,月,4167,42,125,36.3,3608.2,
61-180日,木,3958,39,177,37.2,3352.5,
61-180日,水,3995,39,80,35.8,3824.0,
61-180日,火,3998,39,99,36.1,3847.6,
61-180日,金,3861,38,88,37.7,3856.4,
181日+,土,1268,13,234,41.6,5429.2,
181日+,日,1260,17,227,42.8,4860.4,
181日+,月,1317,15,70,34.5,3073.3,
181日+,木,1208,13,54,35.6,3073.7,
181日+,水,1253,13,117,37.7,3688.3,
181日+,火,1232,13,52,36.2,3609.1,
181日+,金,1161,13,7,34.3,3583.8,
