debut_phase,dd_category,n,n_machines,avg_diff,plus_rate,avg_games,note
1-14日,1系,302,31,-663,30.8,5561.6,
1-14日,7系,672,57,-460,36.5,5998.5,
1-14日,その他,5273,57,-331,36.9,5661.4,
1-14日,ゾロ目,561,53,-502,40.1,6040.6,
1-14日,強ゾロ目,259,33,-85,39.8,5982.8,
1-14日,月末,47,5,-1130,34.0,6097.9,
15-60日,1系,1735,52,-157,38.1,4848.7,
15-60日,7系,1948,53,-271,37.9,5352.5,
15-60日,その他,13273,53,-142,35.9,4325.8,
15-60日,ゾロ目,1172,52,-36,36.7,4714.6,
15-60日,強ゾロ目,591,52,-214,36.2,5015.8,
15-60日,月末,301,32,-54,38.5,5309.5,
61-180日,1系,2222,38,62,37.8,4462.2,
61-180日,7系,2937,40,188,40.3,5061.9,
61-180日,その他,20022,42,95,36.7,3775.1,
61-180日,ゾロ目,1976,41,100,37.0,4416.3,
61-180日,強ゾロ目,1020,37,61,40.4,5158.0,
61-180日,月末,359,28,511,48.7,5335.9,
181日+,1系,669,15,104,39.3,4295.6,
181日+,7系,865,13,48,37.6,4828.8,
181日+,その他,6120,13,91,36.4,3588.0,
181日+,ゾロ目,682,15,196,40.2,4138.9,
181日+,強ゾロ目,275,10,420,48.7,6175.8,
181日+,月末,88,7,473,48.9,5308.0,
