debut_phase,dd,n,n_machines,avg_diff,plus_rate,avg_games,note
1-14日,1,88,11,124,35.2,5084.0,
1-14日,2,161,19,-705,32.9,5481.4,
1-14日,3,161,19,-691,35.4,5487.2,
1-14日,4,187,22,-420,34.8,5457.4,
1-14日,5,240,25,-37,43.8,5712.1,
1-14日,6,237,26,51,40.9,5799.8,
1-14日,7,260,28,-278,39.6,6032.0,
1-14日,8,329,35,-87,36.8,6154.7,
1-14日,9,343,40,-693,32.7,6005.5,
1-14日,10,343,40,-191,39.4,6060.1,
1-14日,11,378,44,-532,39.2,6164.4,
1-14日,12,328,39,127,38.7,5796.7,
1-14日,13,390,45,-595,35.6,5951.6,
1-14日,14,390,45,-167,41.0,5836.3,
1-14日,15,395,45,-674,35.2,5876.6,
1-14日,16,394,44,-210,36.3,5663.5,
1-14日,17,323,38,-555,35.0,6063.7,
1-14日,18,323,38,-353,36.2,5416.7,
1-14日,19,287,33,-240,36.6,5697.0,
1-14日,20,237,31,-314,40.5,5780.2,
1-14日,21,207,26,-795,30.4,5902.1,
1-14日,22,222,28,-305,42.3,5926.9,
1-14日,23,144,21,-18,35.4,4984.6,
1-14日,24,130,16,-161,36.9,5059.1,
1-14日,25,129,16,-753,34.1,4807.7,
1-14日,26,95,12,175,40.0,4993.4,
1-14日,27,89,11,-644,32.6,5663.8,
1-14日,28,88,11,-580,29.5,4644.5,
1-14日,29,88,11,-1127,33.0,5065.6,
1-14日,30,88,11,-1224,31.8,5372.1,
1-14日,31,40,6,-668,32.5,3589.6,
15-60日,1,752,52,-124,39.5,4977.6,
15-60日,2,705,52,-188,34.8,4437.5,
15-60日,3,708,52,4,38.6,4520.6,
15-60日,4,647,53,-206,35.5,4210.4,
15-60日,5,651,53,-152,34.6,4210.2,
15-60日,6,658,53,-390,33.0,4249.4,
15-60日,7,603,53,-274,38.3,5391.4,
15-60日,8,518,52,-78,36.7,3946.0,
15-60日,9,514,51,-318,31.1,4153.3,
15-60日,10,519,52,-123,36.2,4377.2,
15-60日,11,517,52,-309,33.7,4564.1,
15-60日,12,396,44,-60,35.6,3731.6,
15-60日,13,503,51,-331,33.2,4398.6,
15-60日,14,509,52,-54,37.1,4460.8,
15-60日,15,502,51,-254,35.1,4150.4,
15-60日,16,503,52,24,35.6,3807.2,
15-60日,17,590,52,-326,36.1,5088.4,
15-60日,18,576,52,-236,35.8,3737.2,
15-60日,19,603,52,-242,32.8,3833.8,
15-60日,20,681,51,-64,36.6,4439.7,
15-60日,21,678,51,-131,37.2,4694.4,
15-60日,22,689,51,250,40.1,4845.8,
15-60日,23,684,48,-300,33.3,4637.8,
15-60日,24,698,47,9,40.3,4678.4,
15-60日,25,705,47,-42,37.3,4947.6,
15-60日,26,731,52,-173,36.0,4447.8,
15-60日,27,755,52,-225,39.1,5527.8,
15-60日,28,750,52,-16,37.9,4507.9,
15-60日,29,655,52,-191,35.7,4612.8,
15-60日,30,664,52,3,41.1,5224.0,
15-60日,31,356,37,-384,36.0,4935.3,
61-180日,1,882,33,147,40.9,4898.1,
61-180日,2,873,30,151,37.5,3971.9,
61-180日,3,872,30,-144,34.3,3967.2,
61-180日,4,948,33,-36,36.9,3950.9,
61-180日,5,954,33,211,37.3,3853.6,
61-180日,6,943,37,-132,33.0,3844.7,
61-180日,7,1023,37,250,42.6,5303.5,
61-180日,8,981,37,215,39.1,3696.8,
61-180日,9,982,38,192,37.2,3394.5,
61-180日,10,993,37,187,37.0,3922.6,
61-180日,11,999,38,184,39.2,4660.2,
61-180日,12,838,32,142,37.6,3857.9,
61-180日,13,993,38,91,35.1,3700.5,
61-180日,14,993,38,87,36.9,3998.7,
61-180日,15,985,36,170,37.4,3949.4,
61-180日,16,982,37,180,37.8,3815.5,
61-180日,17,1019,38,220,39.4,4927.2,
61-180日,18,991,38,-3,35.3,3597.4,
61-180日,19,995,38,220,37.7,3329.1,
61-180日,20,1018,39,-115,36.0,3793.6,
61-180日,21,1038,38,163,38.1,4197.6,
61-180日,22,1045,39,33,35.1,4292.4,
61-180日,23,877,33,-18,34.8,3626.3,
61-180日,24,887,34,46,36.8,3940.4,
61-180日,25,893,34,190,38.4,4027.7,
61-180日,26,882,33,154,38.3,3553.1,
61-180日,27,895,33,82,38.8,4939.0,
61-180日,28,888,33,230,40.0,4023.2,
61-180日,29,728,31,-77,36.4,4120.6,
61-180日,30,731,31,344,43.2,4982.9,
61-180日,31,408,24,-326,32.8,4606.5,
181日+,1,254,10,399,41.3,4426.7,
181日+,2,247,9,-61,34.0,3600.5,
181日+,3,252,9,18,37.3,3473.7,
181日+,4,249,9,100,39.4,3840.1,
181日+,5,274,10,123,38.7,4414.2,
181日+,6,284,11,153,39.1,4494.9,
181日+,7,284,11,-143,37.3,5114.4,
181日+,8,335,13,-49,34.3,3271.0,
181日+,9,334,13,-10,35.3,3526.1,
181日+,10,335,13,242,39.4,3930.5,
181日+,11,333,12,604,44.7,4251.4,
181日+,12,238,9,266,39.9,3412.8,
181日+,13,333,12,271,36.6,3675.8,
181日+,14,320,12,64,34.7,3707.4,
181日+,15,333,12,19,33.0,3408.2,
181日+,16,326,12,147,35.9,3341.8,
181日+,17,336,12,207,40.5,4912.9,
181日+,18,324,12,-68,33.6,2958.8,
181日+,19,327,12,80,33.6,3308.0,
181日+,20,327,11,108,36.1,3839.8,
181日+,21,350,14,-91,38.0,4138.1,
181日+,22,349,14,-194,35.8,4031.5,
181日+,23,230,9,-12,34.3,3702.3,
181日+,24,240,9,157,44.6,3576.6,
181日+,25,239,9,365,38.9,3722.5,
181日+,26,234,9,236,39.7,3726.0,
181日+,27,245,9,51,33.9,4382.3,
181日+,28,238,9,237,40.8,3689.9,
181日+,29,231,9,-144,35.1,3884.2,
181日+,30,233,9,394,45.1,5738.3,
181日+,31,65,5,2,38.5,4631.1,
