debut_phase,count_group,n,n_machines,avg_diff,plus_rate,avg_games,note
1-14日,L,573,2,-290,39.3,5702.5,
1-14日,M,2117,6,-583,36.3,6396.1,
1-14日,S,1621,8,-298,37.9,5368.1,
1-14日,XS,2373,27,-259,37.0,5477.6,
1-14日,XXS,430,14,-268,33.5,5301.9,
15-60日,L,2201,2,-250,40.0,4982.0,
15-60日,M,5831,5,-143,35.3,5137.9,
15-60日,S,3719,7,-226,35.5,4170.9,
15-60日,XS,6114,26,-108,36.1,4084.9,
15-60日,XXS,1155,13,17,39.8,4270.7,
61-180日,L,5704,2,55,39.5,4116.9,
61-180日,M,9436,5,139,36.7,4509.6,
61-180日,S,5001,5,131,37.5,3720.8,
61-180日,XS,7114,20,97,36.8,3799.1,
61-180日,XXS,1281,11,50,37.9,3591.1,
181日+,L,3926,1,127,41.7,4041.9,
181日+,M,2108,3,39,33.5,4454.7,
181日+,S,659,2,178,34.7,2929.6,
181日+,XS,1926,8,147,34.8,3423.0,
181日+,XXS,80,3,-318,30.0,2690.6,
